ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1968,1968-09-08,1,21.353,BUF,,BOS,L 7-16,2,38,19.00,0,2,9,4.50,0
2,1968,1968-09-15,2,21.360,BUF,,OAK,L 6-48,1,5,5.00,0,0,0,,0
3,1968,1968-09-22,3,22.001,BUF,@,CIN,L 23-34,2,28,14.00,0,0,0,,0
4,1968,1968-09-29,4,22.008,BUF,,NYJ,W 37-35,3,37,12.33,0,0,0,,0
5,1968,1968-10-12,6,22.021,BUF,@,MIA,T 14-14,2,14,7.00,0,0,0,,0
6,1968,1968-10-20,7,22.029,BUF,@,BOS,L 6-23,3,24,8.00,0,0,0,,0
7,1968,1968-10-27,8,22.036,BUF,,HOU,L 7-30,1,4,4.00,0,2,11,5.50,0
8,1968,1968-11-03,9,22.043,BUF,@,NYJ,L 21-25,4,41,10.25,0,0,0,,0
9,1968,1968-11-10,10,22.050,BUF,,MIA,L 17-21,2,13,6.50,0,0,0,,0
10,1968,1968-11-17,11,22.057,BUF,,SDG,L 6-21,1,4,4.00,0,0,0,,0
11,1968,1968-11-24,12,22.064,BUF,@,DEN,L 32-34,2,15,7.50,0,0,0,,0
12,1968,1968-12-07,14,22.077,BUF,@,HOU,L 6-35,1,12,12.00,0,1,6,6.00,0
13,1969,1969-09-14,1,22.358,SDG,,KAN,L 9-27,1,24,24.00,0,0,0,,0
14,1969,1969-10-26,7,23.035,SDG,,OAK,L 12-24,1,15,15.00,0,0,0,,0
