ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,def_int,def_int_yds,def_int_td
1,1999,1999-09-12,1,24.149,GNB,,OAK,W 28-24,,,,
2,1999,1999-09-19,2,24.156,GNB,@,DET,L 15-23,,,,
3,1999,1999-09-26,3,24.163,GNB,,MIN,W 23-20,,,,
4,1999,1999-10-10,4,24.177,GNB,,TAM,W 26-23,,,,
5,1999,1999-10-17,5,24.184,GNB,@,DEN,L 10-31,,,,
6,1999,1999-10-24,6,24.191,GNB,@,SDG,W 31-3,,,,
7,1999,1999-11-01,7,24.199,GNB,,SEA,L 7-27,,,,
8,1999,1999-11-07,8,24.205,GNB,,CHI,L 13-14,,,,
9,1999,1999-11-14,9,24.212,GNB,@,DAL,L 13-27,,,,
10,1999,1999-11-21,10,24.219,GNB,,DET,W 26-17,,1,0,0
11,1999,1999-11-29,11,24.227,GNB,@,SFO,W 20-3,,,,
12,1999,1999-12-05,12,24.233,GNB,@,CHI,W 35-19,,,,
13,1999,1999-12-12,13,24.240,GNB,,CAR,L 31-33,,,,
14,1999,1999-12-20,14,24.248,GNB,@,MIN,L 20-24,,,,
15,1999,1999-12-26,15,24.254,GNB,@,TAM,L 10-29,,,,
16,1999,2000-01-02,16,24.261,GNB,,ARI,W 49-24,,,,
17,2000,2000-09-03,1,25.140,MIN,,CHI,W 30-27,,,,
18,2000,2000-09-10,2,25.147,MIN,,MIA,W 13-7,,,,
19,2000,2000-09-17,3,25.154,MIN,@,NWE,W 21-13,,,,
20,2000,2000-10-01,4,25.168,MIN,@,DET,W 31-24,,,,
21,2000,2000-10-09,5,25.176,MIN,,TAM,W 30-23,,,,
22,2000,2000-10-15,6,25.182,MIN,@,CHI,W 28-16,,,,
23,2000,2000-10-22,7,25.189,MIN,,BUF,W 31-27,,,,
24,2000,2000-10-29,8,25.196,MIN,@,TAM,L 13-41,,,,
25,2000,2000-11-06,9,25.204,MIN,@,GNB,L 20-26,,,,
26,2000,2000-11-12,10,25.210,MIN,,ARI,W 31-14,,,,
27,2000,2000-11-19,11,25.217,MIN,,CAR,W 31-17,,,,
28,2000,2000-11-23,12,25.221,MIN,@,DAL,W 27-15,,,,
29,2000,2000-11-30,13,25.228,MIN,,DET,W 24-17,,,,
30,2000,2000-12-10,14,25.238,MIN,@,STL,L 29-40,,,,
31,2000,2000-12-17,15,25.245,MIN,,GNB,L 28-33,,,,
32,2000,2000-12-24,16,25.252,MIN,@,IND,L 10-31,,,,
33,2001,2001-09-09,1,26.146,MIN,,CAR,L 13-24,,,,
34,2001,2001-09-23,2,26.160,MIN,@,CHI,L 10-17,,,,
35,2001,2001-09-30,3,26.167,MIN,,TAM,W 20-16,,,,
36,2001,2001-10-07,4,26.174,MIN,@,NOR,L 15-28,,,,
37,2001,2001-10-14,5,26.181,MIN,,DET,W 31-26,,,,
38,2001,2001-10-21,6,26.188,MIN,,GNB,W 35-13,,,,
39,2001,2001-10-28,7,26.195,MIN,@,TAM,L 14-41,,,,
40,2001,2001-11-11,8,26.209,MIN,@,PHI,L 17-48,,,,
41,2001,2001-11-19,9,26.217,MIN,,NYG,W 28-16,,,,
42,2001,2001-11-25,10,26.223,MIN,,CHI,L 6-13,,,,
43,2001,2001-12-02,11,26.230,MIN,@,PIT,L 16-21,,,,
44,2001,2001-12-09,12,26.237,MIN,,TEN,W 42-24,,,,
45,2001,2001-12-16,13,26.244,MIN,@,DET,L 24-27,,,,
46,2001,2001-12-23,14,26.251,MIN,,JAX,L 3-33,,,,
47,2001,2001-12-30,15,26.258,MIN,@,GNB,L 13-24,*,,,
48,2001,2002-01-07,16,26.266,MIN,@,BAL,L 3-19,*,,,
49,2002,2002-09-08,1,27.145,MIN,@,CHI,L 23-27,,,,
50,2002,2002-09-15,2,27.152,MIN,,BUF,L 39-45,,,,
51,2002,2002-09-22,3,27.159,MIN,,CAR,L 14-21,,,,
52,2002,2002-09-29,4,27.166,MIN,@,SEA,L 23-48,*,,,
53,2002,2002-10-13,5,27.180,MIN,,DET,W 31-24,,,,
54,2002,2002-10-20,6,27.187,MIN,@,NYJ,L 7-20,,,,
55,2002,2002-10-27,7,27.194,MIN,,CHI,W 25-7,,,,
56,2002,2002-11-03,8,27.201,MIN,@,TAM,L 24-38,,,,
57,2002,2002-11-10,9,27.208,MIN,,NYG,L 20-27,,,,
58,2002,2002-11-17,10,27.215,MIN,,GNB,W 31-21,,,,
59,2002,2002-11-24,11,27.222,MIN,@,NWE,L 17-24,,,,
60,2002,2002-12-01,12,27.229,MIN,,ATL,L 24-30,,,,
61,2002,2002-12-08,13,27.236,MIN,@,GNB,L 22-26,,,,
62,2002,2002-12-15,14,27.243,MIN,@,NOR,W 32-31,,,,
63,2002,2002-12-21,15,27.249,MIN,,MIA,W 20-17,,,,
64,2002,2002-12-29,16,27.257,MIN,@,DET,W 38-36,,,,
65,2003,2003-09-07,1,28.144,IND,@,CLE,W 9-6,,,,
66,2003,2003-09-14,2,28.151,IND,,TEN,W 33-7,,,,
67,2003,2003-09-21,3,28.158,IND,,JAX,W 23-13,,,,
68,2003,2003-09-28,4,28.165,IND,@,NOR,W 55-21,,2,22,0
69,2003,2003-10-06,5,28.173,IND,@,TAM,W 38-35,,,,
70,2003,2003-12-07,13,28.235,IND,@,TEN,W 29-27,,,,
71,2003,2003-12-28,16,28.256,IND,@,HOU,W 20-17,,,,
72,2004,2004-09-09,1,29.146,IND,@,NWE,L 24-27,,,,
73,2004,2004-09-19,2,29.156,IND,@,TEN,W 31-17,,,,
74,2004,2004-09-26,3,29.163,IND,,GNB,W 45-31,,,,
75,2004,2004-10-03,4,29.170,IND,@,JAX,W 24-17,,,,
76,2004,2004-10-10,5,29.177,IND,,OAK,W 35-14,,,,
77,2004,2004-10-24,6,29.191,IND,,JAX,L 24-27,*,,,
78,2004,2004-10-31,7,29.198,IND,@,KAN,L 35-45,,,,
79,2004,2004-11-08,8,29.206,IND,,MIN,W 31-28,,,,
80,2004,2004-11-14,9,29.212,IND,,HOU,W 49-14,,1,0,0
81,2004,2004-11-21,10,29.219,IND,@,CHI,W 41-10,,,,
82,2004,2004-11-25,11,29.223,IND,@,DET,W 41-9,,,,
83,2004,2004-12-05,12,29.233,IND,,TEN,W 51-24,,,,
84,2004,2004-12-12,13,29.240,IND,@,HOU,W 23-14,,,,
85,2004,2004-12-19,14,29.247,IND,,BAL,W 20-10,,,,
86,2004,2004-12-26,15,29.254,IND,,SDG,W 34-31,,,,
87,2005,2005-09-11,1,30.148,BAL,,IND,L 7-24,,,,
88,2005,2005-09-18,2,30.155,BAL,@,TEN,L 10-25,,,,
