ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1999,1999-09-12,1,21.166,DET,@,SEA,W 28-20,,0,0,,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,0,0
2,1999,1999-09-19,2,21.173,DET,,GNB,W 23-15,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
3,1999,1999-09-26,3,21.180,DET,@,KAN,L 21-31,,3,20,6.67,1,2,1,21,21.00,0,50.0%,10.50,1,0,0.00,0,0,0,,0,1,6
4,1999,1999-10-10,4,21.194,DET,,SDG,L 10-20,,1,-5,-5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
5,1999,1999-10-17,5,21.201,DET,,MIN,W 25-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,15,7.50,0,0,0
6,1999,1999-10-24,6,21.208,DET,@,CAR,W 24-9,,5,9,1.80,1,2,2,28,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,1,6
7,1999,1999-10-31,7,21.215,DET,,TAM,W 20-3,,2,5,2.50,1,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,1,6
8,1999,1999-11-07,8,21.222,DET,,STL,W 31-27,,4,10,2.50,0,4,4,65,16.25,0,100.0%,16.25,1,21,21.00,0,0,0,,0,0,0
9,1999,1999-11-14,9,21.229,DET,@,ARI,L 19-23,,4,17,4.25,0,4,3,18,6.00,0,75.0%,4.50,0,0,,0,0,0,,0,0,0
10,1999,1999-11-21,10,21.236,DET,@,GNB,L 17-26,,8,62,7.75,1,3,3,19,6.33,0,100.0%,6.33,1,0,0.00,0,0,0,,0,1,6
11,1999,1999-11-25,11,21.240,DET,,CHI,W 21-17,,2,3,1.50,0,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,0,0,0
12,1999,1999-12-19,14,21.264,DET,@,CHI,L 10-28,,1,3,3.00,0,4,4,34,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,0
13,1999,1999-12-25,15,21.270,DET,,DEN,L 7-17,,5,8,1.60,0,4,1,2,2.00,0,25.0%,0.50,0,0,,0,0,0,,0,0,0
14,1999,2000-01-02,16,21.278,DET,@,MIN,L 17-24,,0,0,,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0
15,2000,2000-09-03,1,22.157,DET,@,NOR,W 14-10,,3,3,1.00,0,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0
16,2000,2000-09-10,2,22.164,DET,,WAS,W 15-10,,1,0,0.00,0,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,0,0
17,2000,2000-09-24,4,22.178,DET,@,CHI,W 21-14,,0,0,,0,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0
18,2000,2000-11-12,10,22.227,DET,,ATL,W 13-10,,,,,,,,,,,0.0%,,,,,,,,,,,
19,2000,2000-11-23,12,22.238,DET,,NWE,W 34-9,,4,45,11.25,0,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0
20,2000,2000-11-30,13,22.245,DET,@,MIN,L 17-24,,1,1,1.00,0,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0
