ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1973,1973-09-16,1,23.310,RAM,@,KAN,W 23-13,,,
2,1973,1973-09-23,2,23.317,RAM,,ATL,W 31-0,,,
3,1973,1973-09-30,3,23.324,RAM,@,SFO,W 40-20,,,
4,1973,1973-10-07,4,23.331,RAM,@,HOU,W 31-26,,,
5,1973,1973-10-14,5,23.338,RAM,,DAL,W 37-31,,,
6,1973,1973-10-21,6,23.345,RAM,,GNB,W 24-7,,,
7,1973,1973-10-28,7,23.352,RAM,@,MIN,L 9-10,,,
8,1973,1973-11-04,8,23.359,RAM,@,ATL,L 13-15,,,
9,1973,1973-11-11,9,24.001,RAM,,NOR,W 29-7,,,
10,1973,1973-11-18,10,24.008,RAM,,SFO,W 31-13,,,
11,1973,1973-11-25,11,24.015,RAM,@,NOR,W 24-13,,,
12,1973,1973-12-02,12,24.022,RAM,@,CHI,W 26-0,,,
13,1973,1973-12-10,13,24.030,RAM,,NYG,W 40-6,,,
14,1973,1973-12-16,14,24.036,RAM,,CLE,W 30-17,,,
15,1975,1975-09-21,1,25.315,RAM,@,DAL,L 7-18,,,
16,1975,1975-09-28,2,25.322,RAM,@,SFO,W 23-14,,,
17,1975,1975-10-05,3,25.329,RAM,,BAL,W 24-13,,,
18,1975,1975-10-12,4,25.336,RAM,@,SDG,W 13-10,,,
19,1975,1975-10-19,5,25.343,RAM,,ATL,W 22-7,,,
20,1975,1975-10-26,6,25.350,RAM,,NOR,W 38-14,,,
21,1975,1975-11-03,7,25.358,RAM,@,PHI,W 42-3,,,
22,1975,1975-11-09,8,25.364,RAM,,SFO,L 23-24,,,
23,1975,1975-11-16,9,26.006,RAM,@,ATL,W 16-7,,,
24,1975,1975-11-23,10,26.013,RAM,,CHI,W 38-10,,,
25,1975,1975-11-27,11,26.017,RAM,@,DET,W 20-0,,,
26,1975,1975-12-07,12,26.027,RAM,@,NOR,W 14-7,,,
27,1975,1975-12-14,13,26.034,RAM,,GNB,W 22-5,,,
28,1975,1975-12-20,14,26.040,RAM,,PIT,W 10-3,,,
29,1976,1976-09-12,1,26.307,RAM,@,ATL,W 30-14,,,
30,1976,1976-09-19,2,26.314,RAM,@,MIN,T 10-10,1,0,0
31,1976,1976-09-26,3,26.321,RAM,,NYG,W 24-10,,,
32,1977,1977-09-18,1,27.312,RAM,@,ATL,L 6-17,,,
33,1977,1977-09-25,2,27.319,RAM,,PHI,W 20-0,,,
34,1977,1977-10-02,3,27.326,RAM,,SFO,W 34-14,,,
35,1977,1977-10-10,4,27.334,RAM,@,CHI,L 23-24,,,
36,1977,1977-10-16,5,27.340,RAM,,NOR,W 14-7,,,
37,1977,1977-10-30,7,27.354,ATL,,MIN,L 7-14,,,
38,1977,1977-11-06,8,27.361,ATL,,SFO,L 3-10,,,
39,1977,1977-11-13,9,28.003,ATL,,DET,W 17-6,,,
40,1977,1977-11-20,10,28.010,ATL,@,NOR,L 20-21,,,
41,1977,1977-11-27,11,28.017,ATL,@,TAM,W 17-0,,,
42,1977,1977-12-04,12,28.024,ATL,,NWE,L 10-16,,,
43,1977,1977-12-11,13,28.031,ATL,@,RAM,L 7-23,,,
