ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1974,1974-09-15,1,23.186,MIN,@,GNB,W 32-17,0,0,,0,1,16,16.00,0,1,17,17.00,0,0,0,0,0,0
2,1974,1974-09-22,2,23.193,MIN,@,DET,W 7-6,0,0,,0,0,0,,0,3,31,10.33,0,0,0,0,0,0
3,1974,1974-09-29,3,23.200,MIN,,CHI,W 11-7,0,0,,0,1,15,15.00,0,0,0,,0,0,0,0,0,0
4,1974,1974-10-06,4,23.207,MIN,@,DAL,W 23-21,,,,,,,,,,,,,,,,,
5,1974,1974-10-13,5,23.214,MIN,,HOU,W 51-10,0,0,,0,0,0,,0,1,20,20.00,0,0,0,1,3,0
6,1974,1974-10-20,6,23.221,MIN,,DET,L 16-20,,,,,,,,,,,,,,,,,
7,1974,1974-10-27,7,23.228,MIN,,NWE,L 14-17,0,0,,0,0,0,,0,4,13,3.25,0,0,0,0,0,0
8,1974,1974-11-03,8,23.235,MIN,@,CHI,W 17-0,0,0,,0,0,0,,0,2,9,4.50,0,0,0,0,0,0
9,1974,1974-11-11,9,23.243,MIN,@,STL,W 28-24,0,0,,0,0,0,,0,5,41,8.20,0,0,0,0,0,0
10,1974,1974-11-17,10,23.249,MIN,,GNB,L 7-19,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0,0,0
11,1974,1974-11-24,11,23.256,MIN,@,RAM,L 17-20,,,,,,,,,,,,,,,,,
12,1974,1974-12-01,12,23.263,MIN,,NOR,W 29-9,0,0,,0,0,0,,0,3,14,4.67,0,0,0,0,0,0
13,1974,1974-12-07,13,23.269,MIN,,ATL,W 23-10,0,0,,0,0,0,,0,5,40,8.00,0,0,0,0,0,0
14,1974,1974-12-14,14,23.276,MIN,@,KAN,W 35-15,,,,,,,,,,,,,,,,,
