ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1981,1981-10-04,5,24.220,HOU,,CIN,W 17-10,,,,,,,,
2,1981,1981-10-11,6,24.227,HOU,,SEA,W 35-17,,,,,,,,
3,1981,1981-10-18,7,24.234,HOU,@,NWE,L 10-38,,,,,,,,
4,1981,1981-10-26,8,24.242,HOU,@,PIT,L 13-26,,,,,,,,
5,1981,1981-11-01,9,24.248,HOU,@,CIN,L 21-34,,,,,,,,
6,1981,1981-11-08,10,24.255,HOU,,OAK,W 17-16,,,,,,,,
7,1981,1981-11-15,11,24.262,HOU,@,KAN,L 10-23,,,,,,,,
8,1981,1981-11-22,12,24.269,HOU,,NOR,L 24-27,,,,,,,,
9,1981,1981-11-29,13,24.276,HOU,,ATL,L 27-31,,,,,,,,
10,1981,1981-12-03,14,24.280,HOU,,CLE,W 17-13,,,,,,,,
11,1981,1981-12-13,15,24.290,HOU,@,SFO,L 6-28,,,,,,,,
12,1981,1981-12-20,16,24.297,HOU,,PIT,W 21-20,,,,,,,,
13,1982,1982-09-12,1,25.198,HOU,@,CIN,L 6-27,0,0,,0,0,0,,0
14,1982,1982-09-19,2,25.205,HOU,,SEA,W 23-21,1,8,8.00,0,0,0,,0
15,1982,1982-11-21,3,25.268,HOU,,PIT,L 10-24,0,0,,0,0,0,,0
16,1982,1982-11-28,4,25.275,HOU,@,NWE,L 21-29,0,0,,0,1,7,7.00,0
17,1982,1982-12-05,5,25.282,HOU,@,NYG,L 14-17,0,0,,0,0,0,,0
18,1982,1982-12-13,6,25.290,HOU,,DAL,L 7-37,0,0,,0,0,0,,0
19,1982,1982-12-19,7,25.296,HOU,@,PHI,L 14-35,0,0,,0,0,0,,0
20,1982,1982-12-26,8,25.303,HOU,,CLE,L 14-20,0,0,,0,0,0,,0
21,1982,1983-01-02,9,25.310,HOU,,CIN,L 27-35,0,0,,0,0,0,,0
