ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-11-09,9,24.186,DET,,JAX,L 14-38,,6,8,75.00,94,1,0,153.1,5,33,11.75,14.25,1,4,4.00,0,0,0,0.0,0,0
2,2008,2008-11-23,11,24.200,DET,,TAM,L 20-38,,2,6,33.33,13,0,0,42.4,0,0,2.17,2.17,0,0,,0,0,0,0.0,0,0
3,2008,2008-12-21,15,24.228,DET,,NOR,L 7-42,,1,3,33.33,12,0,0,46.5,1,2,4.00,4.00,2,16,8.00,0,0,0,0.0,0,0
4,2009,2009-10-18,6,25.164,DET,@,GNB,L 0-26,,5,11,45.45,57,0,2,22.0,3,21,5.18,-3.00,0,0,,0,0,0,0.0,0,0
5,2009,2009-12-20,14,25.227,DET,,ARI,L 24-31,,10,19,52.63,72,0,1,39.8,0,0,3.79,1.42,3,10,3.33,1,1,6,0.0,0,0
6,2009,2009-12-27,15,25.234,DET,@,SFO,L 6-20,*,11,21,52.38,130,0,3,31.9,2,6,6.19,-0.24,6,23,3.83,0,0,0,0.0,1,0
7,2010,2010-10-10,5,26.156,DET,,STL,W 44-6,,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00,3,-3,-1.00,0,0,0,0.0,0,0
8,2010,2010-10-17,6,26.163,DET,@,NYG,L 20-28,,19,34,55.88,222,1,1,73.4,2,11,6.53,5.79,3,30,10.00,0,0,0,0.0,0,0
9,2010,2010-11-07,8,26.184,DET,,NYJ,L 20-23,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,6,6.00,0,0,0,0.0,0,0
10,2010,2010-12-05,12,26.212,DET,,CHI,L 20-24,*,16,24,66.67,178,1,0,102.4,2,10,7.42,8.25,5,12,2.40,1,1,6,0.0,0,0
11,2010,2010-12-12,13,26.219,DET,,GNB,W 7-3,*,10,22,45.45,117,1,2,39.4,2,21,5.32,2.14,4,44,11.00,0,0,0,0.0,0,0
12,2010,2010-12-19,14,26.226,DET,@,TAM,W 23-20,*,23,37,62.16,252,1,0,91.3,0,0,6.81,7.35,2,24,12.00,0,0,0,0.0,0,0
