ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1992,1992-09-13,1,23.214,NWE,@,RAM,L 0-14,0,0,,0,,,,
2,1992,1992-09-20,2,23.221,NWE,,SEA,L 6-10,0,0,,0,,,,
3,1992,1992-09-27,3,23.228,NWE,,BUF,L 7-41,0,0,,0,,,,
4,1992,1992-10-04,4,23.235,NWE,@,NYJ,L 21-30,0,0,,0,,,,
5,1992,1992-10-11,5,23.242,NWE,,SFO,L 12-24,1,0,0.00,0,0.0,0,0,0
6,1992,1992-10-18,6,23.249,NWE,@,MIA,L 17-38,0,0,,0,,,,
7,1992,1992-10-25,7,23.256,NWE,,CLE,L 17-19,0,0,,0,,,,
8,1992,1992-11-01,8,23.263,NWE,@,BUF,L 7-16,0,0,,0,,,,
9,1992,1992-11-08,9,23.270,NWE,,NOR,L 14-31,0,0,,0,,,,
10,1992,1992-11-15,10,23.277,NWE,@,IND,W 37-34,0,0,,0,,,,
11,1992,1992-11-22,11,23.284,NWE,,NYJ,W 24-3,0,0,,0,1.0,0,0,0
12,1992,1992-11-29,12,23.291,NWE,@,ATL,L 0-34,0,0,,0,,,,
13,1992,1992-12-06,13,23.298,NWE,,IND,L 0-6,0,0,,0,,,,
14,1992,1992-12-13,14,23.305,NWE,@,KAN,L 20-27,0,0,,0,,,,
15,1992,1992-12-20,15,23.312,NWE,@,CIN,L 10-20,0,0,,0,,,,
16,1992,1992-12-27,16,23.319,NWE,,MIA,L 13-16,0,0,,0,,,,
17,1993,1993-09-05,1,24.205,NWE,@,BUF,L 14-38,,,,,,,,
18,1993,1993-09-19,3,24.219,NWE,,SEA,L 14-17,,,,,,,,
19,1993,1993-09-26,4,24.226,NWE,@,NYJ,L 7-45,,,,,,,,
20,1993,1993-10-17,6,24.247,NWE,,HOU,L 14-28,,,,,,,,
21,1993,1993-10-24,7,24.254,NWE,@,SEA,L 9-10,,,,,,,,
22,1993,1993-10-31,8,24.261,NWE,@,IND,L 6-9,,,,,,,,
23,1993,1993-11-07,9,24.268,NWE,,BUF,L 10-13,,,,,,,,
24,1993,1993-11-21,10,24.282,NWE,@,MIA,L 13-17,,,,,,,,
25,1993,1993-11-28,11,24.289,NWE,,NYJ,L 0-6,,,,,,,,
26,1993,1993-12-05,12,24.296,NWE,@,PIT,L 14-17,,,,,,,,
27,1993,1993-12-12,13,24.303,NWE,,CIN,W 7-2,,,,,,,,
28,1993,1993-12-19,14,24.310,NWE,@,CLE,W 20-17,0,0,,0,0.0,1,0,0
29,1993,1993-12-26,15,24.317,NWE,,IND,W 38-0,,,,,,,,
30,1993,1994-01-02,16,24.324,NWE,,MIA,W 33-27,,,,,,,,
31,1994,1994-12-24,16,25.315,SEA,@,CLE,L 9-35,,,,,,,,
