ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2009,2009-09-13,1,24.357,KAN,@,BAL,L 24-38,,0,0,,0,0,0,0,,0,0.0%,,1,17,17.00,0
2,2009,2009-09-20,2,24.364,KAN,,OAK,L 10-13,*,1,16,16.00,0,0,0,0,,0,0.0%,,0,0,,0
3,2009,2009-11-29,11,25.069,KAN,@,SDG,L 14-43,,0,0,,0,0,0,0,,0,0.0%,,5,94,18.80,0
4,2009,2009-12-06,12,25.076,KAN,,DEN,L 13-44,,0,0,,0,2,1,9,9.00,0,50.0%,4.50,6,126,21.00,0
5,2009,2009-12-27,15,25.097,KAN,@,CIN,L 10-17,,0,0,,0,0,0,0,,0,0.0%,,2,35,17.50,0
6,2009,2010-01-03,16,25.104,KAN,@,DEN,W 44-24,,1,26,26.00,0,0,0,0,,0,0.0%,,2,45,22.50,0
