ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1961,1961-09-17,1,22.294,BAL,,RAM,W 27-24,0,0,,0,2,90,45.00,0
2,1961,1961-09-24,2,22.301,BAL,,DET,L 15-16,0,0,,0,5,204,40.80,0
3,1961,1961-10-01,3,22.308,BAL,,MIN,W 34-33,0,0,,0,4,168,42.00,0
4,1961,1961-10-08,4,22.315,BAL,@,GNB,L 7-45,0,0,,0,2,106,53.00,0
5,1961,1961-10-15,5,22.322,BAL,@,CHI,L 10-24,0,0,,0,1,46,46.00,0
6,1961,1961-10-22,6,22.329,BAL,@,DET,W 17-14,0,0,,0,5,240,48.00,0
7,1961,1961-10-29,7,22.336,BAL,,CHI,L 20-21,0,0,,0,5,197,39.40,0
8,1961,1961-11-05,8,22.343,BAL,,GNB,W 45-21,0,0,,0,2,84,42.00,0
9,1961,1961-11-12,9,22.350,BAL,@,MIN,L 20-28,0,0,,0,1,44,44.00,0
10,1961,1961-11-19,10,22.357,BAL,,STL,W 16-0,0,0,,0,3,126,42.00,0
11,1961,1961-11-26,11,22.364,BAL,@,WAS,W 27-6,0,0,,0,3,138,46.00,0
12,1961,1961-12-03,12,23.006,BAL,,SFO,W 20-17,0,0,,0,3,120,40.00,0
13,1961,1961-12-09,13,23.012,BAL,@,RAM,L 17-34,0,0,,0,2,64,32.00,0
14,1961,1961-12-16,14,23.019,BAL,@,SFO,W 27-24,0,0,,0,4,176,44.00,0
15,1962,1962-09-16,1,23.293,BAL,,RAM,W 30-27,0,0,,0,6,261,43.50,0
16,1962,1962-09-23,2,23.300,BAL,@,MIN,W 34-7,0,0,,0,4,164,41.00,0
17,1962,1962-09-30,3,23.307,BAL,,DET,L 20-29,0,0,,0,4,212,53.00,0
18,1962,1962-10-07,4,23.314,BAL,,SFO,L 13-21,0,0,,0,3,102,34.00,0
19,1962,1962-10-14,5,23.321,BAL,@,CLE,W 36-14,0,0,,0,4,132,33.00,0
20,1962,1962-10-21,6,23.328,BAL,@,CHI,L 15-35,0,0,,0,5,231,46.20,0
21,1962,1962-10-28,7,23.335,BAL,,GNB,L 6-17,0,0,,0,1,41,41.00,0
22,1962,1962-11-04,8,23.342,BAL,@,SFO,W 22-3,0,0,,0,3,138,46.00,0
23,1962,1962-11-11,9,23.349,BAL,@,RAM,W 14-2,0,0,,0,6,273,45.50,0
24,1962,1962-11-18,10,23.356,BAL,@,GNB,L 13-17,0,0,,0,5,209,41.80,0
25,1962,1962-11-25,11,23.363,BAL,,CHI,L 0-57,0,0,,0,5,212,42.40,0
26,1962,1962-12-02,12,24.005,BAL,@,DET,L 14-21,0,0,,0,3,118,39.33,0
27,1962,1962-12-08,13,24.011,BAL,,WAS,W 34-21,0,0,,0,7,258,36.86,0
28,1962,1962-12-16,14,24.019,BAL,,MIN,W 42-17,0,0,,0,1,38,38.00,0
29,1963,1963-09-15,1,24.292,BAL,,NYG,L 28-37,0,0,,0,5,190,38.00,0
30,1963,1963-09-22,2,24.299,BAL,@,SFO,W 20-14,0,0,,0,3,149,49.67,0
31,1963,1963-09-29,3,24.306,BAL,@,GNB,L 20-31,0,0,,0,1,25,25.00,0
32,1963,1963-10-06,4,24.313,BAL,@,CHI,L 3-10,0,0,,0,8,370,46.25,0
33,1963,1963-10-13,5,24.320,BAL,,SFO,W 20-3,0,0,,0,6,244,40.67,0
34,1963,1963-10-20,6,24.327,BAL,@,DET,W 25-21,1,3,3.00,0,4,172,43.00,0
35,1963,1963-10-27,7,24.334,BAL,,GNB,L 20-34,1,26,26.00,0,3,134,44.67,0
36,1963,1963-11-03,8,24.341,BAL,,CHI,L 7-17,0,0,,0,3,122,40.67,0
37,1963,1963-11-10,9,24.348,BAL,,DET,W 24-21,1,0,0.00,0,2,71,35.50,0
38,1963,1963-11-17,10,24.355,BAL,@,MIN,W 37-34,0,0,,0,7,283,40.43,0
39,1963,1963-11-24,11,24.362,BAL,@,RAM,L 16-17,0,0,,0,5,211,42.20,0
40,1963,1963-12-01,12,25.004,BAL,@,WAS,W 36-20,0,0,,0,3,131,43.67,0
41,1963,1963-12-08,13,25.011,BAL,,MIN,W 41-10,0,0,,0,2,70,35.00,0
42,1964,1964-09-13,1,25.291,BAL,@,MIN,L 24-34,0,0,,0,7,288,41.14,0
43,1964,1964-09-20,2,25.298,BAL,@,GNB,W 21-20,0,0,,0,4,136,34.00,0
44,1964,1964-09-27,3,25.305,BAL,,CHI,W 52-0,0,0,,0,2,105,52.50,0
45,1964,1964-10-04,4,25.312,BAL,,RAM,W 35-20,0,0,,0,5,206,41.20,0
46,1964,1964-10-12,5,25.320,BAL,,STL,W 47-27,0,0,,0,3,132,44.00,0
47,1964,1964-10-18,6,25.326,BAL,,GNB,W 24-21,1,19,19.00,0,5,195,39.00,0
48,1964,1964-11-08,9,25.347,BAL,@,CHI,W 40-24,0,0,,0,1,43,43.00,0
49,1965,1965-09-19,1,26.296,BAL,,MIN,W 35-16,0,0,,0,2,74,37.00,0
50,1965,1965-09-26,2,26.303,BAL,@,GNB,L 17-20,0,0,,0,4,138,34.50,0
51,1965,1965-10-03,3,26.310,BAL,,SFO,W 27-24,0,0,,0,4,216,54.00,0
52,1965,1965-10-10,4,26.317,BAL,,DET,W 31-7,0,0,,0,6,226,37.67,0
53,1965,1965-10-17,5,26.324,BAL,@,WAS,W 38-7,0,0,,0,5,211,42.20,0
54,1965,1965-10-24,6,26.331,BAL,,RAM,W 35-20,0,0,,0,2,55,27.50,0
55,1965,1965-10-31,7,26.338,BAL,@,SFO,W 34-28,0,0,,0,2,84,42.00,0
56,1965,1965-11-07,8,26.345,BAL,@,CHI,W 26-21,0,0,,0,3,116,38.67,0
57,1965,1965-11-14,9,26.352,BAL,@,MIN,W 41-21,0,0,,0,3,119,39.67,0
58,1965,1965-11-21,10,26.359,BAL,,PHI,W 34-24,0,0,,0,2,61,30.50,0
59,1965,1965-11-25,11,26.363,BAL,@,DET,T 24-24,0,0,,0,6,219,36.50,0
60,1965,1965-12-05,12,27.008,BAL,,CHI,L 0-13,0,0,,0,6,281,46.83,0
61,1965,1965-12-12,13,27.015,BAL,,GNB,L 27-42,0,0,,0,4,139,34.75,0
62,1965,1965-12-18,14,27.021,BAL,@,RAM,W 20-17,0,0,,0,5,200,40.00,0
