ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1999,1999-10-31,8,22.124,DEN,,MIN,L 20-23,,,,,,,,,
2,1999,1999-11-07,9,22.131,DEN,@,SDG,W 33-17,,,,,,,,,
3,1999,1999-11-14,10,22.138,DEN,@,SEA,L 17-20,,,,,,,,,
4,1999,1999-11-22,11,22.146,DEN,,OAK,W 27-21,,,,,,,,,
5,1999,1999-12-05,12,22.159,DEN,,KAN,L 10-16,,,,,,,,,
6,1999,1999-12-13,13,22.167,DEN,@,JAX,L 24-27,,,,,,,,,
7,1999,1999-12-19,14,22.173,DEN,,SEA,W 36-30,,,,,,,,,
8,1999,1999-12-25,15,22.179,DEN,@,DET,W 17-7,,,,,,,,,
9,1999,2000-01-02,16,22.187,DEN,,SDG,L 6-12,,,,,,,,,
10,2000,2000-09-04,1,23.067,DEN,@,STL,L 36-41,,,,,,,,,
11,2000,2000-09-10,2,23.073,DEN,,ATL,W 42-14,,0,0,,0,1.0,0,0,0
12,2000,2000-09-17,3,23.080,DEN,@,OAK,W 33-24,,,,,,,,,
13,2000,2000-10-01,5,23.094,DEN,,NWE,L 19-28,,,,,,,,,
14,2000,2000-10-08,6,23.101,DEN,@,SDG,W 21-7,,,,,,,,,
15,2000,2000-10-15,7,23.108,DEN,,CLE,W 44-10,,,,,,,,,
16,2000,2000-10-22,8,23.115,DEN,@,CIN,L 21-31,,0,0,,0,1.0,0,0,0
17,2000,2000-11-05,9,23.129,DEN,@,NYJ,W 30-23,,,,,,,,,
18,2000,2000-11-19,11,23.143,DEN,,SDG,W 38-37,,,,,,,,,
19,2000,2000-11-26,12,23.150,DEN,@,SEA,W 38-31,,,,,,,,,
20,2000,2000-12-03,13,23.157,DEN,@,NOR,W 38-23,,,,,,,,,
21,2000,2000-12-10,14,23.164,DEN,,SEA,W 31-24,,,,,,,,,
22,2000,2000-12-23,16,23.177,DEN,,SFO,W 38-9,,,,,,,,,
23,2001,2001-11-11,9,24.135,DEN,,SDG,W 26-16,,,,,,,,,
24,2001,2001-11-18,10,24.142,DEN,,WAS,L 10-17,,,,,,,,,
25,2001,2001-11-22,11,24.146,DEN,@,DAL,W 26-24,,0,0,,0,1.0,0,0,0
26,2001,2001-12-02,12,24.156,DEN,@,MIA,L 10-21,,,,,,,,,
27,2001,2001-12-09,13,24.163,DEN,,SEA,W 20-7,,,,,,,,,
28,2001,2001-12-16,14,24.170,DEN,@,KAN,L 23-26,,,,,,,,,
29,2001,2001-12-30,15,24.184,DEN,,OAK,W 23-17,,,,,,,,,
30,2001,2002-01-06,16,24.191,DEN,@,IND,L 10-29,,,,,,,,,
31,2002,2002-09-08,1,25.071,DEN,,STL,W 23-16,,,,,,,,,
32,2002,2002-09-15,2,25.078,DEN,@,SFO,W 24-14,,,,,,,,,
33,2002,2002-09-22,3,25.085,DEN,,BUF,W 28-23,,0,0,,0,1.0,0,0,0
34,2002,2002-09-30,4,25.093,DEN,@,BAL,L 23-34,,1,16,16.00,0,0.0,0,0,0
35,2002,2002-10-06,5,25.099,DEN,,SDG,W 26-9,,,,,,,,,
36,2002,2002-10-13,6,25.106,DEN,,MIA,L 22-24,,0,0,,0,0.0,1,31,0
37,2002,2002-10-20,7,25.113,DEN,@,KAN,W 37-34,,,,,,,,,
38,2002,2002-10-27,8,25.120,DEN,@,NWE,W 24-16,,,,,,,,,
39,2002,2002-11-11,9,25.135,DEN,,OAK,L 10-34,,2,33,16.50,0,0.0,0,0,0
40,2002,2002-11-24,11,25.148,DEN,,IND,L 20-23,,1,25,25.00,0,0.0,0,0,0
41,2002,2002-12-01,12,25.155,DEN,@,SDG,L 27-30,,,,,,,,,
42,2002,2002-12-08,13,25.162,DEN,@,NYJ,L 13-19,,,,,,,,,
43,2002,2002-12-15,14,25.169,DEN,,KAN,W 31-24,*,,,,,,,,
44,2002,2002-12-22,15,25.176,DEN,@,OAK,L 16-28,,,,,,,,,
45,2002,2002-12-29,16,25.183,DEN,,ARI,W 37-7,,,,,,,,,
46,2003,2003-09-07,1,26.070,IND,@,CLE,W 9-6,*,,,,,,,,
47,2003,2003-09-14,2,26.077,IND,,TEN,W 33-7,*,,,,,,,,
48,2003,2003-09-21,3,26.084,IND,,JAX,W 23-13,*,,,,,,,,
49,2003,2003-09-28,4,26.091,IND,@,NOR,W 55-21,*,,,,,,,,
50,2003,2003-10-06,5,26.099,IND,@,TAM,W 38-35,*,,,,,,,,
51,2003,2003-10-12,6,26.105,IND,,CAR,L 20-23,*,,,,,,,,
52,2003,2003-10-26,7,26.119,IND,,HOU,W 30-21,*,,,,,,,,
53,2003,2003-11-23,11,26.147,IND,@,BUF,W 17-14,*,,,,,,,,
54,2003,2003-11-30,12,26.154,IND,,NWE,L 34-38,*,,,,,,,,
55,2003,2003-12-07,13,26.161,IND,@,TEN,W 29-27,,,,,,,,,
56,2003,2003-12-14,14,26.168,IND,,ATL,W 38-7,*,0,0,,0,0.5,0,0,0
57,2003,2003-12-21,15,26.175,IND,,DEN,L 17-31,*,,,,,,,,
58,2003,2003-12-28,16,26.182,IND,@,HOU,W 20-17,*,,,,,,,,
59,2004,2004-09-09,1,27.072,IND,@,NWE,L 24-27,*,,,,,,,,
60,2004,2004-09-19,2,27.082,IND,@,TEN,W 31-17,*,,,,,,,,
61,2004,2004-09-26,3,27.089,IND,,GNB,W 45-31,*,,,,,,,,
62,2004,2004-10-03,4,27.096,IND,@,JAX,W 24-17,*,,,,,,,,
63,2004,2004-10-10,5,27.103,IND,,OAK,W 35-14,*,0,0,,0,1.0,0,0,0
64,2004,2004-10-24,6,27.117,IND,,JAX,L 24-27,*,,,,,,,,
65,2004,2004-10-31,7,27.124,IND,@,KAN,L 35-45,*,,,,,,,,
66,2004,2004-11-08,8,27.132,IND,,MIN,W 31-28,*,,,,,,,,
67,2004,2004-11-14,9,27.138,IND,,HOU,W 49-14,*,,,,,,,,
68,2004,2004-11-21,10,27.145,IND,@,CHI,W 41-10,*,0,0,,0,2.0,0,0,0
69,2004,2004-11-25,11,27.149,IND,@,DET,W 41-9,*,0,0,,0,1.0,0,0,0
70,2004,2004-12-05,12,27.159,IND,,TEN,W 51-24,*,0,0,,0,1.0,0,0,0
71,2004,2004-12-12,13,27.166,IND,@,HOU,W 23-14,*,,,,,,,,
72,2004,2004-12-19,14,27.173,IND,,BAL,W 20-10,*,,,,,,,,
