ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1985,1985-09-08,1,22.165,PHI,@,NYG,L 0-21,,1,7,14.29,24,0,1,1.8,0,0,3.43,-3.00,1,4,4.00,0,,0,0,,0,,,0,0,0,0,,0
2,1985,1985-09-15,2,22.172,PHI,,RAM,L 6-17,*,14,34,41.18,211,0,4,22.7,5,31,6.21,0.91,10,90,9.00,0,,0,0,,0,,,0,0,0,0,,0
3,1985,1985-09-22,3,22.179,PHI,@,WAS,W 19-6,*,8,15,53.33,187,1,1,92.9,4,32,12.47,10.80,8,60,7.50,0,,0,0,,0,,,0,0,0,0,,0
4,1985,1985-09-29,4,22.186,PHI,,NYG,L 10-16,*,6,15,40.00,79,0,0,57.4,7,52,5.27,5.27,5,32,6.40,0,,0,0,,0,,,0,0,0,0,,0
5,1985,1985-10-06,5,22.193,PHI,@,NOR,L 21-23,*,2,7,28.57,6,0,2,0.0,2,15,0.86,-12.00,1,15,15.00,0,,0,0,,0,,,0,0,0,0,,0
6,1985,1985-11-17,11,22.235,PHI,@,STL,W 24-14,,3,3,100.00,41,0,0,118.7,2,20,13.67,13.67,4,4,1.00,0,,0,0,,0,,,0,0,0,0,,0
7,1986,1986-09-07,1,23.164,PHI,@,WAS,L 14-41,,1,3,33.33,8,0,0,42.4,2,12,2.67,2.67,2,31,15.50,0,,0,0,,0,,,0,0,1,15,15.00,0
8,1986,1986-09-14,2,23.171,PHI,@,CHI,L 10-13,,1,3,33.33,13,0,0,47.9,1,12,4.33,4.33,1,16,16.00,0,,0,0,,0,,,0,0,0,0,,0
9,1986,1986-09-21,3,23.178,PHI,,DEN,L 7-33,,2,3,66.67,32,1,1,102.1,2,23,10.67,2.33,3,25,8.33,0,,0,0,,0,,,0,0,0,0,,0
10,1986,1986-09-28,4,23.185,PHI,,RAM,W 34-20,,0,3,0.00,0,0,1,0.0,3,25,0.00,-15.00,2,20,10.00,0,,0,0,,0,,,0,0,0,0,,0
