ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1970,1970-09-20,1,22.249,CIN,,OAK,W 31-21,,,,,,,,
2,1970,1970-10-11,4,22.270,CIN,@,CLE,L 27-30,,,,,,,,
3,1970,1970-10-18,5,22.277,CIN,,KAN,L 19-27,,,,,,,,
4,1970,1970-10-25,6,22.284,CIN,@,WAS,L 0-20,,,,,,,,
5,1970,1970-11-02,7,22.292,CIN,@,PIT,L 10-21,,,,,,,,
6,1970,1970-11-08,8,22.298,CIN,@,BUF,W 43-14,,,,,,,,
7,1970,1970-11-15,9,22.305,CIN,,CLE,W 14-10,,,,,,,,
8,1970,1970-11-22,10,22.312,CIN,,PIT,W 34-7,,,,,,,,
9,1970,1970-11-29,11,22.319,CIN,,NOR,W 26-6,,,,,,,,
10,1970,1970-12-06,12,22.326,CIN,@,SDG,W 17-14,,,,,,,,
11,1970,1970-12-13,13,22.333,CIN,@,HOU,W 30-20,,,,,,,,
12,1970,1970-12-20,14,22.340,CIN,,BOS,W 45-7,,,,,,,,
13,1971,1971-09-19,1,23.248,CIN,,PHI,W 37-14,,,,,,,,
14,1971,1971-09-26,2,23.255,CIN,@,PIT,L 10-21,,,,,,,,
15,1971,1971-10-03,3,23.262,CIN,@,GNB,L 17-20,,,,,,,,
16,1971,1971-10-10,4,23.269,CIN,,MIA,L 13-23,,,,,,,,
17,1971,1971-10-17,5,23.276,CIN,,CLE,L 24-27,,,,,,,,
18,1971,1971-10-24,6,23.283,CIN,@,OAK,L 27-31,,,,,,,,
19,1971,1971-10-31,7,23.290,CIN,@,HOU,L 6-10,,,,,,,,
20,1971,1971-11-07,8,23.297,CIN,,ATL,L 6-9,,,,,,,,
21,1971,1971-11-14,9,23.304,CIN,@,DEN,W 24-10,,,,,,,,
22,1971,1971-11-21,10,23.311,CIN,,HOU,W 28-13,0,0,,0,1,0,0.00,0
23,1971,1971-11-28,11,23.318,CIN,,SDG,W 31-0,1,9,9.00,0,0,0,,0
24,1971,1971-12-05,12,23.325,CIN,@,CLE,L 27-31,,,,,,,,
25,1971,1971-12-12,13,23.332,CIN,,PIT,L 13-21,,,,,,,,
26,1971,1971-12-19,14,23.339,CIN,@,NYJ,L 21-35,,,,,,,,
27,1972,1972-09-24,2,24.254,CIN,,PIT,W 15-10,,,,,,,,
28,1972,1972-10-01,3,24.261,CIN,@,CLE,L 6-27,,,,,,,,
29,1972,1972-10-08,4,24.268,CIN,,DEN,W 21-10,,,,,,,,
30,1972,1972-10-15,5,24.275,CIN,@,KAN,W 23-16,,,,,,,,
31,1972,1972-10-22,6,24.282,CIN,@,RAM,L 12-15,,,,,,,,
32,1972,1972-10-29,7,24.289,CIN,,HOU,W 30-7,0,0,,0,1,0,0.00,0
33,1972,1972-11-05,8,24.296,CIN,@,PIT,L 17-40,,,,,,,,
34,1972,1972-11-12,9,24.303,CIN,,OAK,L 14-20,,,,,,,,
35,1972,1972-11-19,10,24.310,CIN,,BAL,L 19-20,,,,,,,,
36,1972,1972-11-26,11,24.317,CIN,@,CHI,W 13-3,,,,,,,,
37,1972,1972-12-03,12,24.324,CIN,,NYG,W 13-10,,,,,,,,
38,1972,1972-12-09,13,24.330,CIN,,CLE,L 24-27,,,,,,,,
39,1972,1972-12-17,14,24.338,CIN,@,HOU,W 61-17,,,,,,,,
40,1973,1973-09-16,1,25.245,NOR,,ATL,L 7-62,,,,,,,,
