ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1974,1974-09-15,1,24.204,CHI,,DET,W 17-9,2,116,58.00,0,0,0,,0,0,0
2,1974,1974-09-22,2,24.211,CHI,,NYJ,L 21-23,4,87,21.75,0,0,0,,0,0,0
3,1974,1974-09-29,3,24.218,CHI,@,MIN,L 7-11,6,112,18.67,0,0,0,,0,0,0
4,1974,1974-10-06,4,24.225,CHI,,NOR,W 24-10,3,43,14.33,0,0,0,,0,0,0
5,1974,1974-10-13,5,24.232,CHI,@,ATL,L 10-13,4,24,6.00,0,0,0,,0,0,0
6,1974,1974-10-21,6,24.240,CHI,,GNB,W 10-9,2,66,33.00,1,0,0,,0,1,6
7,1974,1974-10-27,7,24.246,CHI,@,BUF,L 6-16,6,79,13.17,0,0,0,,0,0,0
8,1974,1974-11-03,8,24.253,CHI,,MIN,L 0-17,,,,,,,,,,
9,1974,1974-11-10,9,24.260,CHI,@,GNB,L 3-20,5,73,14.60,0,0,0,,0,0,0
10,1974,1974-11-17,10,24.267,CHI,,SFO,L 0-34,3,37,12.33,0,1,-15,-15.00,0,0,0
11,1974,1974-11-24,11,24.274,CHI,@,DET,L 17-34,,,,,,,,,,
12,1974,1974-12-01,12,24.281,CHI,,NYG,W 16-13,,,,,,,,,,
13,1974,1974-12-08,13,24.288,CHI,@,SDG,L 21-28,3,48,16.00,0,0,0,,0,0,0
14,1974,1974-12-15,14,24.295,CHI,@,WAS,L 0-42,1,-2,-2.00,0,0,0,,0,0,0
15,1975,1975-09-21,1,25.210,GNB,,DET,L 16-30,,,,,,,,,,
16,1975,1975-09-29,2,25.218,GNB,@,DEN,L 13-23,,,,,,,,,,
17,1977,1977-11-06,8,27.256,KAN,,GNB,W 20-10,,,,,,,,,,
18,1977,1977-11-13,9,27.263,KAN,@,CHI,L 27-28,,,,,,,,,,
19,1977,1977-11-20,10,27.270,KAN,,DEN,L 7-14,,,,,,,,,,
20,1977,1977-11-27,11,27.277,KAN,@,HOU,L 20-34,,,,,,,,,,
21,1977,1977-12-18,14,27.298,KAN,@,OAK,L 20-21,,,,,,,,,,
