ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2015,2015-11-02,8,22.188,IND,@,CAR,L 26-29,,0,0,0,,0,0.0%,,0,0,,0,4,127,31.75,0,0,0,,0
2,2015,2015-11-08,9,22.194,IND,,DEN,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,1,23,23.00,0,3,2,0.67,0
3,2015,2015-11-22,10,22.208,IND,@,ATL,W 24-21,,0,0,0,,0,0.0%,,0,0,,0,2,70,35.00,0,4,17,4.25,0
4,2015,2015-11-29,11,22.215,IND,,TAM,W 25-12,,0,0,0,,0,0.0%,,0,0,,0,4,84,21.00,0,1,20,20.00,0
5,2015,2015-12-06,12,22.222,IND,@,PIT,L 10-45,,0,0,0,,0,0.0%,,0,0,,0,3,93,31.00,0,0,0,,0
6,2015,2015-12-13,13,22.229,IND,@,JAX,L 16-51,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,7,2.33,0
7,2015,2015-12-20,14,22.236,IND,,HOU,L 10-16,,0,0,0,,0,0.0%,,0,0,,0,3,80,26.67,0,4,67,16.75,0
8,2015,2015-12-27,15,22.243,IND,@,MIA,W 18-12,,0,0,0,,0,0.0%,,0,0,,0,3,58,19.33,0,2,35,17.50,0
9,2015,2016-01-03,16,22.250,IND,,TEN,W 30-24,,0,0,0,,0,0.0%,,0,0,,0,1,35,35.00,0,4,18,4.50,0
10,2016,2016-09-11,1,23.136,IND,,DET,L 35-39,,0,0,0,,0,0.0%,,0,0,,0,1,25,25.00,0,2,13,6.50,0
11,2016,2016-09-18,2,23.143,IND,@,DEN,L 20-34,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,2,47,23.50,0,0,0,,0
12,2016,2016-09-25,3,23.150,IND,,SDG,W 26-22,,0,0,0,,0,0.0%,,0,0,,0,1,18,18.00,0,1,0,0.00,0
13,2016,2016-10-02,4,23.157,IND,@,JAX,L 27-30,,0,0,0,,0,0.0%,,0,0,,0,1,39,39.00,0,2,18,9.00,0
14,2016,2016-10-09,5,23.164,IND,,CHI,W 29-23,,3,2,29,14.50,0,66.7%,9.67,1,7,7.00,0,2,52,26.00,0,1,20,20.00,0
15,2016,2016-10-16,6,23.171,IND,@,HOU,L 23-26,,0,0,0,,0,0.0%,,0,0,,0,2,50,25.00,0,1,7,7.00,0
16,2017,2017-09-10,1,24.135,IND,@,LAR,L 9-46,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,3,0,0.00,0
17,2017,2017-09-17,2,24.142,IND,,ARI,L 13-16,,0,0,0,,0,0.0%,,0,0,,0,3,79,26.33,0,4,23,5.75,0
18,2017,2017-09-24,3,24.149,IND,,CLE,W 31-28,,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0,,0,3,16,5.33,0
19,2017,2017-10-01,4,24.156,IND,@,SEA,L 18-46,,0,0,0,,0,0.0%,,0,0,,0,5,83,16.60,0,0,0,,0
20,2017,2017-10-08,5,24.163,IND,,SFO,W 26-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,7,3.50,0
21,2017,2017-10-16,6,24.171,IND,@,TEN,L 22-36,,0,0,0,,0,0.0%,,0,0,,0,5,157,31.40,0,0,0,,0
22,2017,2017-10-22,7,24.177,IND,,JAX,L 0-27,,2,2,17,8.50,0,100.0%,8.50,0,0,,0,3,75,25.00,0,1,0,0.00,0
23,2017,2017-10-29,8,24.184,IND,@,CIN,L 23-24,,0,0,0,,0,0.0%,,0,0,,0,1,19,19.00,0,1,20,20.00,0
24,2017,2017-11-05,9,24.191,IND,@,HOU,W 20-14,,0,0,0,,0,0.0%,,0,0,,0,1,17,17.00,0,3,24,8.00,0
