ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1988,1988-09-04,1,22.183,DAL,@,PIT,L 21-24,,,3,73,24.33,1,,,1,2,2.00,0,1,6
2,1988,1988-09-12,2,22.191,DAL,@,PHO,W 17-14,,,1,47,47.00,0,,,0,0,,0,0,0
3,1988,1988-09-18,3,22.197,DAL,,NYG,L 10-12,,,6,96,16.00,0,,,0,0,,0,0,0
4,1988,1988-09-25,4,22.204,DAL,,ATL,W 26-20,,,1,12,12.00,0,,,0,0,,0,0,0
5,1988,1988-10-03,5,22.212,DAL,@,NOR,L 17-20,,,1,19,19.00,0,,,0,0,,0,0,0
6,1988,1988-10-23,8,22.232,DAL,@,PHI,L 23-24,,,0,0,,0,,,0,0,,0,0,
7,1988,1988-10-30,9,22.239,DAL,,PHO,L 10-16,,,0,0,,0,,,0,0,,0,0,
8,1988,1988-11-06,10,22.246,DAL,@,NYG,L 21-29,,,3,28,9.33,1,,,0,0,,0,1,6
9,1988,1988-11-13,11,22.253,DAL,,MIN,L 3-43,,,2,42,21.00,0,,,0,0,,0,0,0
10,1988,1988-11-20,12,22.260,DAL,,CIN,L 24-38,,,4,94,23.50,0,,,0,0,,0,0,0
11,1988,1988-11-24,13,22.264,DAL,,HOU,L 17-25,,,1,22,22.00,0,,,0,0,,0,0,0
12,1988,1988-12-04,14,22.274,DAL,@,CLE,L 21-24,,,2,37,18.50,0,,,0,0,,0,0,0
13,1988,1988-12-11,15,22.281,DAL,@,WAS,W 24-17,,,6,149,24.83,3,,,0,0,,0,3,18
14,1988,1988-12-18,16,22.288,DAL,,PHI,L 7-23,,,2,35,17.50,0,,,0,0,,0,0,0
15,1989,1989-09-10,1,23.189,DAL,@,NOR,L 0-28,,,4,53,13.25,0,,,0,0,,0,0,0
16,1989,1989-09-17,2,23.196,DAL,@,ATL,L 21-27,,,5,115,23.00,1,,,1,6,6.00,0,1,6
17,1989,1989-09-24,3,23.203,DAL,,WAS,L 7-30,,,5,78,15.60,0,,,0,0,,0,0,0
18,1989,1989-10-01,4,23.210,DAL,,NYG,L 13-30,,,0,0,,0,,,0,0,,0,0,
19,1989,1989-10-08,5,23.217,DAL,@,GNB,L 13-31,,,6,72,12.00,1,,,0,0,,0,1,6
20,1989,1989-10-15,6,23.224,DAL,,SFO,L 14-31,,,6,60,10.00,0,,,0,0,,0,0,0
21,1990,1990-10-07,5,24.216,DAL,,TAM,W 14-10,,,0,0,,0,,,,,,,,
22,1990,1990-10-14,6,24.223,DAL,@,PHO,L 3-20,,,0,0,,0,,,,,,,,
23,1990,1990-10-21,7,24.230,DAL,@,TAM,W 17-13,,,2,42,21.00,1,,,0,0,,0,1,6
24,1990,1990-10-28,8,24.237,DAL,,PHI,L 20-21,,,2,36,18.00,0,,,0,0,,0,0,0
25,1990,1990-11-04,9,24.244,DAL,@,NYJ,L 9-24,,,4,93,23.25,0,,,0,0,,0,0,0
26,1990,1990-11-11,10,24.251,DAL,,SFO,L 6-24,,,1,10,10.00,0,,,0,0,,0,0,0
27,1990,1990-11-18,11,24.258,DAL,@,RAM,W 24-21,,,2,71,35.50,2,,,0,0,,0,2,12
28,1990,1990-11-22,12,24.262,DAL,,WAS,W 27-17,,,3,30,10.00,1,,,0,0,,0,1,6
29,1990,1990-12-02,13,24.272,DAL,,NOR,W 17-13,,,1,24,24.00,0,,,0,0,,0,0,0
30,1990,1990-12-16,14,24.286,DAL,,PHO,W 41-10,,,4,91,22.75,1,,,0,0,,0,1,6
31,1990,1990-12-23,15,24.293,DAL,@,PHI,L 3-17,,,0,0,,0,,,,,,,,
32,1990,1990-12-30,16,24.300,DAL,@,ATL,L 7-26,,,1,16,16.00,0,,,0,0,,0,0,0
33,1991,1991-09-01,1,25.180,DAL,@,CLE,W 26-14,,,9,123,13.67,1,,,0,0,,0,1,6
34,1991,1991-09-09,2,25.188,DAL,,WAS,L 31-33,,,4,44,11.00,1,,,0,0,,0,1,6
35,1991,1991-09-15,3,25.194,DAL,,PHI,L 0-24,,,1,4,4.00,0,,,0,0,,0,0,0
36,1991,1991-09-22,4,25.201,DAL,@,PHO,W 17-9,,,3,68,22.67,0,,,0,0,,0,0,0
37,1991,1991-09-29,5,25.208,DAL,,NYG,W 21-16,,,6,91,15.17,1,,,0,0,,0,1,6
38,1991,1991-10-06,6,25.215,DAL,@,GNB,W 20-17,,,5,69,13.80,0,,,0,0,,0,0,0
39,1991,1991-10-13,7,25.222,DAL,,CIN,W 35-23,,,6,148,24.67,0,,,0,0,,0,0,0
40,1991,1991-10-27,8,25.236,DAL,@,DET,L 10-34,,,8,143,17.88,0,,,0,0,,0,0,0
41,1991,1991-11-03,9,25.243,DAL,,PHO,W 27-7,,,4,52,13.00,0,,,0,0,,0,0,0
42,1991,1991-11-10,10,25.250,DAL,@,HOU,L 23-26,,,7,84,12.00,1,,,0,0,,0,1,6
43,1991,1991-11-17,11,25.257,DAL,@,NYG,L 9-22,,,3,48,16.00,0,,,0,0,,0,0,0
44,1991,1991-11-24,12,25.264,DAL,@,WAS,W 24-21,,,9,130,14.44,1,,,0,0,,0,1,6
45,1991,1991-11-28,13,25.268,DAL,,PIT,W 20-10,,,8,157,19.63,1,,,0,0,,0,1,6
46,1991,1991-12-08,14,25.278,DAL,,NOR,W 23-14,,,5,101,20.20,0,,,0,0,,0,0,0
47,1991,1991-12-15,15,25.285,DAL,@,PHI,W 25-13,,,5,92,18.40,1,,,0,0,,0,1,6
48,1991,1991-12-22,16,25.292,DAL,,ATL,W 31-27,,,10,169,16.90,1,,,0,0,,0,1,6
49,1992,1992-09-07,1,26.186,DAL,,WAS,W 23-10,,7,5,89,17.80,0,71.4%,12.71,0,0,,0,0,0
50,1992,1992-09-13,2,26.192,DAL,@,NYG,W 34-28,,9,4,73,18.25,1,44.4%,8.11,0,0,,0,1,6
51,1992,1992-09-20,3,26.199,DAL,,PHO,W 31-20,,10,8,210,26.25,3,80.0%,21.00,1,-9,-9.00,0,3,18
52,1992,1992-10-05,4,26.214,DAL,@,PHI,L 7-31,,8,4,105,26.25,0,50.0%,13.13,0,0,,0,0,0
53,1992,1992-10-11,5,26.220,DAL,,SEA,W 27-0,,8,6,113,18.83,0,75.0%,14.13,0,0,,0,0,0
54,1992,1992-10-18,6,26.227,DAL,,KAN,W 17-10,,9,6,84,14.00,0,66.7%,9.33,0,0,,0,0,0
55,1992,1992-10-25,7,26.234,DAL,@,RAI,W 28-13,,6,3,54,18.00,0,50.0%,9.00,0,0,,0,0,0
56,1992,1992-11-01,8,26.241,DAL,,PHI,W 20-10,,3,2,29,14.50,0,66.7%,9.67,0,0,,0,0,0
57,1992,1992-11-08,9,26.248,DAL,@,DET,W 37-3,,7,5,114,22.80,1,71.4%,16.29,0,0,,0,1,6
58,1992,1992-11-15,10,26.255,DAL,,RAM,L 23-27,,15,8,168,21.00,0,53.3%,11.20,0,0,,0,0,0
59,1992,1992-11-22,11,26.262,DAL,@,PHO,W 16-10,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0
60,1992,1992-11-26,12,26.266,DAL,,NYG,W 30-3,,7,4,37,9.25,0,57.1%,5.29,0,0,,0,0,0
61,1992,1992-12-06,13,26.276,DAL,@,DEN,W 31-27,,9,6,62,10.33,2,66.7%,6.89,0,0,,0,2,12
62,1992,1992-12-13,14,26.283,DAL,@,WAS,L 17-20,,6,5,105,21.00,0,83.3%,17.50,0,0,,0,0,0
63,1992,1992-12-21,15,26.291,DAL,@,ATL,W 41-17,,7,6,89,14.83,0,85.7%,12.71,0,0,,0,0,0
64,1992,1992-12-27,16,26.297,DAL,,CHI,W 27-14,,10,5,46,9.20,0,50.0%,4.60,0,0,,0,0,0
65,1993,1993-09-06,1,27.185,DAL,@,WAS,L 16-35,,15,7,88,12.57,0,46.7%,5.87,0,0,,0,0,0
66,1993,1993-09-12,2,27.191,DAL,,BUF,L 10-13,,13,8,115,14.38,0,61.5%,8.85,0,0,,0,0,0
67,1993,1993-09-19,3,27.198,DAL,@,PHO,W 17-10,,7,5,74,14.80,0,71.4%,10.57,2,6,3.00,0,0,0
68,1993,1993-10-03,4,27.212,DAL,,GNB,W 36-14,,8,7,155,22.14,1,87.5%,19.38,0,0,,0,1,6
69,1993,1993-10-10,5,27.219,DAL,@,IND,W 27-3,,9,7,112,16.00,0,77.8%,12.44,0,0,,0,0,0
70,1993,1993-10-17,6,27.226,DAL,,SFO,W 26-17,,15,12,168,14.00,1,80.0%,11.20,0,0,,0,1,6
71,1993,1993-10-31,7,27.240,DAL,@,PHI,W 23-10,,6,3,36,12.00,0,50.0%,6.00,0,0,,0,0,0
72,1993,1993-11-07,8,27.247,DAL,,NYG,W 31-9,,5,3,74,24.67,0,60.0%,14.80,0,0,,0,0,0
73,1993,1993-11-14,9,27.254,DAL,,PHO,W 20-15,,7,4,63,15.75,0,57.1%,9.00,0,0,,0,0,0
74,1993,1993-11-21,10,27.261,DAL,@,ATL,L 14-27,,4,1,5,5.00,0,25.0%,1.25,0,0,,0,0,0
75,1993,1993-11-25,11,27.265,DAL,,MIA,L 14-16,,14,3,31,10.33,0,21.4%,2.21,0,0,,0,0,0
76,1993,1993-12-06,12,27.276,DAL,,PHI,W 23-17,,7,6,90,15.00,1,85.7%,12.86,0,0,,0,1,6
77,1993,1993-12-12,13,27.282,DAL,@,MIN,W 37-20,,15,8,125,15.63,1,53.3%,8.33,0,0,,0,1,6
78,1993,1993-12-18,14,27.288,DAL,@,NYJ,W 28-7,,7,6,91,15.17,2,85.7%,13.00,0,0,,0,2,12
79,1993,1993-12-26,15,27.296,DAL,,WAS,W 38-3,,5,5,53,10.60,1,100.0%,10.60,0,0,,0,1,6
80,1993,1994-01-02,16,27.303,DAL,@,NYG,W 16-13,,6,3,50,16.67,0,50.0%,8.33,0,0,,0,0,0
81,1994,1994-09-04,1,28.183,DAL,@,PIT,W 26-9,,10,8,139,17.38,0,80.0%,13.90,0,0,,0,0,0
82,1994,1994-09-11,2,28.190,DAL,,HOU,W 20-17,,9,3,35,11.67,0,33.3%,3.89,0,0,,0,0,0
83,1994,1994-09-19,3,28.198,DAL,,DET,L 17-20,,8,3,47,15.67,0,37.5%,5.88,0,0,,0,0,0
84,1994,1994-10-02,4,28.211,DAL,@,WAS,W 34-7,,6,5,49,9.80,0,83.3%,8.17,0,0,,0,0,0
85,1994,1994-10-09,5,28.218,DAL,,ARI,W 38-3,,8,8,136,17.00,1,100.0%,17.00,0,0,,0,1,6
86,1994,1994-10-16,6,28.225,DAL,,PHI,W 24-13,,5,2,33,16.50,0,40.0%,6.60,0,0,,0,0,0
87,1994,1994-10-23,7,28.232,DAL,@,ARI,W 28-21,,7,5,115,23.00,2,71.4%,16.43,0,0,,0,2,12
88,1994,1994-10-30,8,28.239,DAL,@,CIN,W 23-20,,10,5,72,14.40,1,50.0%,7.20,0,0,,0,1,6
89,1994,1994-11-07,9,28.247,DAL,,NYG,W 38-10,,7,7,118,16.86,0,100.0%,16.86,0,0,,0,0,0
90,1994,1994-11-13,10,28.253,DAL,@,SFO,L 14-21,,11,8,94,11.75,0,72.7%,8.55,0,0,,0,0,0
91,1994,1994-11-20,11,28.260,DAL,,WAS,W 31-7,,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0
92,1994,1994-11-24,12,28.264,DAL,,GNB,W 42-31,,5,3,64,21.33,1,60.0%,12.80,0,0,,0,1,6
93,1994,1994-12-04,13,28.274,DAL,@,PHI,W 31-19,,7,4,117,29.25,1,57.1%,16.71,0,0,,0,1,6
94,1994,1994-12-10,14,28.280,DAL,,CLE,L 14-19,,14,7,88,12.57,0,50.0%,6.29,0,0,,0,0,0
95,1994,1994-12-19,15,28.289,DAL,@,NOR,W 24-16,,7,6,71,11.83,0,85.7%,10.14,0,0,,0,0,0
96,1994,1994-12-24,16,28.294,DAL,@,NYG,L 10-15,,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0
97,1995,1995-09-04,1,29.183,DAL,@,NYG,W 35-0,,11,7,109,15.57,1,63.6%,9.91,0,0,,0,1,6
98,1995,1995-09-10,2,29.189,DAL,,DEN,W 31-21,,10,6,94,15.67,0,60.0%,9.40,0,0,,0,0,0
99,1995,1995-09-17,3,29.196,DAL,@,MIN,W 23-17,,16,8,107,13.38,1,50.0%,6.69,0,0,,0,1,6
100,1995,1995-09-24,4,29.203,DAL,,ARI,W 34-20,,7,5,105,21.00,0,71.4%,15.00,0,0,,0,0,0
101,1995,1995-10-01,5,29.210,DAL,@,WAS,L 23-27,,8,7,105,15.00,1,87.5%,13.13,0,0,,0,1,6
102,1995,1995-10-08,6,29.217,DAL,,GNB,W 34-24,,13,8,150,18.75,1,61.5%,11.54,0,0,,0,1,6
103,1995,1995-10-15,7,29.224,DAL,@,SDG,W 23-9,,9,7,103,14.71,0,77.8%,11.44,0,0,,0,0,0
104,1995,1995-10-29,8,29.238,DAL,@,ATL,W 28-13,,15,10,135,13.50,1,66.7%,9.00,0,0,,0,1,6
105,1995,1995-11-06,9,29.246,DAL,,PHI,W 34-12,,11,8,115,14.38,1,72.7%,10.45,0,0,,0,1,6
106,1995,1995-11-12,10,29.252,DAL,,SFO,L 20-38,,7,4,37,9.25,1,57.1%,5.29,0,0,,0,1,6
107,1995,1995-11-19,11,29.259,DAL,@,OAK,W 34-21,,8,7,109,15.57,1,87.5%,13.63,0,0,,0,1,6
108,1995,1995-11-23,12,29.263,DAL,,KAN,W 24-12,,13,11,121,11.00,1,84.6%,9.31,0,0,,0,1,6
