ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1960,1960-09-09,1,25.014,BOS,,DEN,L 10-13,8,29,3.63,0,2,42,21.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
2,1960,1960-09-17,2,25.022,BOS,@,NYT,W 28-24,4,23,5.75,0,2,3,1.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
3,1960,1960-09-23,3,25.028,BOS,,BUF,L 0-13,2,4,2.00,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,1,0.0,0,0
4,1960,1960-10-08,4,25.043,BOS,@,LAC,W 35-0,19,93,4.89,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
5,1960,1960-10-16,5,25.051,BOS,@,OAK,L 14-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1960,1960-10-23,6,25.058,BOS,@,DEN,L 24-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1960,1960-10-28,7,25.063,BOS,,LAC,L 16-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1960,1960-11-04,8,25.070,BOS,,OAK,W 34-28,1,1,1.00,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
9,1960,1960-11-11,9,25.077,BOS,,NYT,W 38-21,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
10,1960,1960-11-18,10,25.084,BOS,,DTX,W 42-14,3,46,15.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
11,1960,1960-11-25,11,25.091,BOS,,HOU,L 10-24,3,18,6.00,0,2,26,13.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
12,1960,1960-12-04,12,25.100,BOS,@,BUF,L 14-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1960,1960-12-11,13,25.107,BOS,@,DTX,L 0-34,6,14,2.33,0,2,8,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
14,1960,1960-12-18,14,25.114,BOS,@,HOU,L 21-37,4,6,1.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
15,1961,1961-10-07,5,26.042,BOS,,SDG,L 27-38,6,13,2.17,0,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
16,1961,1961-10-22,7,26.057,BOS,,BUF,W 52-21,8,45,5.63,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
17,1961,1961-10-29,8,26.064,BOS,@,DTX,W 18-17,12,39,3.25,0,2,11,5.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
18,1961,1961-11-03,9,26.069,BOS,,DTX,W 28-21,0,0,,0,1,-10,-10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
19,1961,1961-11-12,10,26.078,BOS,@,HOU,L 15-27,2,15,7.50,0,1,25,25.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
20,1961,1961-11-17,11,26.083,BOS,,OAK,W 20-17,13,36,2.77,0,4,55,13.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
21,1962,1962-09-08,1,27.013,BOS,@,DTX,L 28-42,9,35,3.89,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
22,1962,1962-09-16,2,27.021,BOS,,HOU,W 34-21,5,18,3.60,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
