ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1996,1996-09-01,1,22.189,DEN,,NYJ,W 31-6,,,,,,,0.0%,,,,,,,,,,,
2,1996,1996-09-08,2,22.196,DEN,@,SEA,W 30-20,,,,,,,0.0%,,,,,,,,,,,
3,1996,1996-09-15,3,22.203,DEN,,TAM,W 27-23,,,,,,,0.0%,,,,,,,,,,,
4,1996,1996-09-22,4,22.210,DEN,@,KAN,L 14-17,,,,,,,0.0%,,,,,,,,,,,
5,1996,1996-10-06,6,22.224,DEN,,SDG,W 28-17,,,,,,,0.0%,,,,,,,,,,,
6,1996,1996-10-20,7,22.238,NWE,@,IND,W 27-9,,,,,,,0.0%,,,,,,,,,,,
7,1996,1996-10-27,8,22.245,DEN,,KAN,W 34-7,,,,,,,0.0%,,,,,,,,,,,
8,1996,1996-11-04,9,22.253,DEN,@,OAK,W 22-21,,,,,,,0.0%,,,,,,,,,,,
9,1996,1996-11-10,10,22.259,DEN,,CHI,W 17-12,,,,,,,0.0%,,,,,,,,,,,
10,1996,1996-11-17,11,22.266,DEN,@,NWE,W 34-8,,,,,,,0.0%,,,,,,,,,,,
11,1996,1996-11-24,12,22.273,DEN,@,MIN,W 21-17,,,,,,,0.0%,,,,,,,,,,,
12,1996,1996-12-08,14,22.287,DEN,@,GNB,L 6-41,,,,,,,0.0%,,,,,,,,,,,
13,1996,1996-12-22,16,22.301,DEN,@,SDG,L 10-16,,,,,,,0.0%,,,,,,,,,,,
14,1997,1997-08-31,1,23.187,DEN,,KAN,W 19-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
15,1997,1997-09-07,2,23.194,DEN,@,SEA,W 35-14,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
16,1997,1997-09-14,3,23.201,DEN,,STL,W 35-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
17,1997,1997-09-21,4,23.208,DEN,,CIN,W 38-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
18,1997,1997-09-28,5,23.215,DEN,@,ATL,W 29-21,,1,1,17,17.00,1,100.0%,17.00,1,1,1.00,0,1,0,0.00,0,1,6
19,1997,1997-10-06,6,23.223,DEN,,NWE,W 34-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
20,1997,1997-10-19,7,23.236,DEN,@,OAK,L 25-28,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0
21,1997,1997-10-26,8,23.243,DEN,@,BUF,W 23-20,,1,1,8,8.00,0,100.0%,8.00,1,-2,-2.00,0,0,0,,0,0,0
22,1997,1997-11-02,9,23.250,DEN,,SEA,W 30-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
23,1997,1997-11-09,10,23.257,DEN,,CAR,W 34-0,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
24,1997,1997-11-16,11,23.264,DEN,@,KAN,L 22-24,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
25,1997,1997-11-24,12,23.272,DEN,,OAK,W 31-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
26,1997,1997-11-30,13,23.278,DEN,@,SDG,W 38-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
