ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1984,1984-09-02,1,22.144,NOR,,ATL,L 28-36,,,,,,,,,,
2,1984,1984-09-09,2,22.151,NOR,,TAM,W 17-13,,,,,,,,,,
3,1984,1984-09-16,3,22.158,NOR,@,SFO,L 20-30,,,,,,,,,,
4,1984,1984-09-23,4,22.165,NOR,,STL,W 34-24,,,,,,,,,,
5,1984,1984-09-30,5,22.172,NOR,@,HOU,W 27-10,,,,,,,,,,
6,1984,1984-10-07,6,22.179,NOR,@,CHI,L 7-20,,,,,,,,,,
7,1984,1984-10-28,9,22.200,NOR,@,CLE,W 16-14,,,,,,,,,,
8,1984,1984-11-04,10,22.207,NOR,,GNB,L 13-23,,,,,,,,,,
9,1984,1984-11-11,11,22.214,NOR,@,ATL,W 17-13,,,,,,,,,,
10,1984,1984-11-19,12,22.222,NOR,,PIT,W 27-24,,,,,,,,,,
11,1984,1984-11-25,13,22.228,NOR,,SFO,L 3-35,,,,,,,,,,
12,1984,1984-12-02,14,22.235,NOR,@,RAM,L 21-34,,,,,,,,,,
13,1984,1984-12-09,15,22.242,NOR,,CIN,L 21-24,,,,,,,,,,
14,1984,1984-12-15,16,22.248,NOR,@,NYG,W 10-3,,,,,,,,,,
15,1985,1985-09-08,1,23.150,NOR,,KAN,L 27-47,,,,,,,,,,
16,1985,1985-09-15,2,23.157,NOR,@,DEN,L 23-34,,,,,,,,,,
17,1985,1985-09-22,3,23.164,NOR,,TAM,W 20-13,0,0,,0,0,0,0.0,1,21,0
18,1985,1985-09-29,4,23.171,NOR,@,SFO,W 20-17,0,0,,0,0,0,0.0,1,5,0
19,1985,1985-10-06,5,23.178,NOR,,PHI,W 23-21,,,,,,,,,,
20,1985,1985-10-13,6,23.185,NOR,@,RAI,L 13-23,,,,,,,,,,
21,1985,1985-10-20,7,23.192,NOR,@,ATL,L 24-31,,,,,,,,,,
22,1985,1985-10-27,8,23.199,NOR,,NYG,L 13-21,,,,,,,,,,
