ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1951,1951-09-28,1,24.119,NYY,@,RAM,L 14-54,,2,10,20.00,16,0,0,39.6,0,0,1.60,1.60,2,7,3.50,0,0,0,,0
2,1951,1951-10-14,3,24.135,NYY,@,CHI,L 21-24,,7,8,87.50,97,1,0,156.8,0,0,12.13,14.63,0,0,,0,0,0,,0
3,1951,1951-10-21,4,24.142,NYY,@,DET,T 24-24,*,13,30,43.33,223,1,0,80.3,0,0,7.43,8.10,4,13,3.25,0,0,0,,0
4,1951,1951-10-28,5,24.149,NYY,,GNB,L 27-29,*,14,27,51.85,319,3,2,100.7,0,0,11.81,10.70,3,12,4.00,0,0,0,,0
5,1951,1951-11-04,6,24.156,NYY,@,NYG,L 31-37,*,17,42,40.48,224,0,2,38.2,0,0,5.33,3.19,0,0,,0,0,0,,0
6,1951,1951-11-11,7,24.163,NYY,@,SFO,L 14-19,*,10,25,40.00,168,1,2,43.4,0,0,6.72,3.92,7,5,0.71,0,0,0,,0
7,1951,1951-11-18,8,24.170,NYY,@,RAM,L 21-48,*,7,22,31.82,61,0,1,22.2,0,0,2.77,0.73,1,9,9.00,0,1,20,20.00,1
8,1951,1951-11-25,9,24.177,NYY,,SFO,T 10-10,,6,15,40.00,121,0,2,29.4,0,0,8.07,2.07,2,3,1.50,0,0,0,,0
9,1951,1951-12-02,10,24.184,NYY,@,GNB,W 31-28,*,9,18,50.00,196,3,1,105.6,0,0,10.89,11.72,1,3,3.00,0,0,0,,0
10,1951,1951-12-09,11,24.191,NYY,,CHI,L 21-45,*,11,22,50.00,202,2,1,93.4,0,0,9.18,8.95,0,0,,0,0,0,,0
11,1951,1951-12-16,12,24.198,NYY,,NYG,L 17-27,*,6,19,31.58,170,1,4,43.6,0,0,8.95,0.53,0,0,,0,1,51,51.00,0
12,1952,1952-09-28,1,25.119,DTX,,NYG,L 6-24,*,12,24,50.00,108,0,0,62.5,0,0,4.50,4.50,6,57,9.50,0,0,0,,0
13,1952,1952-10-05,2,25.126,DTX,,SFO,L 14-37,*,5,17,29.41,66,1,1,38.4,0,0,3.88,2.41,4,23,5.75,0,0,0,,0
14,1952,1952-10-12,3,25.133,DTX,@,CHI,L 20-38,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,0,0.00,0,2,11,5.50,0
15,1952,1952-10-18,4,25.139,DTX,,GNB,L 14-24,,7,15,46.67,147,1,0,104.0,0,0,9.80,11.13,3,54,18.00,0,0,0,,0
16,1952,1952-10-26,5,25.147,DTX,@,SFO,L 21-48,,1,3,33.33,45,1,0,121.5,0,0,15.00,21.67,0,0,,0,2,26,13.00,1
17,1952,1952-11-02,6,25.154,DTX,@,RAM,L 20-42,*,1,1,100.00,12,0,0,116.7,0,0,12.00,12.00,2,-14,-7.00,0,0,0,,0
18,1952,1952-12-07,11,25.189,DTX,@,PHI,L 21-38,,4,13,30.77,65,0,2,9.0,0,0,5.00,-1.92,1,15,15.00,0,0,0,,0
19,1952,1952-12-13,12,25.195,DTX,@,DET,L 6-41,,1,1,100.00,47,0,0,118.7,0,0,47.00,47.00,0,0,,0,0,0,,0
