ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1982,1982-09-12,1,22.236,KAN,@,BUF,L 9-14,1,7,7.00,0,0,0,0,0,0
2,1982,1982-09-19,2,22.243,KAN,,SDG,W 19-12,0,0,,0,,,,,
3,1982,1982-11-21,3,22.306,KAN,@,NOR,L 17-27,0,0,,0,,,,,
4,1982,1982-11-28,4,22.313,KAN,@,RAM,L 14-20,0,0,,0,,,,,
5,1982,1982-12-05,5,22.320,KAN,@,PIT,L 14-35,0,0,,0,,,,,
6,1982,1982-12-12,6,22.327,KAN,,RAI,L 16-21,1,18,18.00,0,0,0,0,0,0
7,1982,1982-12-19,7,22.334,KAN,@,DEN,W 37-16,0,0,,0,,,,,
8,1982,1982-12-26,8,22.341,KAN,,SFO,L 13-26,0,0,,0,,,,,
9,1982,1983-01-02,9,22.348,KAN,,NYJ,W 37-13,0,0,,0,0,0,1,17,0
10,1983,1983-09-04,1,23.228,KAN,,SEA,W 17-13,0,0,,0,,,,,
11,1983,1983-09-12,2,23.236,KAN,,SDG,L 14-17,0,0,,0,,,,,
12,1983,1983-09-18,3,23.242,KAN,@,WAS,L 12-27,0,0,,0,,,,,
13,1983,1983-09-25,4,23.249,KAN,@,MIA,L 6-14,0,0,,0,0,0,1,41,0
14,1983,1983-10-02,5,23.256,KAN,,STL,W 38-14,0,0,,0,,,,,
15,1983,1983-10-09,6,23.263,KAN,@,RAI,L 20-21,0,0,,0,,,,,
16,1983,1983-10-16,7,23.270,KAN,,NYG,W 38-17,0,0,,0,1,6,1,42,1
17,1983,1983-10-23,8,23.277,KAN,@,HOU,W 13-10,1,13,13.00,0,0,0,0,0,0
18,1983,1983-10-30,9,23.284,KAN,@,DEN,L 24-27,0,0,,0,,,,,
19,1983,1983-11-06,10,23.291,KAN,,RAI,L 20-28,2,23,11.50,0,0,0,1,34,0
20,1983,1983-11-13,11,23.298,KAN,,CIN,W 20-15,0,0,,0,,,,,
21,1983,1983-11-20,12,23.305,KAN,@,DAL,L 21-41,0,0,,0,,,,,
22,1983,1983-11-27,13,23.312,KAN,@,SEA,L 48-51,0,0,,0,,,,,
23,1983,1983-12-11,15,23.326,KAN,@,SDG,L 38-41,0,0,,0,0,0,1,0,0
24,1983,1983-12-18,16,23.333,KAN,,DEN,W 48-17,0,0,,0,,,,,
25,1987,1987-09-20,2,27.244,BUF,,HOU,W 34-30,,,,,,,,,
26,1987,1987-10-11,4,27.265,BUF,@,NWE,L 7-14,,,,,,,,,
27,1987,1987-10-18,5,27.272,BUF,,NYG,W 6-3,,,,,,,,,
28,1987,1987-12-13,13,27.328,BUF,@,IND,W 27-3,,,,,,,,,
29,1987,1987-12-20,14,27.335,BUF,,NWE,L 7-13,,,,,,,,,
