ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2016,2016-09-11,1,24.137,NYJ,,CIN,L 22-23,,0,0,,0,0,0,,0,0,0,,0,0,,,3,154,51.33,0
2,2016,2016-09-15,2,24.141,NYJ,@,BUF,W 37-31,,0,0,,0,0,0,,0,0,0,,0,0,,,2,82,41.00,0
3,2016,2016-09-25,3,24.151,NYJ,@,KAN,L 3-24,,0,0,,0,0,0,,0,0,0,,0,0,,,2,86,43.00,0
4,2016,2016-10-02,4,24.158,NYJ,,SEA,L 17-27,,0,0,,0,0,0,,0,0,0,,0,0,,,5,202,40.40,0
5,2016,2016-10-09,5,24.165,NYJ,@,PIT,L 13-31,,0,0,,0,0,0,,0,0,0,,0,0,,,6,260,43.33,0
6,2016,2016-10-17,6,24.173,NYJ,@,ARI,L 3-28,,0,0,,0,0,0,,0,0,0,,0,0,,,7,295,42.14,0
7,2016,2016-10-23,7,24.179,NYJ,,BAL,W 24-16,,1,0,0.00,0,0,0,,0,0,0,,0,0,,,6,237,39.50,0
8,2016,2016-10-30,8,24.186,NYJ,@,CLE,W 31-28,,0,0,,0,0,0,,0,0,0,,0,0,,,6,282,47.00,0
9,2016,2016-11-06,9,24.193,NYJ,@,MIA,L 23-27,,0,0,,0,0,0,,0,0,0,,0,0,,,3,121,40.33,0
10,2016,2016-11-13,10,24.200,NYJ,,LAR,L 6-9,,0,0,,0,0,0,,0,0,0,,0,0,,,8,342,42.75,0
11,2016,2016-11-27,11,24.214,NYJ,,NWE,L 17-22,,0,0,,0,0,0,,0,0,0,,0,0,,,4,178,44.50,0
12,2016,2016-12-05,12,24.222,NYJ,,IND,L 10-41,,0,0,,0,0,0,,0,0,0,,0,0,,,5,230,46.00,0
13,2016,2016-12-11,13,24.228,NYJ,@,SFO,W 23-17,,0,0,,0,0,0,,0,0,0,,0,0,,,6,237,39.50,0
14,2016,2016-12-17,14,24.234,NYJ,,MIA,L 13-34,,0,0,,0,0,0,,0,0,0,,0,0,,,3,119,39.67,1
15,2016,2016-12-24,15,24.241,NYJ,@,NWE,L 3-41,,0,0,,0,0,0,,0,0,0,,0,0,,,4,180,45.00,0
16,2016,2017-01-01,16,24.249,NYJ,,BUF,W 30-10,,0,0,,0,0,0,,0,0,0,,0,0,,,5,231,46.20,0
17,2017,2017-09-10,1,25.136,NYJ,@,BUF,L 12-21,,0,0,,0,0,0,,0,0,0,,0,0,,,6,297,49.50,0
18,2017,2017-09-17,2,25.143,NYJ,@,OAK,L 20-45,,0,0,,0,0,0,,0,0,0,,0,0,,,3,119,39.67,0
19,2017,2017-09-24,3,25.150,NYJ,,MIA,W 20-6,,0,0,,0,0,0,,0,0,0,,0,0,,,5,243,48.60,0
20,2017,2017-10-01,4,25.157,NYJ,,JAX,W 23-20,,0,0,,0,1,1,100.00,31,0,0,118.7,0,0,31.00,31.00,6,262,43.67,0
21,2017,2017-10-08,5,25.164,NYJ,@,CLE,W 17-14,,0,0,,0,0,0,,0,0,0,,0,0,,,6,308,51.33,0
22,2017,2017-10-15,6,25.171,NYJ,,NWE,L 17-24,,0,0,,0,0,0,,0,0,0,,0,0,,,4,187,46.75,0
23,2017,2017-10-22,7,25.178,NYJ,@,MIA,L 28-31,,0,0,,0,0,0,,0,0,0,,0,0,,,7,321,45.86,0
24,2017,2017-10-29,8,25.185,NYJ,,ATL,L 20-25,,0,0,,0,0,0,,0,0,0,,0,0,,,5,262,52.40,0
25,2017,2017-11-02,9,25.189,NYJ,,BUF,W 34-21,,0,0,,0,0,0,,0,0,0,,0,0,,,5,208,41.60,0
26,2017,2017-11-12,10,25.199,NYJ,@,TAM,L 10-15,,0,0,,0,0,0,,0,0,0,,0,0,,,7,354,50.57,0
27,2017,2017-11-26,11,25.213,NYJ,,CAR,L 27-35,,0,0,,0,0,0,,0,0,0,,0,0,,,7,318,45.43,0
28,2017,2017-12-03,12,25.220,NYJ,,KAN,W 38-31,,0,0,,0,0,0,,0,0,0,,0,0,,,2,73,36.50,0
29,2017,2017-12-10,13,25.227,NYJ,@,DEN,L 0-23,,0,0,,0,0,0,,0,0,0,,0,0,,,8,365,45.63,0
30,2017,2017-12-17,14,25.234,NYJ,@,NOR,L 19-31,,0,0,,0,0,0,,0,0,0,,0,0,,,7,316,45.14,0
31,2017,2017-12-24,15,25.241,NYJ,,LAC,L 7-14,,0,0,,0,0,0,,0,0,0,,0,0,,,9,421,46.78,0
32,2017,2017-12-31,16,25.248,NYJ,@,NWE,L 6-26,,0,0,,0,0,0,,0,0,0,,0,0,,,7,324,46.29,0
33,2018,2018-09-10,1,26.136,NYJ,@,DET,W 48-17,,0,0,,0,0,0,,0,0,0,,0,0,,,3,112,37.33,0
34,2018,2018-09-16,2,26.142,NYJ,,MIA,L 12-20,,0,0,,0,0,0,,0,0,0,,0,0,,,5,263,52.60,0
35,2018,2018-09-20,3,26.146,NYJ,@,CLE,L 17-21,,0,0,,0,0,0,,0,0,0,,0,0,,,7,344,49.14,0
