ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1994,1994-09-04,1,22.111,DEN,,SDG,L 34-37,,,,,,,,,
2,1994,1994-09-11,2,22.118,DEN,@,NYJ,L 22-25,,,,,,,,,
3,1994,1994-09-18,3,22.125,DEN,,RAI,L 16-48,,,,,,,,,
4,1994,1994-09-26,4,22.133,DEN,@,BUF,L 20-27,,,,,,,,,
5,1994,1994-10-09,5,22.146,DEN,@,SEA,W 16-9,,,,,,,,,
6,1994,1994-10-17,6,22.154,DEN,,KAN,L 28-31,,,,,,,,,
7,1994,1994-10-30,8,22.167,DEN,,CLE,W 26-14,,,,,,,,,
8,1994,1994-11-06,9,22.174,DEN,@,RAM,L 21-27,,,,,,,,,
9,1994,1994-11-13,10,22.181,DEN,,SEA,W 17-10,,,,,,,,,
10,1994,1994-12-17,15,22.215,DEN,@,SFO,L 19-42,,,,,,,,,
11,1994,1994-12-24,16,22.222,DEN,,NOR,L 28-30,,,,,,,,,
12,1995,1995-09-03,1,23.110,DEN,,BUF,W 22-7,,0,0,,0,,,,
13,1995,1995-09-10,2,23.117,DEN,@,DAL,L 21-31,,0,0,,0,,,,
14,1995,1995-09-17,3,23.124,DEN,,WAS,W 38-31,,0,0,,0,1.0,0,0,0
15,1995,1995-09-24,4,23.131,DEN,@,SDG,L 6-17,,0,0,,0,,,,
16,1995,1995-10-01,5,23.138,DEN,@,SEA,L 10-27,,0,0,,0,,,,
17,1995,1995-10-08,6,23.145,DEN,@,NWE,W 37-3,,0,0,,0,,,,
18,1995,1995-10-16,7,23.153,DEN,,OAK,W 27-0,,0,0,,0,,,,
19,1995,1995-10-22,8,23.159,DEN,,KAN,L 7-21,,0,0,,0,,,,
20,1995,1995-11-05,9,23.173,DEN,,ARI,W 38-6,,0,0,,0,0.5,0,0,0
21,1995,1995-11-12,10,23.180,DEN,@,PHI,L 13-31,,0,0,,0,,,,
22,1995,1995-11-19,11,23.187,DEN,,SDG,W 30-27,,0,0,,0,,,,
23,1995,1995-11-26,12,23.194,DEN,@,HOU,L 33-42,,0,0,,0,,,,
24,1995,1995-12-03,13,23.201,DEN,,JAX,W 31-23,,1,5,5.00,0,0.0,0,0,0
25,1995,1995-12-10,14,23.208,DEN,,SEA,L 27-31,,0,0,,0,,,,
26,1995,1995-12-17,15,23.215,DEN,@,KAN,L 17-20,,0,0,,0,,,,
