ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1968,1968-10-06,4,22.074,PHI,@,WAS,L 14-17,0,0,,0,1,11,11.00,0,0,0,,0,0,0,0,0,0
2,1968,1968-10-13,5,22.081,PHI,@,DAL,L 14-34,1,58,58.00,1,1,19,19.00,0,0,0,,0,1,6,0,0,0
3,1968,1968-10-20,6,22.088,PHI,,CHI,L 16-29,0,0,,0,2,29,14.50,0,0,0,,0,0,0,0,0,0
4,1968,1968-10-27,7,22.095,PHI,@,PIT,L 3-6,0,0,,0,0,0,,0,1,17,17.00,0,0,0,0,0,0
5,1968,1968-11-10,9,22.109,PHI,,WAS,L 10-16,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
6,1968,1968-11-24,11,22.123,PHI,@,CLE,L 13-47,0,0,,0,1,12,12.00,0,1,1,1.00,0,0,0,0,0,0
7,1968,1968-11-28,12,22.127,PHI,@,DET,W 12-0,0,0,,0,1,23,23.00,0,1,28,28.00,0,0,0,0,0,0
8,1969,1969-09-21,1,23.059,ATL,,SFO,W 24-12,0,0,,0,0,0,,0,2,2,1.00,0,0,0,1,22,0
9,1969,1969-09-28,2,23.066,ATL,@,RAM,L 7-17,0,0,,0,0,0,,0,2,15,7.50,0,0,0,0,0,0
10,1969,1969-10-12,4,23.080,ATL,,DAL,L 17-24,0,0,,0,0,0,,0,3,6,2.00,0,0,0,0,0,0
11,1969,1969-10-19,5,23.087,ATL,@,SFO,W 21-7,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0,0,0
12,1969,1969-10-26,6,23.094,ATL,@,GNB,L 10-28,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
13,1969,1969-11-02,7,23.101,ATL,,RAM,L 6-38,0,0,,0,0,0,,0,1,1,1.00,0,0,0,0,0,0
14,1969,1969-11-09,8,23.108,ATL,@,DET,L 21-27,0,0,,0,0,0,,0,2,8,4.00,0,0,0,0,0,0
15,1969,1969-11-23,10,23.122,ATL,@,WAS,L 20-27,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0,0,0
16,1970,1970-09-20,1,24.058,ATL,@,NOR,W 14-3,,,,,,,,,,,,,,,,,
17,1970,1970-09-27,2,24.065,ATL,@,GNB,L 24-27,0,0,,0,0,0,,0,1,23,23.00,0,0,0,0,0,0
18,1970,1970-10-04,3,24.072,ATL,,SFO,W 21-20,0,0,,0,0,0,,0,2,25,12.50,0,0,0,0,0,0
19,1970,1970-10-11,4,24.079,ATL,@,DAL,L 0-13,0,0,,0,0,0,,0,2,2,1.00,0,0,0,0,0,0
20,1970,1970-10-18,5,24.086,ATL,@,DEN,L 10-24,0,0,,0,0,0,,0,2,9,4.50,0,0,0,0,0,0
21,1970,1970-10-25,6,24.093,ATL,,NOR,W 32-14,0,0,,0,0,0,,0,1,11,11.00,0,0,0,0,0,0
22,1970,1970-11-01,7,24.100,ATL,,CHI,L 14-23,0,0,,0,0,0,,0,2,21,10.50,0,0,0,0,0,0
23,1970,1970-11-08,8,24.107,ATL,@,RAM,T 10-10,0,0,,0,0,0,,0,2,5,2.50,0,0,0,0,0,0
24,1970,1970-11-15,9,24.114,ATL,@,PHI,T 13-13,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
25,1970,1970-11-22,10,24.121,ATL,,RAM,L 7-17,0,0,,0,0,0,,0,2,17,8.50,0,0,0,0,0,0
26,1970,1970-11-30,11,24.129,ATL,,MIA,L 7-20,,,,,,,,,,,,,,,,,
27,1970,1970-12-06,12,24.135,ATL,@,SFO,L 20-24,,,,,,,,,,,,,,,,,
28,1970,1970-12-13,13,24.142,ATL,,PIT,W 27-16,0,0,,0,0,0,,0,0,0,,0,0,0,1,9,0
29,1970,1970-12-20,14,24.149,ATL,,MIN,L 7-37,0,0,,0,0,0,,0,2,90,45.00,1,1,6,0,0,0
30,1971,1971-09-19,1,25.057,ATL,,SFO,W 20-17,,,,,,,,,,,,,,,,,
31,1971,1971-09-26,2,25.064,ATL,@,RAM,T 20-20,,,,,,,,,,,,,,,,,
32,1971,1971-10-03,3,25.071,ATL,@,DET,L 38-41,,,,,,,,,,,,,,,,,
33,1971,1971-10-10,4,25.078,ATL,,STL,L 9-26,,,,,,,,,,,,,,,,,
34,1971,1971-10-17,5,25.085,ATL,,RAM,L 16-24,0,0,,0,0,0,,0,1,-2,-2.00,0,0,0,0,0,0
