ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1994,1994-09-04,1,22.335,CIN,,CLE,L 20-28,,0,0,,0,1,17,17.00,0,0,0,0.0,0,0,0
2,1994,1994-09-11,2,22.342,CIN,@,SDG,L 10-27,,0,0,,0,0,0,,0,,,,,,
3,1994,1994-09-18,3,22.349,CIN,,NWE,L 28-31,,0,0,,0,0,0,,0,,,,,,
4,1994,1994-09-25,4,22.356,CIN,@,HOU,L 13-20,,0,0,,0,2,81,40.50,1,1,6,0.0,0,0,0
5,1994,1994-10-02,5,22.363,CIN,,MIA,L 7-23,,0,0,,0,4,40,10.00,0,0,0,0.0,0,0,0
6,1994,1994-10-16,6,23.012,CIN,@,PIT,L 10-14,,0,0,,0,4,37,9.25,0,0,0,0.0,0,0,0
7,1994,1994-10-23,7,23.019,CIN,@,CLE,L 13-37,,0,0,,0,3,13,4.33,0,0,0,0.0,0,0,0
8,1994,1994-10-30,8,23.026,CIN,,DAL,L 20-23,,0,0,,0,2,23,11.50,0,0,0,0.0,1,0,0
9,1994,1994-11-06,9,23.033,CIN,@,SEA,W 20-17,,1,14,14.00,0,2,32,16.00,0,0,0,0.0,0,0,0
10,1994,1994-11-13,10,23.040,CIN,,HOU,W 34-31,,0,0,,0,3,5,1.67,0,0,0,0.0,0,0,0
11,1994,1994-11-20,11,23.047,CIN,,IND,L 13-17,,0,0,,0,1,5,5.00,0,0,0,0.0,0,0,0
12,1994,1994-11-27,12,23.054,CIN,@,DEN,L 13-15,,0,0,,0,1,8,8.00,0,0,0,0.0,0,0,0
13,1994,1994-12-04,13,23.061,CIN,,PIT,L 15-38,,0,0,,0,0,0,,0,,,,,,
14,1994,1994-12-11,14,23.068,CIN,@,NYG,L 20-27,,0,0,,0,3,46,15.33,0,0,0,0.0,1,0,0
15,1994,1994-12-24,16,23.081,CIN,,PHI,W 33-30,,0,0,,0,0,0,,0,,,,,,
16,1995,1995-09-03,1,23.334,CIN,@,IND,W 24-21,,1,22,22.00,0,0,0,,0,0,0,1.0,0,0,0
17,1995,1995-10-08,6,24.004,CIN,@,TAM,L 16-19,,0,0,,0,0,0,,0,,,,,,
18,1995,1995-10-19,7,24.015,CIN,@,PIT,W 27-9,,0,0,,0,0,0,,0,0,0,0.0,1,0,0
19,1995,1995-10-29,8,24.025,CIN,,CLE,L 26-29,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
20,1995,1995-11-05,9,24.032,CIN,,OAK,L 17-20,,0,0,,0,2,17,8.50,0,0,0,0.0,0,0,0
21,1995,1995-11-12,10,24.039,CIN,@,HOU,W 32-25,,1,28,28.00,0,1,0,0.00,0,0,0,0.0,0,0,0
22,1995,1995-11-19,11,24.046,CIN,,PIT,L 31-49,,0,0,,0,0,0,,0,,,,,,
23,1995,1995-11-26,12,24.053,CIN,@,JAX,W 17-13,,0,0,,0,2,13,6.50,0,0,0,0.0,0,0,0
24,1995,1995-12-03,13,24.060,CIN,@,GNB,L 10-24,,0,0,,0,0,0,,0,0,0,0.0,1,61,0
25,1995,1995-12-10,14,24.067,CIN,,CHI,W 16-10,,0,0,,0,2,7,3.50,0,0,0,1.0,0,0,0
26,1995,1995-12-17,15,24.074,CIN,@,CLE,L 10-26,,0,0,,0,0,0,,0,,,,,,
27,1995,1995-12-24,16,24.081,CIN,,MIN,W 27-24,,0,0,,0,1,21,21.00,0,0,0,0.0,0,0,0
28,1996,1996-09-01,1,24.333,CIN,@,STL,L 16-26,,1,26,26.00,0,2,74,37.00,0,0,0,0.0,0,0,0
