ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1968,1968-09-14,1,22.217,MIA,,HOU,L 10-24,0,0,,0,0,0,,0,0,0,,0,0,0,1,33,0,0,0,,0
2,1968,1968-10-06,4,22.239,MIA,@,HOU,W 24-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
3,1968,1968-10-12,5,22.245,MIA,,BUF,T 14-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,16,0,0,0,,0
4,1968,1968-10-20,6,22.253,MIA,@,CIN,W 24-22,0,0,,0,0,0,,0,2,5,2.50,0,0,0,0,0,0,0,0,,0
5,1968,1968-10-27,7,22.260,MIA,@,DEN,L 14-21,0,0,,0,1,23,23.00,0,1,10,10.00,0,0,0,1,17,0,0,0,,0
6,1968,1968-11-03,8,22.267,MIA,@,SDG,L 28-34,0,0,,0,2,24,12.00,0,0,0,,0,0,0,0,0,0,0,0,,0
7,1968,1968-11-24,11,22.288,MIA,@,BOS,W 34-10,0,0,,0,0,0,,0,1,1,1.00,0,1,6,2,107,1,0,0,,0
8,1968,1968-12-01,12,22.295,MIA,@,NYJ,L 17-35,0,0,,0,3,59,19.67,0,1,2,2.00,0,0,0,0,0,0,0,0,,0
9,1968,1968-12-08,13,22.302,MIA,,BOS,W 38-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,2,0,0,0,,0
10,1968,1968-12-15,14,22.309,MIA,,NYJ,L 7-31,0,0,,0,0,0,,0,0,0,,0,0,0,1,55,0,0,0,,0
11,1969,1969-09-14,1,23.216,MIA,@,CIN,L 21-27,0,0,,0,0,0,,0,5,40,8.00,0,0,0,0,0,0,0,0,,0
12,1969,1969-09-20,2,23.222,MIA,@,OAK,L 17-20,0,0,,0,0,0,,0,1,9,9.00,0,0,0,0,0,0,0,0,,0
13,1969,1969-09-28,3,23.230,MIA,@,HOU,L 10-22,0,0,,0,0,0,,0,2,3,1.50,0,0,0,0,0,0,0,0,,0
14,1969,1969-10-04,4,23.236,MIA,,OAK,T 20-20,0,0,,0,0,0,,0,4,30,7.50,0,0,0,0,0,0,0,0,,0
15,1969,1969-10-26,7,23.258,MIA,,BUF,W 24-6,0,0,,0,0,0,,0,0,0,,0,0,0,1,12,0,0,0,,0
16,1969,1969-11-23,11,23.286,MIA,,HOU,L 7-32,1,8,8.00,0,0,0,,0,0,0,,0,0,0,1,22,0,0,0,,0
17,1969,1969-12-07,13,23.300,MIA,,DEN,W 27-24,,,,,,,,,,,,,,,0,40,0,,,,
18,1969,1969-12-14,14,23.307,MIA,,NYJ,L 9-27,0,0,,0,0,0,,0,0,0,,0,0,0,1,32,0,5,188,37.60,0
19,1970,1970-09-20,1,24.222,MIA,@,BOS,L 14-27,,,,,,,,,,,,,,,,,,,,,
20,1970,1970-09-27,2,24.229,MIA,@,HOU,W 20-10,,,,,,,,,,,,,,,,,,,,,
21,1970,1970-10-03,3,24.235,MIA,,OAK,W 20-13,0,0,,0,0,0,,0,0,0,,0,0,0,1,12,0,0,0,,0
22,1970,1970-10-10,4,24.242,MIA,@,NYJ,W 20-6,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0,0,0,0,0,,0
23,1970,1970-10-18,5,24.250,MIA,@,BUF,W 33-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,32,0,0,0,,0
24,1970,1970-10-25,6,24.257,MIA,,CLE,L 0-28,0,0,,0,1,8,8.00,0,0,0,,0,0,0,0,0,0,0,0,,0
25,1970,1970-11-01,7,24.264,MIA,@,BAL,L 0-35,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
26,1970,1970-11-08,8,24.271,MIA,@,PHI,L 17-24,,,,,,,,,,,,,,,,,,,,,
27,1970,1970-11-15,9,24.278,MIA,,NOR,W 21-10,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
28,1970,1970-11-22,10,24.285,MIA,,BAL,W 34-17,,,,,,,,,,,,,,,,,,,,,
29,1970,1970-11-30,11,24.293,MIA,@,ATL,W 20-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,24,0,0,0,,0
30,1970,1970-12-06,12,24.299,MIA,,BOS,W 37-20,,,,,,,,,,,,,,,,,,,,,
31,1970,1970-12-13,13,24.306,MIA,,NYJ,W 16-10,0,0,,0,0,0,,0,0,0,,0,0,0,2,37,0,0,0,,0
32,1970,1970-12-20,14,24.313,MIA,,BUF,W 45-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,86,0,0,0,,0
33,1971,1971-09-19,1,25.221,MIA,@,DEN,T 10-10,0,0,,0,0,0,,0,2,41,20.50,0,0,0,0,0,0,0,0,,0
34,1971,1971-09-26,2,25.228,MIA,@,BUF,W 29-14,0,0,,0,0,0,,0,1,47,47.00,0,0,0,0,0,0,0,0,,0
35,1971,1971-10-03,3,25.235,MIA,,NYJ,L 10-14,0,0,,0,0,0,,0,2,1,0.50,0,0,0,0,0,0,0,0,,0
36,1971,1971-10-10,4,25.242,MIA,@,CIN,W 23-13,,,,,,,,,,,,,,,,,,,,,
37,1971,1971-10-17,5,25.249,MIA,,NWE,W 41-3,,,,,,,,,,,,,,,,,,,,,
38,1971,1971-10-24,6,25.256,MIA,@,NYJ,W 30-14,0,0,,0,0,0,,0,1,16,16.00,0,0,0,0,0,0,0,0,,0
39,1971,1971-10-31,7,25.263,MIA,@,RAM,W 20-14,,,,,,,,,,,,,,,,,,,,,
40,1971,1971-11-07,8,25.270,MIA,,BUF,W 34-0,,,,,,,,,,,,,,,,,,,,,
41,1971,1971-11-14,9,25.277,MIA,,PIT,W 24-21,,,,,,,,,,,,,,,,,,,,,
42,1971,1971-11-21,10,25.284,MIA,,BAL,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
43,1971,1971-11-29,11,25.292,MIA,,CHI,W 34-3,0,0,,0,0,0,,0,1,0,0.00,0,0,0,1,33,0,0,0,,0
44,1971,1971-12-05,12,25.298,MIA,@,NWE,L 13-34,,,,,,,,,,,,,,,,,,,,,
45,1971,1971-12-11,13,25.304,MIA,@,BAL,L 3-14,0,0,,0,0,0,,0,1,9,9.00,0,0,0,0,0,0,0,0,,0
46,1971,1971-12-19,14,25.312,MIA,,GNB,W 27-6,,,,,,,,,,,,,,,,,,,,,
47,1972,1972-09-17,1,26.220,MIA,@,KAN,W 20-10,,,,,,,,,,,,,,,,,,,,,
48,1972,1972-09-24,2,26.227,MIA,,HOU,W 34-13,,,,,,,,,,,,,,,,,,,,,
49,1972,1972-10-01,3,26.234,MIA,@,MIN,W 16-14,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0,0,0,,0
50,1972,1972-10-08,4,26.241,MIA,@,NYJ,W 27-17,,,,,,,,,,,,,,,,,,,,,
51,1972,1972-10-15,5,26.248,MIA,,SDG,W 24-10,,,,,,,,,,,,,,,,,,,,,
52,1972,1972-10-22,6,26.255,MIA,,BUF,W 24-23,0,0,,0,0,0,,0,1,17,17.00,0,0,0,0,0,0,0,0,,0
53,1972,1972-10-29,7,26.262,MIA,@,BAL,W 23-0,,,,,,,,,,,,,,,,,,,,,
54,1972,1972-11-05,8,26.269,MIA,@,BUF,W 30-16,0,0,,0,0,0,,0,2,2,1.00,0,0,0,0,0,0,0,0,,0
55,1972,1972-11-12,9,26.276,MIA,,NWE,W 52-0,0,0,,0,0,0,,0,0,0,,0,0,0,1,22,0,0,0,,0
56,1972,1972-11-19,10,26.283,MIA,,NYJ,W 28-24,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0,1,36,36.00,0
57,1972,1972-11-27,11,26.291,MIA,,STL,W 31-10,0,0,,0,0,0,,0,1,0,0.00,0,0,0,1,12,0,0,0,,0
58,1972,1972-12-03,12,26.297,MIA,@,NWE,W 37-21,,,,,,,,,,,,,,,,,,,,,
59,1972,1972-12-10,13,26.304,MIA,@,NYG,W 23-13,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,3,111,37.00,0
60,1972,1972-12-16,14,26.310,MIA,,BAL,W 16-0,,,,,,,,,,,,,,,,,,,,,
61,1973,1973-09-16,1,27.218,MIA,,SFO,W 21-13,,,,,,,,,,,,,,,,,,,,,
62,1973,1973-09-23,2,27.225,MIA,@,OAK,L 7-12,,,,,,,,,,,,,,,,,,,,,
63,1973,1973-09-30,3,27.232,MIA,,NWE,W 44-23,0,0,,0,0,0,,0,1,2,2.00,0,0,0,1,22,0,0,0,,0
64,1973,1973-10-07,4,27.239,MIA,,NYJ,W 31-3,0,0,,0,0,0,,0,0,0,,0,0,0,1,20,0,0,0,,0
65,1973,1973-10-15,5,27.247,MIA,@,CLE,W 17-9,,,,,,,,,,,,,,,,,,,,,
66,1973,1973-10-21,6,27.253,MIA,,BUF,W 27-6,0,0,,0,0,0,,0,1,1,1.00,0,0,0,0,0,0,0,0,,0
67,1973,1973-10-28,7,27.260,MIA,@,NWE,W 30-14,0,0,,0,0,0,,0,2,32,16.00,0,0,0,0,0,0,0,0,,0
68,1973,1973-11-04,8,27.267,MIA,@,NYJ,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
69,1973,1973-11-11,9,27.274,MIA,,BAL,W 44-0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
70,1973,1973-11-18,10,27.281,MIA,@,BUF,W 17-0,0,0,,0,0,0,,0,1,5,5.00,0,0,0,0,0,0,0,0,,0
