ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1987,1987-10-04,3,24.266,STL,@,WAS,L 21-28,2,16,8.00,0,1,9,9.00,0,0,0,,0
2,1987,1987-10-18,5,24.280,STL,@,SFO,L 28-34,0,0,,0,0,0,,0,1,40,40.00,0
