ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1996,1996-10-27,8,22.141,SDG,@,SEA,L 13-32,,,,,,
2,1996,1996-12-14,15,22.189,SDG,@,CHI,L 14-27,,,,,,
3,1996,1996-12-22,16,22.197,SDG,,DEN,W 16-10,,,,,,
4,1998,1998-12-27,16,24.202,BUF,@,NOR,W 45-33,,1,21,21.00,0,0.0
5,1999,1999-09-12,1,25.096,BUF,@,IND,L 14-31,,,,,,
6,1999,1999-09-19,2,25.103,BUF,,NYJ,W 17-3,,,,,,
7,1999,1999-09-26,3,25.110,BUF,,PHI,W 26-0,,,,,,
8,1999,1999-10-04,4,25.118,BUF,@,MIA,W 23-18,,,,,,
9,1999,1999-10-10,5,25.124,BUF,,PIT,W 24-21,,,,,,
10,1999,1999-10-17,6,25.131,BUF,,OAK,L 14-20,,,,,,
11,1999,1999-10-24,7,25.138,BUF,@,SEA,L 16-26,*,,,,,
12,1999,1999-10-31,8,25.145,BUF,@,BAL,W 13-10,,,,,,
13,1999,1999-11-07,9,25.152,BUF,@,WAS,W 34-17,*,0,0,,0,1.0
14,1999,1999-11-14,10,25.159,BUF,,MIA,W 23-3,,,,,,
15,1999,1999-11-21,11,25.166,BUF,@,NYJ,L 7-17,,,,,,
16,1999,1999-11-28,12,25.173,BUF,,NWE,W 17-7,,,,,,
17,1999,1999-12-12,13,25.187,BUF,,NYG,L 17-19,,,,,,
18,1999,1999-12-19,14,25.194,BUF,@,ARI,W 31-21,,,,,,
19,1999,1999-12-26,15,25.201,BUF,@,NWE,W 13-10,,,,,,
20,1999,2000-01-02,16,25.208,BUF,,IND,W 31-6,,,,,,
