ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1987,1987-11-08,8,23.252,TAM,@,STL,L 28-31,4,56,14.00,0,1,-10,-10.00,0,0,0,,0,0,0
2,1987,1987-11-15,9,23.259,TAM,@,MIN,L 17-23,0,0,,0,0,0,,0,0,0,,0,0,
3,1987,1987-11-22,10,23.266,TAM,,SFO,L 10-24,2,18,9.00,0,0,0,,0,0,0,,0,0,0
4,1987,1987-11-29,11,23.273,TAM,@,RAM,L 3-35,0,0,,0,0,0,,0,0,0,,0,0,
5,1987,1987-12-06,12,23.280,TAM,@,NOR,L 34-44,5,73,14.60,1,1,9,9.00,0,0,0,,0,1,6
6,1987,1987-12-13,13,23.287,TAM,,DET,L 10-20,5,86,17.20,1,0,0,,0,1,8,8.00,0,1,6
7,1987,1987-12-20,14,23.294,TAM,,STL,L 14-31,4,74,18.50,0,1,4,4.00,0,0,0,,0,0,0
8,1987,1987-12-27,15,23.301,TAM,@,IND,L 6-24,3,96,32.00,0,0,0,,0,0,0,,0,0,0
9,1988,1988-09-04,1,24.188,TAM,,PHI,L 14-41,8,157,19.63,1,0,0,,0,0,0,,0,1,6
10,1988,1988-09-11,2,24.195,TAM,@,GNB,W 13-10,3,52,17.33,0,0,0,,0,0,0,,0,0,0
11,1988,1988-09-18,3,24.202,TAM,,PHO,L 24-30,4,80,20.00,1,0,0,,0,0,0,,0,1,6
12,1988,1988-09-25,4,24.209,TAM,@,NOR,L 9-13,4,91,22.75,0,0,0,,0,0,0,,0,0,0
13,1988,1988-10-02,5,24.216,TAM,,GNB,W 27-24,4,81,20.25,1,0,0,,0,0,0,,0,1,6
14,1988,1988-10-09,6,24.223,TAM,@,MIN,L 13-14,3,27,9.00,0,0,0,,0,0,0,,0,0,0
15,1988,1988-10-16,7,24.230,TAM,@,IND,L 31-35,7,162,23.14,2,0,0,,0,0,0,,0,2,12
16,1988,1988-10-23,8,24.237,TAM,,MIN,L 20-49,6,84,14.00,1,0,0,,0,0,0,,0,1,6
17,1988,1988-10-30,9,24.244,TAM,,MIA,L 14-17,4,61,15.25,1,0,0,,0,0,0,,0,1,6
18,1988,1988-11-06,10,24.251,TAM,@,CHI,L 10-28,5,94,18.80,1,1,-14,-14.00,0,0,0,,0,1,6
19,1988,1988-11-13,11,24.258,TAM,@,DET,W 23-20,2,35,17.50,0,0,0,,0,0,0,,0,0,0
20,1988,1988-11-20,12,24.265,TAM,,CHI,L 15-27,3,37,12.33,0,0,0,,0,0,0,,0,0,0
21,1988,1988-11-27,13,24.272,TAM,@,ATL,L 10-17,2,26,13.00,0,0,0,,0,0,0,,0,0,0
22,1988,1988-12-18,16,24.293,TAM,,DET,W 21-10,3,53,17.67,1,1,3,3.00,0,0,0,,0,1,6
23,1989,1989-09-10,1,25.193,TAM,@,GNB,W 23-21,1,6,6.00,0,0,0,,0,0,0,,0,0,0
24,1989,1989-09-17,2,25.200,TAM,,SFO,L 16-20,1,7,7.00,0,0,0,,0,0,0,,0,0,0
25,1989,1989-09-24,3,25.207,TAM,,NOR,W 20-10,2,24,12.00,0,0,0,,0,0,0,,0,0,0
26,1989,1989-10-01,4,25.214,TAM,@,MIN,L 3-17,3,48,16.00,0,0,0,,0,0,0,,0,0,0
27,1989,1989-10-08,5,25.221,TAM,,CHI,W 42-35,6,107,17.83,1,0,0,,0,0,0,,0,1,6
28,1989,1989-10-15,6,25.228,TAM,,DET,L 16-17,6,49,8.17,0,0,0,,0,0,0,,0,0,0
29,1989,1989-10-22,7,25.235,TAM,@,WAS,L 28-32,3,42,14.00,1,0,0,,0,0,0,,0,1,6
30,1989,1989-10-29,8,25.242,TAM,@,CIN,L 23-56,7,125,17.86,2,0,0,,0,0,0,,0,2,12
31,1989,1989-11-05,9,25.249,TAM,,CLE,L 31-42,4,58,14.50,0,0,0,,0,0,0,,0,0,0
32,1989,1989-11-12,10,25.256,TAM,,MIN,L 10-24,4,55,13.75,0,0,0,,0,0,0,,0,0,0
33,1989,1989-11-19,11,25.263,TAM,@,CHI,W 32-31,3,30,10.00,0,0,0,,0,0,0,,0,0,0
34,1989,1989-11-26,12,25.270,TAM,@,PHO,W 14-13,6,64,10.67,1,0,0,,0,0,0,,0,1,6
