ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2003,2003-09-07,1,25.308,STL,@,NYG,L 13-23,,,,,,,0.0%,,,,,
2,2003,2003-09-28,4,25.329,STL,,ARI,W 37-13,,0,,,,,0.0%,,,,,
3,2003,2003-10-13,5,25.344,STL,,ATL,W 36-0,,,,,,,0.0%,,,,,
4,2003,2003-10-19,6,25.350,STL,,GNB,W 34-24,,,,,,,0.0%,,,,,
5,2003,2003-10-26,7,25.357,STL,@,PIT,W 33-21,,0,,,,,0.0%,,,,,
6,2003,2003-11-02,8,25.364,STL,@,SFO,L 10-30,,1,1,6,6.00,0,100.0%,6.00,0,0,,0
7,2003,2003-11-09,9,26.006,STL,,BAL,W 33-22,,0,,,,,0.0%,,,,,
8,2003,2003-11-16,10,26.013,STL,@,CHI,W 23-21,,0,0,0,,0,0.0%,,2,27,13.50,0
9,2003,2003-11-23,11,26.020,STL,@,ARI,W 30-27,,,,,,,0.0%,,,,,
10,2003,2003-11-30,12,26.027,STL,,MIN,W 48-17,,0,,,,,0.0%,,,,,
