ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1970,1970-09-20,1,23.304,ATL,@,NOR,W 14-3,,,,,,,,
2,1970,1970-09-27,2,23.311,ATL,@,GNB,L 24-27,,,,,,,,
3,1970,1970-10-04,3,23.318,ATL,,SFO,W 21-20,,,,,,,,
4,1970,1970-10-11,4,23.325,ATL,@,DAL,L 0-13,,,,,,,,
5,1970,1970-11-08,8,23.353,ATL,@,RAM,T 10-10,,,,,,,,
6,1970,1970-11-15,9,23.360,ATL,@,PHI,T 13-13,,,,,,,,
7,1970,1970-11-30,11,24.010,ATL,,MIA,L 7-20,,,,,,,,
8,1970,1970-12-06,12,24.016,ATL,@,SFO,L 20-24,,,,,,,,
9,1970,1970-12-13,13,24.023,ATL,,PIT,W 27-16,,,,,,,,
10,1970,1970-12-20,14,24.030,ATL,,MIN,L 7-37,,,,,,,,
11,1971,1971-09-19,1,24.303,ATL,,SFO,W 20-17,,,,,,,,
12,1971,1971-09-26,2,24.310,ATL,@,RAM,T 20-20,,,,,,,,
13,1971,1971-10-03,3,24.317,ATL,@,DET,L 38-41,,,,,,,,
14,1971,1971-10-10,4,24.324,ATL,,STL,L 9-26,,,,,,,,
15,1971,1971-10-17,5,24.331,ATL,,RAM,L 16-24,1,12,12.00,0,0,0,,0
16,1971,1971-10-24,6,24.338,ATL,,NOR,W 28-6,,,,,,,,
17,1971,1971-10-31,7,24.345,ATL,@,CLE,W 31-14,,,,,,,,
18,1971,1971-11-07,8,24.352,ATL,@,CIN,W 9-6,,,,,,,,
19,1971,1971-11-14,9,24.359,ATL,,NYG,L 17-21,,,,,,,,
20,1971,1971-11-22,10,25.002,ATL,,GNB,W 28-21,,,,,,,,
21,1971,1971-11-28,11,25.008,ATL,@,MIN,L 7-24,,,,,,,,
22,1971,1971-12-05,12,25.015,ATL,,OAK,W 24-13,,,,,,,,
23,1971,1971-12-12,13,25.022,ATL,@,SFO,L 3-24,,,,,,,,
24,1971,1971-12-19,14,25.029,ATL,@,NOR,W 24-20,,,,,,,,
25,1972,1972-09-17,1,25.302,ATL,@,CHI,W 37-21,,,,,,,,
26,1972,1972-09-24,2,25.309,ATL,@,NWE,L 20-21,,,,,,,,
27,1972,1972-11-05,8,25.351,ATL,@,RAM,L 7-20,,,,,,,,
28,1972,1972-11-12,9,25.358,ATL,,NOR,W 36-20,,,,,,,,
29,1972,1972-11-20,10,26.000,ATL,@,WAS,L 13-24,,,,,,,,
30,1972,1972-11-26,11,26.006,ATL,,DEN,W 23-20,,,,,,,,
31,1972,1972-12-03,12,26.013,ATL,,HOU,W 20-10,,,,,,,,
32,1972,1972-12-10,13,26.020,ATL,@,SFO,L 0-20,,,,,,,,
33,1972,1972-12-17,14,26.027,ATL,,KAN,L 14-17,0,0,,0,1,0,0.00,0
34,1973,1973-09-16,1,26.300,DET,@,PIT,L 10-24,,,,,,,,
35,1974,1974-09-15,1,27.299,DET,@,CHI,L 9-17,,,,,,,,
36,1974,1974-09-22,2,27.306,DET,,MIN,L 6-7,,,,,,,,
37,1974,1974-09-29,3,27.313,DET,@,GNB,L 19-21,,,,,,,,
38,1974,1974-10-06,4,27.320,DET,@,RAM,L 13-16,,,,,,,,
39,1974,1974-10-14,5,27.328,DET,,SFO,W 17-13,,,,,,,,
40,1974,1974-10-20,6,27.334,DET,@,MIN,W 20-16,,,,,,,,
41,1974,1974-10-27,7,27.341,DET,,GNB,W 19-17,,,,,,,,
42,1974,1974-11-03,8,27.348,DET,,NOR,W 19-14,,,,,,,,
43,1974,1974-11-10,9,27.355,DET,@,OAK,L 13-35,,,,,,,,
44,1974,1974-11-17,10,27.362,DET,,NYG,W 20-19,,,,,,,,
45,1974,1974-11-28,12,28.008,DET,,DEN,L 27-31,,,,,,,,
46,1974,1974-12-08,13,28.018,DET,@,CIN,W 23-19,,,,,,,,
47,1974,1974-12-15,14,28.025,DET,@,PHI,L 17-28,,,,,,,,
