ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1995,1995-09-10,2,23.065,ARI,,PHI,L 19-31,,,,,,,,,,,,,,,,,,
2,1995,1995-11-30,13,23.146,ARI,,NYG,L 6-10,,1,2,50.00,19,0,1,43.7,0,0,9.50,-13.00,1,4,4.00,0,0,0
3,1997,1997-09-28,4,25.083,ARI,@,TAM,L 18-19,,,,,,,,,,,,,,,,,,
4,1997,1997-10-12,6,25.097,ARI,,NYG,L 13-27,,18,33,54.55,222,0,2,50.3,5,0,6.73,4.00,2,0,0.00,1,1,6
5,1997,1997-10-19,7,25.104,ARI,@,PHI,L 10-13,*,11,22,50.00,94,0,0,61.6,5,0,4.27,4.27,5,8,1.60,0,0,0
6,1999,1999-09-19,2,27.074,BAL,,PIT,L 20-23,,7,15,46.67,130,1,0,99.3,1,6,8.67,10.00,1,8,8.00,0,0,0
7,1999,1999-09-26,3,27.081,BAL,,CLE,W 17-10,*,12,25,48.00,165,0,3,30.0,4,15,6.60,1.20,11,57,5.18,2,2,12
8,1999,1999-10-03,4,27.088,BAL,@,ATL,W 19-13,*,13,27,48.15,192,2,0,96.5,5,29,7.11,8.59,5,3,0.60,0,0,0
9,1999,1999-10-10,5,27.095,BAL,@,TEN,L 11-14,*,15,37,40.54,207,0,0,59.2,3,29,5.59,5.59,3,2,0.67,0,0,0
10,1999,1999-10-21,6,27.106,BAL,,KAN,L 8-35,*,15,37,40.54,103,0,3,14.6,0,0,2.78,-0.86,5,38,7.60,0,0,0
11,1999,1999-11-07,8,27.123,BAL,@,CLE,W 41-9,,0,0,,0,0,0,,0,,,,4,17,4.25,1,1,6
12,1999,1999-11-14,9,27.130,BAL,@,JAX,L 3-6,,7,12,58.33,103,0,0,86.5,0,0,8.58,8.58,2,16,8.00,0,0,0
13,1999,1999-12-05,12,27.151,BAL,,TEN,W 41-14,,0,0,,0,0,0,,0,,,,3,-4,-1.33,0,0,0
14,1999,1999-12-19,14,27.165,BAL,,NOR,W 31-8,,0,3,0.00,0,0,1,0.0,1,8,0.00,-15.00,1,-1,-1.00,0,0,0
15,1999,2000-01-02,16,27.179,BAL,@,NWE,L 3-20,,8,14,57.14,88,0,1,46.1,3,29,6.29,3.07,1,5,5.00,0,0,0
16,2000,2000-09-03,1,28.058,DET,@,NOR,W 14-10,*,13,25,52.00,100,0,1,45.4,2,11,4.00,2.20,3,17,5.67,0,0,0
17,2000,2000-11-05,9,28.121,DET,,MIA,L 8-23,,7,11,63.64,74,0,1,45.3,1,7,6.73,2.64,0,0,,0,0,0
18,2000,2000-11-23,12,28.139,DET,,NWE,W 34-9,,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,2,-3,-1.50,0,0,0
19,2000,2000-11-30,13,28.146,DET,@,MIN,L 17-24,,23,33,69.70,230,1,1,86.7,5,33,6.97,6.21,6,62,10.33,0,0,0
20,2000,2000-12-24,16,28.170,DET,,CHI,L 20-23,,12,21,57.14,89,0,1,47.5,4,24,4.24,2.10,5,41,8.20,1,1,6
