ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,22.228,BAL,,PIT,W 35-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
2,2011,2011-09-18,2,22.235,BAL,@,TEN,L 13-26,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
3,2011,2011-09-25,3,22.242,BAL,@,STL,W 37-7,*,8,5,152,30.40,3,62.5%,19.00,1,10,10.00,0,0,0,,0,0,0,,0,,3,18,0.0,0,0
4,2011,2011-10-02,4,22.249,BAL,,NYJ,W 34-17,*,6,1,1,1.00,0,16.7%,0.17,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
5,2011,2011-10-16,5,22.263,BAL,,HOU,W 29-14,*,5,3,84,28.00,0,60.0%,16.80,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
6,2011,2011-10-24,6,22.271,BAL,@,JAX,L 7-12,*,5,3,32,10.67,0,60.0%,6.40,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0
7,2011,2011-10-30,7,22.277,BAL,,ARI,W 30-27,*,9,3,57,19.00,0,33.3%,6.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
8,2011,2011-11-06,8,22.284,BAL,@,PIT,W 23-20,*,9,5,71,14.20,1,55.6%,7.89,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,1,0
9,2011,2011-11-13,9,22.291,BAL,@,SEA,L 17-22,*,8,3,28,9.33,0,37.5%,3.50,1,16,16.00,0,1,24,24.00,0,0,0,,0,,0,0,0.0,0,0
10,2011,2011-11-20,10,22.298,BAL,,CIN,W 31-24,*,7,6,165,27.50,1,85.7%,23.57,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
11,2011,2011-11-24,11,22.302,BAL,,SFO,W 16-6,*,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
12,2011,2011-12-04,12,22.312,BAL,@,CLE,W 24-10,*,4,1,32,32.00,0,25.0%,8.00,1,-3,-3.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
13,2011,2011-12-11,13,22.319,BAL,,IND,W 24-10,*,9,5,48,9.60,1,55.6%,5.33,1,16,16.00,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
14,2011,2011-12-18,14,22.326,BAL,@,SDG,L 14-34,*,7,6,77,12.83,1,85.7%,11.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
15,2011,2011-12-24,15,22.332,BAL,,CLE,W 20-14,*,7,2,38,19.00,0,28.6%,5.43,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
16,2011,2012-01-01,16,22.340,BAL,@,CIN,W 24-16,*,7,5,33,6.60,0,71.4%,4.71,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
17,2012,2012-09-10,1,23.228,BAL,,CIN,W 44-13,*,3,2,57,28.50,0,66.7%,19.00,1,13,13.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
18,2012,2012-09-16,2,23.234,BAL,@,PHI,L 23-24,*,5,2,51,25.50,0,40.0%,10.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
19,2012,2012-09-23,3,23.241,BAL,,NWE,W 31-30,*,10,6,127,21.17,2,60.0%,12.70,0,0,,0,0,0,,0,0,0,,0,,2,12,0.0,0,0
20,2012,2012-09-27,4,23.245,BAL,,CLE,W 23-16,*,10,6,97,16.17,1,60.0%,9.70,1,0,0.00,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
21,2012,2012-10-07,5,23.255,BAL,@,KAN,W 9-6,*,4,3,38,12.67,0,75.0%,9.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
22,2012,2012-10-14,6,23.262,BAL,,DAL,W 31-29,*,4,2,24,12.00,1,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
23,2012,2012-10-21,7,23.269,BAL,@,HOU,L 13-43,*,13,4,41,10.25,0,30.8%,3.15,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
