ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2009,2009-09-20,2,22.362,TEN,,HOU,L 31-34,,0,0,,0,4,25,6.25,0,0.0,0,0
2,2009,2009-09-27,3,23.004,TEN,@,NYJ,L 17-24,,1,14,14.00,0,2,12,6.00,0,0.0,2,1
3,2009,2009-10-04,4,23.011,TEN,@,JAX,L 17-37,*,0,0,,0,0,0,,0,0.0,2,1
4,2009,2009-10-11,5,23.018,TEN,,IND,L 9-31,,,,,,,,,,,,
5,2009,2009-10-18,6,23.025,TEN,@,NWE,L 0-59,*,0,0,,0,0,0,,0,0.0,5,2
6,2009,2009-11-01,7,23.039,TEN,,JAX,W 30-13,,0,0,,0,0,0,,0,0.0,0,0
7,2009,2009-11-08,8,23.046,TEN,@,SFO,W 34-27,,0,0,,0,0,0,,0,0.0,0,0
8,2009,2009-11-15,9,23.053,TEN,,BUF,W 41-17,,,,,,,,,,,,
9,2009,2009-11-23,10,23.061,TEN,@,HOU,W 20-17,,0,0,,0,0,0,,0,0.0,0,0
10,2009,2009-11-29,11,23.067,TEN,,ARI,W 20-17,,,,,,,,,,,,
11,2009,2009-12-06,12,23.074,TEN,@,IND,L 17-27,,,,,,,,,,,,
12,2009,2009-12-13,13,23.081,TEN,,STL,W 47-7,,0,0,,0,0,0,,0,0.0,0,0
13,2009,2009-12-20,14,23.088,TEN,,MIA,W 27-24,,0,0,,0,0,0,,0,0.0,0,0
14,2009,2009-12-25,15,23.093,TEN,,SDG,L 17-42,,,,,,,,,,,,
15,2010,2010-09-12,1,23.354,TEN,,OAK,W 38-13,,0,0,,0,0,0,,0,0.0,0,0
16,2010,2010-09-19,2,23.361,TEN,,PIT,L 11-19,,,,,,,,,,,,
17,2010,2010-09-26,3,24.003,TEN,@,NYG,W 29-10,,0,0,,0,0,0,,0,0.0,0,0
18,2010,2010-10-03,4,24.010,TEN,,DEN,L 20-26,,0,0,,0,0,0,,0,0.0,1,1
19,2010,2010-10-10,5,24.017,TEN,@,DAL,W 34-27,,0,0,,0,0,0,,0,0.0,0,0
20,2010,2010-10-18,6,24.025,TEN,@,JAX,W 30-3,,,,,,,,,,,,
21,2010,2010-10-24,7,24.031,TEN,,PHI,W 37-19,,,,,,,,,,,,
22,2010,2010-11-21,10,24.059,TEN,,WAS,L 16-19,,0,0,,0,0,0,,0,0.0,1,1
23,2010,2010-11-28,11,24.066,TEN,@,HOU,L 0-20,,0,0,,0,0,0,,0,0.0,0,1
24,2012,2012-09-09,1,25.352,TEN,,NWE,L 13-34,*,0,0,,0,0,0,,0,0.0,3,3
25,2012,2012-09-16,2,25.359,TEN,@,SDG,L 10-38,,0,0,,0,0,0,,0,0.0,0,1
26,2012,2012-09-23,3,26.000,TEN,,DET,W 44-41,,0,0,,0,0,0,,0,0.0,6,3
27,2012,2012-09-30,4,26.007,TEN,@,HOU,L 14-38,,0,0,,0,0,0,,0,0.0,1,0
28,2012,2012-10-07,5,26.014,TEN,@,MIN,L 7-30,,0,0,,0,0,0,,0,0.0,1,1
29,2012,2012-10-11,6,26.018,TEN,,PIT,W 26-23,,0,0,,0,0,0,,0,0.0,1,1
30,2012,2012-10-21,7,26.028,TEN,@,BUF,W 35-34,*,0,0,,0,0,0,,0,0.0,6,2
31,2012,2012-10-28,8,26.035,TEN,,IND,L 13-19,,0,0,,0,0,0,,0,0.0,6,0
32,2012,2012-11-04,9,26.042,TEN,,CHI,L 20-51,,0,0,,0,0,0,,0,0.0,1,0
33,2012,2012-11-11,10,26.049,TEN,@,MIA,W 37-3,,0,0,,0,0,0,,0,0.0,2,0
34,2012,2012-11-25,11,26.063,TEN,@,JAX,L 19-24,,0,0,,0,0,0,,0,0.0,2,0
35,2012,2012-12-09,13,26.077,TEN,@,IND,L 23-27,,0,0,,0,0,0,,0,0.0,2,0
36,2012,2012-12-17,14,26.085,TEN,,NYJ,W 14-10,,,,,,,,,,,,
