ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2010,2010-10-03,4,23.361,NOR,,CAR,W 16-14,,,,,,,,,0,,,,,,,,,,
2,2010,2010-10-10,5,24.003,NOR,@,ARI,L 20-30,,,,,,,,,0,,,,,,,,,,
3,2010,2010-10-17,6,24.010,NOR,@,TAM,W 31-6,,,,,,,,,0,,,,,,,,,,
4,2010,2010-10-24,7,24.017,NOR,,CLE,L 17-30,,,,,,,,,0,,,,,,,,,,
5,2010,2010-10-31,8,24.024,NOR,,PIT,W 20-10,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,1
6,2010,2010-11-07,9,24.031,NOR,@,CAR,W 34-3,,0,0,,0,0,0,,0,10,,,1,16,16.00,0,0.0,0,0
7,2010,2010-11-21,10,24.045,NOR,,SEA,W 34-19,,,,,,,,,0,,,,,,,,,,
8,2010,2010-11-25,11,24.049,NOR,@,DAL,W 30-27,,,,,,,,,0,,,,,,,,,,
9,2010,2010-12-05,12,24.059,NOR,@,CIN,W 34-30,,,,,,,,,0,,,,,,,,,,
10,2010,2010-12-12,13,24.066,NOR,,STL,W 31-13,,,,,,,,,0,,,,,,,,,,
11,2010,2010-12-19,14,24.073,NOR,@,BAL,L 24-30,,,,,,,,,0,,,,,,,,,,
12,2010,2010-12-27,15,24.081,NOR,@,ATL,W 17-14,,,,,,,,,0,,,,,,,,,,
13,2010,2011-01-02,16,24.087,NOR,,TAM,L 13-23,,2,3,66.67,16,0,0,79.9,0,0,5.33,5.33,1,0,0.00,0,0.0,0,0
14,2011,2011-09-08,1,24.336,NOR,@,GNB,L 34-42,,,,,,,,,,,,,,,,,,,
