ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks,def_int,def_int_yds,def_int_td
1,1984,1984-12-08,15,24.008,SFO,,MIN,W 51-7,1.0,0,0,0
2,1985,1985-09-15,2,24.289,SFO,,ATL,W 35-16,1.0,0,0,0
3,1985,1985-09-29,4,24.303,SFO,,NOR,L 17-20,0.5,1,0,0
4,1985,1985-10-27,8,24.331,SFO,@,RAM,W 28-14,1.0,0,0,0
5,1985,1985-11-03,9,24.338,SFO,,PHI,W 24-13,0.5,0,0,0
6,1986,1986-10-26,8,25.330,SFO,@,GNB,W 31-17,1.0,0,0,0
7,1987,1987-12-14,13,27.014,SFO,,CHI,W 41-0,0.0,1,16,0
8,1988,1988-10-09,6,27.314,SFO,,DEN,L 13-16,1.0,0,0,0
9,1989,1989-09-10,1,28.284,SFO,@,IND,W 30-24,1.0,0,0,0
10,1992,1992-10-11,6,31.316,SFO,@,NWE,W 24-12,1.0,0,0,0
