ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2000,2000-09-10,2,23.258,SFO,,CAR,L 22-38,,,,,,,,,
2,2000,2000-09-24,4,23.272,SFO,@,DAL,W 41-24,,1,6,6.00,0,0,0,,0
3,2000,2000-10-01,5,23.279,SFO,,ARI,W 27-20,,,,,,,,,
4,2000,2000-10-08,6,23.286,SFO,,OAK,L 28-34,,,,,,,,,
5,2000,2000-11-12,11,23.321,SFO,,KAN,W 21-7,,,,,,,,,
6,2000,2000-11-19,12,23.328,SFO,,ATL,W 16-6,,0,0,,0,1,14,14.00,0
7,2000,2000-12-03,13,23.342,SFO,@,SDG,W 45-17,,0,0,,0,1,17,17.00,0
8,2000,2000-12-10,14,23.349,SFO,,NOR,L 27-31,,0,0,,0,2,33,16.50,0
9,2000,2000-12-17,15,23.356,SFO,,CHI,W 17-0,,0,0,,0,1,19,19.00,0
10,2000,2000-12-23,16,23.362,SFO,@,DEN,L 9-38,,0,0,,0,4,85,21.25,0
11,2001,2001-09-09,1,24.256,SFO,,ATL,W 16-13,,0,0,,0,2,32,16.00,0
