ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2004,2004-09-11,1,23.193,TEN,@,MIA,W 17-7,,,,,,,,
2,2004,2004-09-19,2,23.201,TEN,,IND,L 17-31,*,,,,,,,
3,2004,2004-09-26,3,23.208,TEN,,JAX,L 12-15,*,,,,,,,
4,2004,2004-10-03,4,23.215,TEN,@,SDG,L 17-38,*,,,,,,,
5,2004,2004-10-11,5,23.223,TEN,@,GNB,W 48-27,*,,,,,,,
6,2004,2004-10-17,6,23.229,TEN,,HOU,L 10-20,*,,,,,,,
7,2004,2004-10-24,7,23.236,TEN,@,MIN,L 3-20,*,,,,,,,
8,2004,2004-10-31,8,23.243,TEN,,CIN,W 27-20,*,,,,,,,
9,2004,2004-11-14,9,23.257,TEN,,CHI,L 17-19,*,,,,,,,
10,2004,2004-11-21,10,23.264,TEN,@,JAX,W 18-15,*,,,,,,,
11,2004,2004-11-28,11,23.271,TEN,@,HOU,L 21-31,*,,,,,,,
12,2004,2004-12-05,12,23.278,TEN,@,IND,L 24-51,*,,,,,,,
13,2004,2004-12-13,13,23.286,TEN,,KAN,L 38-49,*,,,,,,,
14,2004,2004-12-19,14,23.292,TEN,@,OAK,L 35-40,*,,,,,,,
15,2004,2004-12-25,15,23.298,TEN,,DEN,L 16-37,*,,,,,,,
16,2005,2005-09-11,1,24.193,TEN,@,PIT,L 7-34,*,,,,,,,
17,2005,2005-09-25,3,24.207,TEN,@,STL,L 27-31,,,,,,,,
18,2005,2005-10-09,5,24.221,TEN,@,HOU,W 34-20,,,,,,,,
19,2005,2005-10-23,7,24.235,TEN,@,ARI,L 10-20,,,,,,,,
20,2005,2005-11-27,11,24.270,TEN,,SFO,W 33-22,,,,,,,,
21,2005,2005-12-04,12,24.277,TEN,@,IND,L 3-35,,,,,,,,
22,2005,2005-12-18,14,24.291,TEN,,SEA,L 24-28,,,,,,,,
23,2005,2005-12-24,15,24.297,TEN,@,MIA,L 10-24,,,,,,,,
24,2005,2006-01-01,16,24.305,TEN,@,JAX,L 13-40,,,,,,,,
25,2006,2006-09-10,1,25.192,TEN,,NYJ,L 16-23,*,,,,,,,
26,2006,2006-09-24,3,25.206,TEN,@,MIA,L 10-13,*,,,,,,,
27,2006,2006-10-01,4,25.213,TEN,,DAL,L 14-45,*,,,,,,,
28,2006,2006-10-08,5,25.220,TEN,@,IND,L 13-14,*,,,,,,,
29,2006,2006-10-15,6,25.227,TEN,@,WAS,W 25-22,*,,,,,,,
30,2006,2006-10-29,7,25.241,TEN,,HOU,W 28-22,*,,,,,,,
31,2006,2006-11-05,8,25.248,TEN,@,JAX,L 7-37,*,,,,,,,
32,2006,2006-11-12,9,25.255,TEN,,BAL,L 26-27,*,,,,,,,
33,2006,2006-11-19,10,25.262,TEN,@,PHI,W 31-13,*,,,,,,,
34,2006,2006-11-26,11,25.269,TEN,,NYG,W 24-21,*,,,,,,,
35,2006,2006-12-03,12,25.276,TEN,,IND,W 20-17,*,,,,,,,
36,2006,2006-12-10,13,25.283,TEN,@,HOU,W 26-20,*,,,,,,,
37,2006,2006-12-17,14,25.290,TEN,,JAX,W 24-17,*,,,,,,,
38,2006,2006-12-24,15,25.297,TEN,@,BUF,W 30-29,*,,,,,,,
39,2006,2006-12-31,16,25.304,TEN,,NWE,L 23-40,*,,,,,,,
40,2007,2007-09-09,1,26.191,TEN,@,JAX,W 13-10,*,,,,,,,
41,2007,2007-09-16,2,26.198,TEN,,IND,L 20-22,*,1,-15,-15.00,0,0.0,,
42,2007,2007-09-24,3,26.206,TEN,@,NOR,W 31-14,*,,,,,,,
43,2007,2007-10-07,4,26.219,TEN,,ATL,W 20-13,*,,,,,,,
44,2007,2007-10-14,5,26.226,TEN,@,TAM,L 10-13,*,,,,,,,
45,2007,2007-10-21,6,26.233,TEN,@,HOU,W 38-36,*,,,,,,,
46,2007,2007-10-28,7,26.240,TEN,,OAK,W 13-9,*,,,,,,,
47,2007,2007-11-04,8,26.247,TEN,,CAR,W 20-7,*,,,,,,,
48,2007,2007-11-11,9,26.254,TEN,,JAX,L 13-28,*,,,,,,,
49,2007,2007-11-19,10,26.262,TEN,@,DEN,L 20-34,*,,,,,,,
50,2007,2007-11-25,11,26.268,TEN,@,CIN,L 6-35,*,,,,,,,
51,2007,2007-12-02,12,26.275,TEN,,HOU,W 28-20,*,,,,,,,
52,2007,2007-12-09,13,26.282,TEN,,SDG,L 17-23,*,,,,,,,
53,2007,2007-12-16,14,26.289,TEN,@,KAN,W 26-17,*,,,,,,,
54,2007,2007-12-23,15,26.296,TEN,,NYJ,W 10-6,*,,,,,,,
55,2007,2007-12-30,16,26.303,TEN,@,IND,W 16-10,*,,,,,,,
56,2008,2008-09-07,1,27.189,STL,@,PHI,L 3-38,*,,,,,,,
57,2008,2008-09-28,4,27.210,STL,,BUF,L 14-31,*,,,,,,,
58,2008,2008-10-12,5,27.224,STL,@,WAS,W 19-17,*,,,,,,,
59,2008,2008-10-19,6,27.231,STL,,DAL,W 34-14,*,,,,,,,
60,2008,2008-10-26,7,27.238,STL,@,NWE,L 16-23,*,,,,,,,
61,2008,2008-11-02,8,27.245,STL,,ARI,L 13-34,*,,,,,,,
62,2008,2008-11-09,9,27.252,STL,@,NYJ,L 3-47,*,,,,,,,
63,2008,2008-11-16,10,27.259,STL,@,SFO,L 16-35,*,0,0,,0,0.0,0,1
64,2008,2008-11-23,11,27.266,STL,,CHI,L 3-27,*,,,,,,,
65,2008,2008-11-30,12,27.273,STL,,MIA,L 12-16,*,,,,,,,
66,2008,2008-12-07,13,27.280,STL,@,ARI,L 10-34,*,,,,,,,
67,2008,2008-12-14,14,27.287,STL,,SEA,L 20-23,*,,,,,,,
68,2008,2008-12-21,15,27.294,STL,,SFO,L 16-17,*,,,,,,,
69,2009,2009-09-13,1,28.195,STL,@,SEA,L 0-28,*,,,,,,,
70,2009,2009-09-20,2,28.202,STL,@,WAS,L 7-9,*,,,,,,,
71,2009,2009-09-27,3,28.209,STL,,GNB,L 17-36,*,,,,,,,
72,2009,2009-10-04,4,28.216,STL,@,SFO,L 0-35,*,,,,,,,
73,2009,2009-10-11,5,28.223,STL,,MIN,L 10-38,*,,,,,,,
74,2009,2009-10-18,6,28.230,STL,@,JAX,L 20-23,*,,,,,,,
75,2009,2009-10-25,7,28.237,STL,,IND,L 6-42,*,,,,,,,
76,2009,2009-11-01,8,28.244,STL,@,DET,W 17-10,*,,,,,,,
77,2009,2009-11-15,9,28.258,STL,,NOR,L 23-28,*,,,,,,,
78,2009,2009-11-22,10,28.265,STL,,ARI,L 13-21,*,,,,,,,
79,2009,2009-11-29,11,28.272,STL,,SEA,L 17-27,*,,,,,,,
80,2009,2009-12-06,12,28.279,STL,@,CHI,L 9-17,*,,,,,,,
81,2009,2009-12-13,13,28.286,STL,@,TEN,L 7-47,*,,,,,,,
82,2010,2010-09-12,1,29.194,STL,,ARI,L 13-17,*,,,,,,,
83,2010,2010-09-19,2,29.201,STL,@,OAK,L 14-16,*,,,,,,,
84,2010,2010-09-26,3,29.208,STL,,WAS,W 30-16,*,,,,,,,
85,2010,2010-10-03,4,29.215,STL,,SEA,W 20-3,*,,,,,,,
86,2010,2010-10-10,5,29.222,STL,@,DET,L 6-44,*,,,,,,,
87,2010,2010-10-17,6,29.229,STL,,SDG,W 20-17,*,,,,,,,
88,2010,2010-10-24,7,29.236,STL,@,TAM,L 17-18,*,,,,,,,
