ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-10-02,4,25.206,CIN,,BUF,W 23-20,,3,2,43,21.50,0,66.7%,14.33,0,0,,0,,0,0,0.0,0,0
2,2011,2011-10-09,5,25.213,CIN,@,JAX,W 30-20,,2,2,6,3.00,0,100.0%,3.00,0,0,,0,,0,0,0.0,0,0
3,2011,2011-10-16,6,25.220,CIN,,IND,W 27-17,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0
4,2011,2011-10-30,7,25.234,CIN,@,SEA,W 34-12,,0,0,0,,0,0.0%,,1,6,6.00,0,,0,0,0.0,0,0
5,2011,2011-11-06,8,25.241,CIN,@,TEN,W 24-17,,,,,,,0.0%,,,,,,,,,,,
6,2011,2011-11-13,9,25.248,CIN,,PIT,L 17-24,,6,5,56,11.20,0,83.3%,9.33,1,4,4.00,0,,0,0,0.0,0,0
7,2011,2011-11-20,10,25.255,CIN,@,BAL,L 24-31,,8,4,47,11.75,0,50.0%,5.88,0,0,,0,,0,0,0.0,0,0
8,2011,2011-11-27,11,25.262,CIN,,CLE,W 23-20,,3,2,27,13.50,0,66.7%,9.00,0,0,,0,,0,0,0.0,0,0
9,2011,2011-12-04,12,25.269,CIN,@,PIT,L 7-35,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,,0,0,0.0,0,0
10,2011,2011-12-11,13,25.276,CIN,,HOU,L 19-20,,1,1,22,22.00,0,100.0%,22.00,1,4,4.00,0,,0,0,0.0,0,1
11,2011,2011-12-18,14,25.283,CIN,@,STL,W 20-13,,2,1,10,10.00,0,50.0%,5.00,1,8,8.00,0,,0,0,0.0,0,0
12,2011,2011-12-24,15,25.289,CIN,,ARI,W 23-16,,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,0,0,0.0,0,1
13,2011,2012-01-01,16,25.297,CIN,,BAL,L 16-24,,4,3,34,11.33,0,75.0%,8.50,1,3,3.00,0,,0,0,0.0,0,0
14,2012,2012-09-10,1,26.184,CIN,@,BAL,L 13-44,,9,8,86,10.75,0,88.9%,9.56,0,0,,0,,0,0,0.0,0,0
15,2012,2012-09-16,2,26.190,CIN,,CLE,W 34-27,,3,2,56,28.00,1,66.7%,18.67,0,0,,0,,1,6,0.0,0,0
16,2012,2012-09-23,3,26.197,CIN,@,WAS,W 38-31,,4,2,66,33.00,1,50.0%,16.50,2,16,8.00,0,,1,6,0.0,0,0
17,2012,2012-09-30,4,26.204,CIN,@,JAX,W 27-10,,3,3,39,13.00,0,100.0%,13.00,0,0,,0,,0,0,0.0,0,0
