ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-09-17,1,27.092,RAM,,CHI,L 20-24,3,53,17.67,1,0,0,,0,0,0,,0,0,,,,,,
2,1950,1950-09-22,2,27.097,RAM,,NYY,W 45-28,4,25,6.25,0,0,0,,0,0,0,,0,0,,,,,,
3,1950,1950-10-01,3,27.106,RAM,@,SFO,W 35-14,2,15,7.50,0,0,0,,0,0,0,,0,0,,,,,,
4,1950,1950-10-07,4,27.112,RAM,@,PHI,L 20-56,4,40,10.00,0,0,0,,0,0,0,,0,0,,,,,,
5,1950,1950-10-15,5,27.120,RAM,@,DET,W 30-28,5,60,12.00,0,0,0,,0,0,0,,0,0,,,,,,
6,1950,1950-10-22,6,27.127,RAM,,BAL,W 70-27,2,82,41.00,1,0,0,,0,0,0,,0,0,,,,,,
7,1950,1950-10-29,7,27.134,RAM,,DET,W 65-24,4,87,21.75,1,0,0,,0,0,0,,0,0,,,,,,
8,1950,1950-11-05,8,27.141,RAM,,SFO,W 28-21,2,28,14.00,0,1,4,4.00,0,0,0,,0,0,,,,,,
9,1950,1950-11-12,9,27.148,RAM,@,GNB,W 45-14,3,78,26.00,2,0,0,,0,0,0,,0,0,,,,,,
10,1950,1950-11-19,10,27.155,RAM,@,NYY,W 43-35,8,157,19.63,1,0,0,,0,0,0,,0,0,,,,,,
11,1950,1950-11-26,11,27.162,RAM,@,CHI,L 14-24,1,5,5.00,0,1,15,15.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
12,1950,1950-12-03,12,27.169,RAM,,GNB,W 51-14,4,57,14.25,1,0,0,,0,0,0,,0,0,,,,,,
13,1951,1951-09-28,1,28.103,RAM,,NYY,W 54-14,9,173,19.22,4,1,3,3.00,0,0,0,,0,0,,,,,,
14,1951,1951-10-07,2,28.112,RAM,,CLE,L 23-38,4,69,17.25,1,0,0,,0,0,0,,0,0,,,,,,
15,1951,1951-10-14,3,28.119,RAM,@,DET,W 27-21,7,147,21.00,1,0,0,,0,0,0,,0,0,,,,,,
16,1951,1951-10-21,4,28.126,RAM,@,GNB,W 28-0,3,111,37.00,1,0,0,,0,0,0,,0,0,,,,,,
17,1951,1951-10-28,5,28.133,RAM,@,SFO,L 17-44,7,163,23.29,1,0,0,,0,0,0,,0,0,,,,,,
18,1951,1951-11-04,6,28.140,RAM,,SFO,W 23-16,4,103,25.75,1,0,0,,0,0,0,,0,0,,,,,,
19,1951,1951-11-11,7,28.147,RAM,,CRD,W 45-21,6,195,32.50,2,0,0,,0,0,0,,0,0,,,,,,
20,1951,1951-11-18,8,28.154,RAM,,NYY,W 48-21,4,97,24.25,1,0,0,,0,0,0,,0,0,,,,,,
21,1951,1951-11-25,9,28.161,RAM,@,WAS,L 21-31,7,104,14.86,1,0,0,,0,0,0,,0,0,,,,,,
22,1951,1951-12-02,10,28.168,RAM,@,CHI,W 42-17,3,106,35.33,1,0,0,,0,0,0,,0,0,,,,,,
23,1951,1951-12-09,11,28.175,RAM,,DET,L 22-24,6,81,13.50,0,0,0,,0,0,0,,0,0,,,,,,
24,1951,1951-12-16,12,28.182,RAM,,GNB,W 42-14,6,146,24.33,3,0,0,,0,0,0,,0,0,,,,,,
25,1952,1952-10-03,2,29.108,RAM,,DET,L 14-17,1,20,20.00,0,0,0,,0,0,0,,0,0,,,,,,
