ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2007,2007-10-15,6,24.268,ATL,,NYG,L 10-31,,,,,
2,2007,2007-10-21,7,24.274,ATL,@,NOR,L 16-22,,,,,
3,2007,2007-11-04,8,24.288,ATL,,SFO,W 20-16,,,,,
4,2007,2007-12-10,13,24.324,ATL,,NOR,L 14-34,,,,,
5,2007,2007-12-23,15,24.337,ATL,@,ARI,L 27-30,,1,37,37.00,0
6,2007,2007-12-30,16,24.344,ATL,,SEA,W 44-41,,,,,
