ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1978,1978-09-03,1,25.249,KAN,@,CIN,W 24-23,,,,,,,,
2,1978,1978-09-10,2,25.256,KAN,,HOU,L 17-20,,,,,,,,
3,1978,1978-09-17,3,25.263,KAN,@,NYG,L 10-26,,,,,,,,
4,1978,1978-09-24,4,25.270,KAN,,DEN,L 17-23,,,,,,,,
5,1978,1978-10-01,5,25.277,KAN,@,BUF,L 13-28,,,,,,,,
6,1978,1978-10-08,6,25.284,KAN,,TAM,L 13-30,1,13,13.00,0,0,0,,0
7,1978,1978-10-15,7,25.291,KAN,@,OAK,L 6-28,,,,,,,,
8,1978,1978-10-22,8,25.298,KAN,,CLE,W 17-3,,,,,,,,
9,1978,1978-10-29,9,25.305,KAN,@,PIT,L 24-27,,,,,,,,
10,1978,1978-11-05,10,25.312,KAN,,OAK,L 10-20,1,2,2.00,0,0,0,,0
11,1978,1978-11-12,11,25.319,KAN,@,SDG,L 23-29,,,,,,,,
12,1978,1978-11-19,12,25.326,KAN,,SEA,L 10-13,0,0,,0,1,5,5.00,0
13,1978,1978-11-26,13,25.333,KAN,,SDG,W 23-0,,,,,,,,
14,1978,1978-12-03,14,25.340,KAN,,BUF,W 14-10,,,,,,,,
15,1978,1978-12-10,15,25.347,KAN,@,DEN,L 3-24,,,,,,,,
16,1978,1978-12-17,16,25.354,KAN,@,SEA,L 19-23,,,,,,,,
17,1980,1980-12-21,16,27.359,KAN,@,BAL,W 38-28,,,,,,,,
