ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,def_int,def_int_yds,def_int_td
1,1993,1993-09-05,1,23.133,NWE,@,BUF,L 14-38,,,,,,,0.0%,,,,,
2,1993,1993-09-12,2,23.140,NWE,,DET,L 16-19,,,,,,,0.0%,,,,,
3,1993,1993-09-19,3,23.147,NWE,,SEA,L 14-17,,,,,,,0.0%,,,,,
4,1993,1993-10-10,5,23.168,NWE,@,PHO,W 23-21,,,,,,,0.0%,,,,,
5,1993,1993-10-17,6,23.175,NWE,,HOU,L 14-28,,,,,,,0.0%,,,,,
6,1993,1993-10-24,7,23.182,NWE,@,SEA,L 9-10,,,,,,,0.0%,,,,,
7,1993,1993-10-31,8,23.189,NWE,@,IND,L 6-9,,,,,,,0.0%,,,,,
8,1993,1993-11-07,9,23.196,NWE,,BUF,L 10-13,,,,,,,0.0%,,,,,
9,1993,1993-11-21,10,23.210,NWE,@,MIA,L 13-17,,,,,,,0.0%,,,,,
10,1993,1993-11-28,11,23.217,NWE,,NYJ,L 0-6,,,,,,,0.0%,,,,,
11,1993,1993-12-05,12,23.224,NWE,@,PIT,L 14-17,,,,,,,0.0%,,,,,
12,1993,1993-12-12,13,23.231,NWE,,CIN,W 7-2,,,,,,,0.0%,,,,,
13,1993,1993-12-19,14,23.238,NWE,@,CLE,W 20-17,,,,,,,0.0%,,,,,
14,1993,1993-12-26,15,23.245,NWE,,IND,W 38-0,,,,,,,0.0%,,,,,
15,1993,1994-01-02,16,23.252,NWE,,MIA,W 33-27,,,,,,,0.0%,,,,,
16,1994,1994-09-04,1,24.132,NWE,@,MIA,L 35-39,,,,,,,0.0%,,,,,
17,1994,1994-09-11,2,24.139,NWE,,BUF,L 35-38,,,,,,,0.0%,,,,,
18,1994,1994-09-18,3,24.146,NWE,@,CIN,W 31-28,,,,,,,0.0%,,,,,
