ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2016,2016-09-25,3,21.314,NYG,,WAS,L 27-29,,0,0,,0,0,0,0,,0,0.0%,
2,2016,2016-10-03,4,21.322,NYG,@,MIN,L 10-24,,2,8,4.00,0,3,2,72,36.00,0,66.7%,24.00
3,2016,2016-10-09,5,21.328,NYG,@,GNB,L 16-23,,2,9,4.50,0,2,1,13,13.00,0,50.0%,6.50
4,2016,2016-10-16,6,21.335,NYG,,BAL,W 27-23,,2,10,5.00,0,2,2,16,8.00,0,100.0%,8.00
5,2016,2016-10-23,7,21.342,NYG,@,LAR,W 17-10,,4,12,3.00,0,1,1,4,4.00,0,100.0%,4.00
6,2016,2016-11-06,8,21.356,NYG,,PHI,W 28-23,,11,32,2.91,0,3,3,15,5.00,0,100.0%,5.00
7,2016,2016-11-14,9,21.364,NYG,,CIN,W 21-20,,9,31,3.44,0,3,0,0,,0,0.0%,0.00
8,2016,2016-11-20,10,22.004,NYG,,CHI,W 22-16,,4,16,4.00,0,2,2,19,9.50,0,100.0%,9.50
9,2016,2016-11-27,11,22.011,NYG,@,CLE,W 27-13,,9,29,3.22,0,2,2,14,7.00,0,100.0%,7.00
10,2016,2016-12-04,12,22.018,NYG,@,PIT,L 14-24,,7,38,5.43,0,0,0,0,,0,0.0%,
11,2016,2016-12-11,13,22.025,NYG,,DAL,W 10-7,,15,45,3.00,0,1,1,0,0.00,0,100.0%,0.00
12,2016,2016-12-18,14,22.032,NYG,,DET,W 17-6,,11,56,5.09,0,1,0,0,,0,0.0%,0.00
13,2016,2016-12-22,15,22.036,NYG,@,PHI,L 19-24,,15,68,4.53,0,2,1,9,9.00,0,50.0%,4.50
14,2016,2017-01-01,16,22.046,NYG,@,WAS,W 19-10,*,21,102,4.86,0,2,0,0,,0,0.0%,0.00
15,2017,2017-09-10,1,22.298,NYG,@,DAL,L 3-19,*,7,16,2.29,0,3,2,9,4.50,0,66.7%,3.00
16,2017,2017-09-18,2,22.306,NYG,,DET,L 10-24,*,7,10,1.43,0,2,2,12,6.00,0,100.0%,6.00
17,2017,2017-09-24,3,22.312,NYG,@,PHI,L 24-27,*,9,22,2.44,0,2,2,8,4.00,0,100.0%,4.00
18,2017,2017-10-01,4,22.319,NYG,@,TAM,L 23-25,*,9,13,1.44,0,2,1,6,6.00,0,50.0%,3.00
19,2017,2017-11-05,8,22.354,NYG,,LAR,L 17-51,,0,0,,0,0,0,0,,0,0.0%,
20,2017,2017-11-12,9,22.361,NYG,@,SFO,L 21-31,,0,0,,0,0,0,0,,0,0.0%,
21,2017,2017-11-23,11,23.007,NYG,@,WAS,L 10-20,,0,0,,0,0,0,0,,0,0.0%,
22,2017,2017-12-03,12,23.017,NYG,@,OAK,L 17-24,,3,12,4.00,0,0,0,0,,0,0.0%,
23,2017,2017-12-10,13,23.024,NYG,,DAL,L 10-30,,0,0,,0,0,0,0,,0,0.0%,
24,2017,2017-12-24,15,23.038,NYG,@,ARI,L 0-23,,3,10,3.33,0,0,0,0,,0,0.0%,
25,2017,2017-12-31,16,23.045,NYG,,WAS,W 18-10,,3,7,2.33,0,1,1,11,11.00,0,100.0%,11.00
