ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1984,1984-09-02,1,22.279,PHI,@,NYG,L 27-28,6,25,4.17,0,0,0,,0,1,20,20.00,0
2,1984,1984-09-09,2,22.286,PHI,,MIN,W 19-17,4,10,2.50,0,2,22,11.00,0,0,0,,0
3,1984,1984-09-16,3,22.293,PHI,@,DAL,L 17-23,1,3,3.00,0,0,0,,0,0,0,,0
4,1984,1984-09-23,4,22.300,PHI,,SFO,L 9-21,0,0,,0,0,0,,0,0,0,,0
5,1984,1984-09-30,5,22.307,PHI,@,WAS,L 0-20,2,5,2.50,0,0,0,,0,0,0,,0
6,1984,1984-12-09,15,23.011,PHI,,NWE,W 27-17,1,-2,-2.00,0,0,0,,0,0,0,,0
7,1985,1985-10-20,7,23.326,SEA,@,DEN,L 10-13,0,0,,0,0,0,,0,,,,
8,1985,1985-10-27,8,23.333,SEA,@,NYJ,L 14-17,3,1,0.33,0,2,4,2.00,0,0,0,,0
9,1985,1985-11-03,9,23.340,SEA,,RAI,W 33-3,2,4,2.00,0,1,3,3.00,0,0,0,,0
10,1987,1987-10-05,3,25.311,SFO,@,NYG,W 41-21,7,48,6.86,0,1,7,7.00,0,0,0,,0
