ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2012,2012-09-23,3,22.177,DET,@,TEN,L 41-44,*,26,100,3.85,1,4,4,34,8.50,0,100.0%,8.50,1,6
2,2012,2012-09-30,4,22.184,DET,,MIN,L 13-20,*,13,26,2.00,0,5,4,37,9.25,0,80.0%,7.40,0,0
3,2012,2012-10-14,5,22.198,DET,@,PHI,W 26-23,*,15,70,4.67,0,4,3,24,8.00,0,75.0%,6.00,0,0
4,2012,2012-10-22,6,22.206,DET,@,CHI,L 7-13,*,12,63,5.25,0,7,6,20,3.33,0,85.7%,2.86,0,0
5,2012,2012-10-28,7,22.212,DET,,SEA,W 28-24,*,10,46,4.60,0,5,3,9,3.00,0,60.0%,1.80,0,0
6,2012,2012-11-04,8,22.219,DET,@,JAX,W 31-14,*,16,70,4.38,3,2,0,0,,0,0.0%,0.00,3,18
7,2012,2012-11-11,9,22.226,DET,@,MIN,L 24-34,*,13,43,3.31,0,3,1,5,5.00,0,33.3%,1.67,0,0
8,2012,2012-11-18,10,22.233,DET,,GNB,L 20-24,*,19,84,4.42,1,1,1,-2,-2.00,0,100.0%,-2.00,1,6
9,2012,2012-11-22,11,22.237,DET,,HOU,L 31-34,*,12,32,2.67,1,2,2,27,13.50,0,100.0%,13.50,1,6
10,2012,2012-12-02,12,22.247,DET,,IND,L 33-35,*,21,57,2.71,1,3,2,16,8.00,0,66.7%,5.33,1,6
11,2012,2012-12-09,13,22.254,DET,@,GNB,L 20-27,*,14,49,3.50,0,0,0,0,,0,0.0%,,0,0
12,2012,2012-12-16,14,22.261,DET,@,ARI,L 10-38,*,14,55,3.93,1,3,2,4,2.00,0,66.7%,1.33,1,6
13,2012,2012-12-22,15,22.267,DET,,ATL,L 18-31,*,15,46,3.07,1,5,3,20,6.67,0,60.0%,4.00,1,6
14,2012,2012-12-30,16,22.275,DET,,CHI,L 24-26,*,15,57,3.80,0,5,3,20,6.67,0,60.0%,4.00,0,0
15,2013,2013-10-13,6,23.197,DET,@,CLE,W 31-17,,2,9,4.50,0,0,0,0,,0,0.0%,,0,0
16,2013,2013-10-20,7,23.204,DET,,CIN,L 24-27,,,,,,,,,,,0.0%,,,
17,2013,2013-11-17,10,23.232,DET,@,PIT,L 27-37,,,,,,,,,,,0.0%,,,
