ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2005,2005-10-02,3,22.068,HOU,@,CIN,L 10-16,,0,0,0,,0,0.0%,,5,130,26.00,0,0,0,,0,0,0
2,2005,2005-10-09,4,22.075,HOU,,TEN,L 20-34,,5,2,15,7.50,0,40.0%,3.00,6,141,23.50,0,1,1,1.00,0,0,0
3,2005,2005-10-16,5,22.082,HOU,@,SEA,L 10-42,,0,0,0,,0,0.0%,,2,45,22.50,0,0,0,,0,0,0
4,2005,2005-10-23,6,22.089,HOU,,IND,L 20-38,,1,0,0,,0,0.0%,0.00,7,266,38.00,1,0,0,,0,1,6
5,2005,2005-10-30,7,22.096,HOU,,CLE,W 19-16,,1,1,34,34.00,1,100.0%,34.00,5,177,35.40,0,0,0,,0,1,6
6,2005,2005-11-20,10,22.117,HOU,,KAN,L 17-45,,0,0,0,,0,0.0%,,7,266,38.00,1,0,0,,0,1,6
7,2005,2005-11-27,11,22.124,HOU,,STL,L 27-33,,0,0,0,,0,0.0%,,4,106,26.50,0,2,27,13.50,0,0,0
8,2005,2005-12-04,12,22.131,HOU,@,BAL,L 15-16,,0,0,0,,0,0.0%,,4,99,24.75,0,5,29,5.80,0,0,0
9,2005,2005-12-11,13,22.138,HOU,@,TEN,L 10-13,,1,0,0,,0,0.0%,0.00,4,123,30.75,0,2,-2,-1.00,0,0,0
10,2005,2005-12-18,14,22.145,HOU,,ARI,W 30-19,,0,0,0,,0,0.0%,,3,49,16.33,0,1,8,8.00,0,0,0
11,2005,2005-12-24,15,22.151,HOU,,JAX,L 20-38,,1,0,0,,0,0.0%,0.00,3,51,17.00,0,0,0,,0,0,0
12,2005,2006-01-01,16,22.159,HOU,@,SFO,L 17-20,,4,2,16,8.00,0,50.0%,4.00,4,89,22.25,0,1,5,5.00,0,0,0
13,2006,2006-12-03,12,23.130,HOU,@,OAK,W 23-14,,0,0,0,,0,0.0%,,3,111,37.00,0,0,0,,0,0,0
14,2006,2006-12-10,13,23.137,HOU,,TEN,L 20-26,,0,0,0,,0,0.0%,,4,81,20.25,0,0,0,,0,0,0
15,2007,2007-09-09,1,24.045,HOU,,KAN,W 20-3,,0,0,0,,0,0.0%,,2,51,25.50,0,0,0,,0,0,0
16,2007,2007-09-16,2,24.052,HOU,@,CAR,W 34-21,,0,0,0,,0,0.0%,,2,36,18.00,0,0,0,,0,0,0
17,2007,2007-09-23,3,24.059,HOU,,IND,L 24-30,,1,1,15,15.00,0,100.0%,15.00,7,233,33.29,1,0,0,,0,1,6
