ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1997,1997-11-09,10,25.063,SDG,,SEA,L 31-37,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
2,1997,1997-11-16,11,25.070,SDG,,OAK,L 13-38,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
3,1997,1997-11-23,12,25.077,SDG,@,SFO,L 10-17,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
4,1997,1997-11-30,13,25.084,SDG,,DEN,L 28-38,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
5,1997,1997-12-14,15,25.098,SDG,,KAN,L 7-29,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
6,1997,1997-12-21,16,25.105,SDG,@,DEN,L 3-38,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
7,1998,1998-09-06,1,25.364,CHI,,JAX,L 23-24,,3,8,2.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
8,1998,1998-09-13,2,26.006,CHI,@,PIT,L 12-17,,1,2,2.00,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
9,1998,1998-09-20,3,26.013,CHI,@,TAM,L 15-27,,3,9,3.00,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
10,1998,1998-09-27,4,26.020,CHI,,MIN,L 28-31,,0,0,,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0
11,1998,1998-10-04,5,26.027,CHI,,DET,W 31-27,,2,13,6.50,0,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
12,1998,1998-10-11,6,26.034,CHI,@,ARI,L 7-20,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
13,1998,1998-10-18,7,26.041,CHI,,DAL,W 13-12,,3,17,5.67,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,1,18,18.00,0,0,0
14,1998,1998-10-25,8,26.048,CHI,@,TEN,W 23-20,,1,1,1.00,1,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
15,1998,1998-11-08,9,26.062,CHI,,STL,L 12-20,,1,14,14.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
16,1998,1998-11-15,10,26.069,CHI,@,DET,L 3-26,,1,4,4.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
17,1998,1998-11-22,11,26.076,CHI,@,ATL,L 13-20,,2,12,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
18,1998,1998-11-29,12,26.083,CHI,,TAM,L 17-31,,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
19,1998,1998-12-06,13,26.090,CHI,@,MIN,L 22-48,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
20,1998,1998-12-13,14,26.097,CHI,@,GNB,L 20-26,,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
21,1998,1998-12-20,15,26.104,CHI,,BAL,W 24-3,,6,14,2.33,1,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
22,1998,1998-12-27,16,26.111,CHI,,GNB,L 13-16,,4,19,4.75,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
23,1999,1999-11-14,9,27.068,DAL,,GNB,W 27-13,,14,57,4.07,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0
24,1999,1999-11-25,11,27.079,DAL,,MIA,W 20-0,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
25,1999,1999-12-05,12,27.089,DAL,@,NWE,L 6-13,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
26,2000,2000-09-03,1,27.362,SDG,@,OAK,L 6-9,*,23,74,3.22,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,1,6
27,2000,2000-09-10,2,28.003,SDG,,NOR,L 27-28,,15,59,3.93,1,1,0,0,,0,0.0%,0.00,0,1,0.00,0,0,0,39.6,,,0.00,0.00,0,0,,0,1,6
28,2000,2000-09-17,3,28.010,SDG,@,KAN,L 10-42,,4,8,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0
29,2000,2000-10-15,7,28.038,SDG,@,BUF,L 24-27,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
