ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2007,2007-12-30,16,23.256,DEN,,MIN,W 22-19,,5,221,44.20,0
2,2008,2008-10-19,7,24.184,DAL,@,STL,L 14-34,,5,210,42.00,0
3,2008,2008-10-26,8,24.191,DAL,,TAM,W 13-9,,7,313,44.71,0
4,2008,2008-11-02,9,24.198,DAL,@,NYG,L 14-35,,6,230,38.33,0
5,2008,2008-11-16,10,24.212,DAL,@,WAS,W 14-10,,4,157,39.25,0
6,2008,2008-11-23,11,24.219,DAL,,SFO,W 35-22,,4,193,48.25,0
7,2008,2008-11-27,12,24.223,DAL,,SEA,W 34-9,,5,213,42.60,0
8,2008,2008-12-07,13,24.233,DAL,@,PIT,L 13-20,,4,160,40.00,0
9,2008,2008-12-14,14,24.240,DAL,,NYG,W 20-8,,6,253,42.17,0
10,2008,2008-12-20,15,24.246,DAL,,BAL,L 24-33,,6,230,38.33,0
11,2008,2008-12-28,16,24.254,DAL,@,PHI,L 6-44,,6,254,42.33,0
12,2009,2009-11-08,8,25.204,WAS,@,ATL,L 17-31,,3,150,50.00,0
13,2009,2009-12-06,12,25.232,TAM,@,CAR,L 6-16,,2,82,41.00,0
14,2009,2009-12-13,13,25.239,TAM,,NYJ,L 3-26,,8,357,44.63,0
15,2009,2009-12-20,14,25.246,TAM,@,SEA,W 24-7,,4,176,44.00,0
16,2009,2009-12-27,15,25.253,TAM,@,NOR,W 20-17,,3,117,39.00,0
17,2009,2010-01-03,16,25.260,TAM,,ATL,L 10-20,,7,290,41.43,0
18,2010,2010-12-19,14,26.245,WAS,@,DAL,L 30-33,,4,158,39.50,0
19,2010,2010-12-26,15,26.252,WAS,@,JAX,W 20-17,,9,368,40.89,0
20,2010,2011-01-02,16,26.259,WAS,,NYG,L 14-17,,4,174,43.50,0
