ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-27,3,23.329,STL,,GNB,L 17-36,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,8,187,23.38,0,2,23,11.50,0,,0,0,0.0,1,0
2,2009,2009-10-04,4,23.336,STL,@,SFO,L 0-35,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,4,82,20.50,0,2,9,4.50,0,,0,0,0.0,0,0
3,2009,2009-10-11,5,23.343,STL,,MIN,L 10-38,,5,5,43,8.60,0,100.0%,8.60,0,0,,0,0,0,,0,0,0,,,,,,6,135,22.50,0,1,6,6.00,0,,0,0,0.0,0,0
4,2009,2009-10-18,6,23.350,STL,@,JAX,L 20-23,,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,0,0,0,,,,,,4,125,31.25,0,1,11,11.00,0,,0,0,0.0,0,0
5,2009,2009-10-25,7,23.357,STL,,IND,L 6-42,,5,5,39,7.80,0,100.0%,7.80,0,0,,0,0,0,,0,0,0,,,,,,7,176,25.14,0,2,16,8.00,0,,0,0,0.0,0,0
6,2009,2009-11-01,8,23.364,STL,@,DET,W 17-10,,3,1,13,13.00,0,33.3%,4.33,1,0,0.00,0,0,0,,0,0,0,,,,,,2,40,20.00,0,3,28,9.33,0,,0,0,0.0,0,0
7,2009,2009-11-15,9,24.013,STL,,NOR,L 23-28,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,3,64,21.33,0,1,10,10.00,0,,0,0,0.0,0,0
8,2009,2009-11-22,10,24.020,STL,,ARI,L 13-21,,4,4,61,15.25,0,100.0%,15.25,0,0,,0,0,0,,0,0,0,,,,,,3,91,30.33,0,2,19,9.50,0,,0,0,0.0,0,0
9,2009,2009-11-29,11,24.027,STL,,SEA,L 17-27,*,11,7,55,7.86,0,63.6%,5.00,0,0,,0,0,0,,0,0,0,,,,,,2,51,25.50,0,2,8,4.00,0,,0,0,0.0,0,0
10,2009,2009-12-06,12,24.034,STL,@,CHI,L 9-17,,3,1,0,0.00,0,33.3%,0.00,1,8,8.00,0,0,0,,0,0,0,,,,,,4,108,27.00,0,5,60,12.00,0,,0,0,0.0,1,0
11,2009,2009-12-13,13,24.041,STL,@,TEN,L 7-47,,7,5,19,3.80,0,71.4%,2.71,1,-10,-10.00,0,0,0,,0,0,0,,,,,,9,217,24.11,0,1,6,6.00,0,,0,0,0.0,0,0
12,2009,2009-12-20,14,24.048,STL,,HOU,L 13-16,,3,2,7,3.50,1,66.7%,2.33,0,0,,0,0,0,,0,0,0,,,,,,5,159,31.80,0,1,12,12.00,0,,1,6,0.0,0,0
13,2009,2009-12-27,15,24.055,STL,@,ARI,L 10-31,,8,6,38,6.33,0,75.0%,4.75,0,0,,0,0,0,,0,0,0,,,,,,4,72,18.00,0,3,79,26.33,0,,0,0,0.0,1,0
