ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2016,2016-09-08,1,23.015,DEN,,CAR,W 21-20,,0,0,,0,0,0,,0,0,,,3,140,46.67,0
2,2016,2016-09-18,2,23.025,DEN,,IND,W 34-20,,0,0,,0,0,0,,0,0,,,2,98,49.00,0
3,2016,2016-09-25,3,23.032,DEN,@,CIN,W 29-17,,0,0,,0,0,0,,0,0,,,5,231,46.20,0
4,2016,2016-10-02,4,23.039,DEN,@,TAM,W 27-7,,0,0,,0,0,0,,0,0,,,7,330,47.14,0
5,2016,2016-10-09,5,23.046,DEN,,ATL,L 16-23,,0,0,,0,0,0,,0,0,,,6,290,48.33,0
6,2016,2016-10-13,6,23.050,DEN,@,SDG,L 13-21,,0,0,,0,0,0,,0,0,,,5,221,44.20,0
7,2016,2016-10-24,7,23.061,DEN,,HOU,W 27-9,,0,0,,0,0,0,,0,0,,,6,255,42.50,0
8,2016,2016-10-30,8,23.067,DEN,,SDG,W 27-19,,0,0,,0,0,0,,0,0,,,5,253,50.60,0
9,2016,2016-11-06,9,23.074,DEN,@,OAK,L 20-30,,0,0,,0,0,0,,0,0,,,6,267,44.50,0
10,2016,2016-11-13,10,23.081,DEN,@,NOR,W 25-23,,0,0,,0,0,0,,0,0,,,3,124,41.33,0
11,2016,2016-11-27,11,23.095,DEN,,KAN,L 27-30,,0,0,,0,0,0,,0,0,,,6,271,45.17,0
12,2016,2016-12-04,12,23.102,DEN,@,JAX,W 20-10,,0,0,,0,0,0,,0,0,,,11,506,46.00,0
13,2016,2016-12-11,13,23.109,DEN,@,TEN,L 10-13,,1,1,100.00,16,0,0,118.7,0,0,16.00,16.00,5,207,41.40,0
14,2016,2016-12-18,14,23.116,DEN,,NWE,L 3-16,,0,0,,0,0,0,,0,0,,,7,325,46.43,0
15,2016,2016-12-25,15,23.123,DEN,@,KAN,L 10-33,,0,0,,0,0,0,,0,0,,,7,326,46.57,0
16,2016,2017-01-01,16,23.130,DEN,,OAK,W 24-6,,0,0,,0,0,0,,0,0,,,5,224,44.80,0
17,2017,2017-09-11,1,24.018,DEN,,LAC,W 24-21,,0,0,,0,0,0,,0,0,,,3,144,48.00,0
18,2017,2017-09-17,2,24.024,DEN,,DAL,W 42-17,,0,0,,0,0,0,,0,0,,,3,129,43.00,0
19,2017,2017-09-24,3,24.031,DEN,@,BUF,L 16-26,,0,0,,0,0,0,,0,0,,,3,125,41.67,0
20,2017,2017-10-01,4,24.038,DEN,,OAK,W 16-10,,0,0,,0,0,0,,0,0,,,6,271,45.17,0
21,2017,2017-10-15,5,24.052,DEN,,NYG,L 10-23,,0,0,,0,0,0,,0,0,,,3,153,51.00,0
22,2017,2017-10-22,6,24.059,DEN,@,LAC,L 0-21,,0,0,,0,0,0,,0,0,,,8,349,43.63,0
23,2017,2017-10-30,7,24.067,DEN,@,KAN,L 19-29,,0,0,,0,0,0,,0,0,,,4,162,40.50,0
24,2017,2017-11-05,8,24.073,DEN,@,PHI,L 23-51,,0,0,,0,0,0,,0,0,,,6,302,50.33,0
25,2017,2017-11-12,9,24.080,DEN,,NWE,L 16-41,,0,0,,0,0,0,,0,0,,,2,95,47.50,1
26,2017,2017-11-19,10,24.087,DEN,,CIN,L 17-20,,0,0,,0,0,0,,0,0,,,5,222,44.40,0
27,2017,2017-11-26,11,24.094,DEN,@,OAK,L 14-21,,0,0,,0,0,0,,0,0,,,8,362,45.25,0
28,2017,2017-12-03,12,24.101,DEN,@,MIA,L 9-35,,0,0,,0,0,0,,0,0,,,7,340,48.57,1
29,2017,2017-12-10,13,24.108,DEN,,NYJ,W 23-0,,0,0,,0,0,0,,0,0,,,5,247,49.40,0
30,2017,2017-12-14,14,24.112,DEN,@,IND,W 25-13,,0,0,,0,0,0,,0,0,,,1,52,52.00,0
31,2017,2017-12-24,15,24.122,DEN,@,WAS,L 11-27,,0,0,,0,0,0,,0,0,,,5,221,44.20,0
32,2017,2017-12-31,16,24.129,DEN,,KAN,L 24-27,,0,0,,0,0,0,,0,0,,,4,157,39.25,0
33,2018,2018-09-09,1,25.016,NYG,,JAX,L 15-20,,0,0,,0,0,0,,0,0,,,5,247,49.40,0
34,2018,2018-09-16,2,25.023,NYG,@,DAL,L 13-20,,0,0,,0,0,0,,0,0,,,6,260,43.33,0
35,2018,2018-09-23,3,25.030,NYG,@,HOU,W 27-22,,0,0,,0,0,0,,0,0,,,4,198,49.50,0
