ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2002,2002-09-08,1,23.322,DET,@,MIA,L 21-49,,4,11,36.36,41,0,0,47.9,0,0,3.73,3.73,0,0,,0,0,0,0,,0,0.0%,
2,2002,2002-09-15,2,23.329,DET,@,CAR,L 7-31,,3,7,42.86,11,0,1,10.7,0,0,1.57,-4.86,0,0,,0,0,0,0,,0,0.0%,
3,2002,2002-09-22,3,23.336,DET,,GNB,L 31-37,*,15,35,42.86,182,2,4,38.9,1,6,5.20,1.20,0,0,,0,0,0,0,,0,0.0%,
4,2002,2002-09-29,4,23.343,DET,,NOR,W 26-21,*,20,35,57.14,267,1,0,91.0,0,0,7.63,8.20,2,-3,-1.50,0,0,0,0,,0,0.0%,
5,2002,2002-10-13,5,23.357,DET,@,MIN,L 24-31,*,25,41,60.98,309,2,1,90.4,1,8,7.54,7.41,1,0,0.00,0,0,0,0,,0,0.0%,
6,2002,2002-10-20,6,23.364,DET,,CHI,W 23-20,*,16,29,55.17,199,0,0,76.7,2,29,6.86,6.86,2,7,3.50,0,0,0,0,,0,0.0%,
7,2002,2002-10-27,7,24.006,DET,@,BUF,L 17-24,*,20,42,47.62,199,1,1,59.5,0,0,4.74,4.14,0,0,,0,0,0,0,,0,0.0%,
8,2002,2002-11-03,8,24.013,DET,,DAL,W 9-7,*,14,33,42.42,104,0,2,25.3,1,8,3.15,0.42,0,0,,0,0,0,0,,0,0.0%,
9,2002,2002-11-10,9,24.020,DET,@,GNB,L 14-40,*,20,44,45.45,236,2,2,58.5,0,0,5.36,4.23,1,0,0.00,0,0,0,0,,0,0.0%,
10,2002,2002-11-17,10,24.027,DET,,NYJ,L 14-31,*,15,30,50.00,171,2,1,75.8,0,0,5.70,5.53,0,0,,0,0,0,0,,0,0.0%,
11,2002,2002-11-24,11,24.034,DET,@,CHI,L 17-20,*,21,40,52.50,213,1,1,65.9,2,14,5.33,4.70,1,0,0.00,0,0,0,0,,0,0.0%,
12,2002,2002-11-28,12,24.038,DET,,NWE,L 12-20,*,22,44,50.00,210,0,3,35.2,0,0,4.77,1.70,0,0,,0,0,0,0,,0,0.0%,
13,2002,2002-12-08,13,24.048,DET,@,ARI,L 20-23,*,20,37,54.05,152,1,0,73.3,0,0,4.11,4.65,0,0,,0,0,0,0,,0,0.0%,
14,2002,2002-12-15,14,24.055,DET,,TAM,L 20-23,*,0,1,0.00,0,0,0,39.6,1,10,0.00,0.00,0,0,,0,0,0,0,,0,0.0%,
15,2003,2003-09-07,1,24.321,DET,,ARI,W 42-24,*,17,30,56.67,195,4,0,116.0,,,6.50,9.17,1,-1,-1.00,0,0,0,0,,0,0.0%,
16,2003,2003-09-14,2,24.328,DET,@,GNB,L 6-31,*,26,55,47.27,241,0,3,37.0,,4,4.38,1.93,0,0,,0,1,1,8,8.00,0,100.0%,8.00
17,2003,2003-09-21,3,24.335,DET,,MIN,L 13-23,*,24,42,57.14,235,0,3,43.3,,1,5.60,2.38,3,19,6.33,0,0,0,0,,0,0.0%,
18,2003,2003-09-28,4,24.342,DET,@,DEN,L 16-20,*,15,33,45.45,149,2,0,79.0,,8,4.52,5.73,3,10,3.33,0,0,0,0,,0,0.0%,
19,2003,2003-10-05,5,24.349,DET,@,SFO,L 17-24,*,19,35,54.29,200,1,2,56.8,,,5.71,3.71,0,0,,0,0,0,0,,0,0.0%,
20,2003,2003-10-19,6,24.363,DET,,DAL,L 7-38,*,5,13,38.46,30,0,2,7.1,,7,2.31,-4.62,0,0,,0,0,0,0,,0,0.0%,
21,2003,2003-10-26,7,25.005,DET,@,CHI,L 16-24,*,23,40,57.50,180,1,2,56.2,,,4.50,2.75,1,-6,-6.00,0,0,0,0,,0,0.0%,
22,2003,2003-11-02,8,25.012,DET,,OAK,W 23-13,*,13,21,61.90,117,1,1,72.9,,,5.57,4.38,4,7,1.75,0,0,0,0,,0,0.0%,
23,2003,2003-11-09,9,25.019,DET,,CHI,W 12-10,*,24,38,63.16,238,0,0,80.8,,7,6.26,6.26,2,-2,-1.00,0,0,0,0,,0,0.0%,
24,2003,2003-11-16,10,25.026,DET,@,SEA,L 14-35,*,26,48,54.17,285,2,2,68.5,,9,5.94,4.90,3,3,1.00,0,0,0,0,,0,0.0%,
25,2003,2003-11-23,11,25.033,DET,@,MIN,L 14-24,*,21,41,51.22,167,1,4,30.3,,,4.07,0.17,2,34,17.00,0,0,0,0,,0,0.0%,
26,2003,2003-11-27,12,25.037,DET,,GNB,W 22-14,*,21,32,65.63,183,0,1,67.6,,11,5.72,4.31,6,2,0.33,0,0,0,0,,0,0.0%,
27,2003,2003-12-07,13,25.047,DET,,SDG,L 7-14,*,26,46,56.52,208,1,0,75.3,,,4.52,4.96,3,20,6.67,0,0,0,0,,0,0.0%,
28,2003,2003-12-14,14,25.054,DET,@,KAN,L 17-45,*,20,36,55.56,197,1,1,68.9,,,5.47,4.78,0,0,,0,0,0,0,,0,0.0%,
29,2003,2003-12-21,15,25.061,DET,@,CAR,L 14-20,*,3,8,37.50,17,0,0,45.8,,,2.13,2.13,0,0,,0,0,0,0,,0,0.0%,
