ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,22.324,PIT,,TEN,W 34-7,*,1,1,3,3.00,1,100.0%,3.00,0,0,,0,,1,6,0.0,,
2,2005,2005-09-18,2,22.331,PIT,@,HOU,W 27-7,*,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
3,2005,2005-09-25,3,22.338,PIT,,NWE,L 20-23,*,2,1,13,13.00,0,50.0%,6.50,0,0,,0,,0,0,0.0,,
4,2005,2005-10-10,4,22.353,PIT,@,SDG,W 24-22,,6,4,36,9.00,1,66.7%,6.00,0,0,,0,,1,6,0.0,,
5,2005,2005-10-16,5,22.359,PIT,,JAX,L 17-23,*,6,4,72,18.00,1,66.7%,12.00,0,0,,0,,1,6,0.0,,
6,2005,2005-10-23,6,23.001,PIT,@,CIN,W 27-13,*,6,6,58,9.67,1,100.0%,9.67,0,0,,0,,1,6,0.0,,
7,2005,2005-10-31,7,23.009,PIT,,BAL,W 20-19,*,4,3,18,6.00,2,75.0%,4.50,0,0,,0,,2,12,0.0,,
8,2005,2005-11-06,8,23.015,PIT,@,GNB,W 20-10,*,2,2,11,5.50,0,100.0%,5.50,0,0,,0,,0,0,0.0,,
9,2005,2005-11-13,9,23.022,PIT,,CLE,W 34-21,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
10,2005,2005-11-20,10,23.029,PIT,@,BAL,L 13-16,*,6,5,37,7.40,0,83.3%,6.17,0,0,,0,,0,0,0.0,,
11,2005,2005-11-28,11,23.037,PIT,@,IND,L 7-26,*,5,4,26,6.50,0,80.0%,5.20,0,0,,0,,0,0,0.0,,
12,2005,2005-12-04,12,23.043,PIT,,CIN,L 31-38,*,3,3,44,14.67,0,100.0%,14.67,0,0,,0,,0,0,0.0,,
13,2005,2005-12-11,13,23.050,PIT,,CHI,W 21-9,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
14,2005,2005-12-18,14,23.057,PIT,@,MIN,W 18-3,*,3,2,58,29.00,0,66.7%,19.33,0,0,,0,,0,0,0.0,,
15,2005,2005-12-24,15,23.063,PIT,@,CLE,W 41-0,*,1,1,21,21.00,0,100.0%,21.00,0,0,,0,,0,0,0.0,,
16,2005,2006-01-01,16,23.071,PIT,,DET,W 35-21,*,5,3,62,20.67,0,60.0%,12.40,0,0,,0,,0,0,0.0,,
17,2006,2006-09-07,1,23.320,PIT,,MIA,W 28-17,*,3,3,101,33.67,1,100.0%,33.67,0,0,,0,,1,6,0.0,,
18,2006,2006-09-18,2,23.331,PIT,@,JAX,L 0-9,*,3,1,11,11.00,0,33.3%,3.67,0,0,,0,,0,0,0.0,,
19,2006,2006-09-24,3,23.337,PIT,,CIN,L 20-28,*,4,3,34,11.33,0,75.0%,8.50,0,0,,0,,0,0,0.0,,
20,2006,2006-10-08,4,23.351,PIT,@,SDG,L 13-23,*,3,2,22,11.00,0,66.7%,7.33,0,0,,0,,0,0,0.0,,
21,2006,2006-10-15,5,23.358,PIT,,KAN,W 45-7,*,1,1,16,16.00,0,100.0%,16.00,0,0,,0,,0,0,0.0,,
22,2006,2006-10-22,6,24.000,PIT,@,ATL,L 38-41,*,4,2,4,2.00,1,50.0%,1.00,0,0,,0,,1,6,0.0,,
23,2006,2006-10-29,7,24.007,PIT,@,OAK,L 13-20,*,4,2,10,5.00,0,50.0%,2.50,0,0,,0,,0,0,0.0,,
24,2006,2006-11-05,8,24.014,PIT,,DEN,L 20-31,*,6,5,34,6.80,0,83.3%,5.67,0,0,,0,,0,0,0.0,,
25,2006,2006-11-12,9,24.021,PIT,,NOR,W 38-31,*,5,3,30,10.00,1,60.0%,6.00,0,0,,0,,1,6,0.0,,
