ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1959,1959-11-01,6,22.030,WAS,@,PHI,L 23-30,5,26,5.20,0,0,0,,0,,,,,,,,,0,,,,
2,1959,1959-11-29,10,22.058,WAS,@,NYG,L 14-45,1,1,1.00,0,0,0,,0,,,,,,,,,0,,,,
3,1959,1959-12-06,11,22.065,WAS,,PHI,L 14-34,7,21,3.00,0,1,8,8.00,0,,,,,,,,,0,,,,
4,1959,1959-12-13,12,22.072,WAS,,NYG,L 10-24,1,3,3.00,1,1,6,6.00,0,,,,,,,,,1,,,,
5,1960,1960-11-27,9,23.056,WAS,@,PIT,L 10-22,0,0,,0,2,10,5.00,0,0,0,,0,0,0,,0,0,0,0,0,0
6,1960,1960-12-04,10,23.063,WAS,@,CLE,L 16-27,0,0,,0,1,11,11.00,0,0,0,,0,0,0,,0,0,0,0,0,0
7,1961,1961-09-24,2,23.357,MIN,@,DAL,L 7-21,0,0,,0,2,21,10.50,0,0,0,,0,0,0,,0,0,0,0,0,0
8,1961,1961-10-22,6,24.020,MIN,,GNB,L 7-33,0,0,,0,1,22,22.00,0,0,0,,0,0,0,,0,0,0,0,0,0
9,1961,1961-10-29,7,24.027,PIT,,SFO,W 20-10,0,0,,0,0,0,,0,2,49,24.50,0,0,0,,0,0,0,0,0,0
10,1961,1961-11-05,8,24.034,PIT,@,CLE,W 17-13,0,0,,0,0,0,,0,3,90,30.00,0,0,0,,0,0,0,0,0,0
11,1961,1961-11-12,9,24.041,PIT,,DAL,W 37-7,0,0,,0,0,0,,0,2,37,18.50,0,0,0,,0,0,0,0,0,0
12,1961,1961-11-19,10,24.048,PIT,@,NYG,L 21-42,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
13,1961,1961-11-26,11,24.055,PIT,,STL,W 30-27,0,0,,0,0,0,,0,2,37,18.50,0,0,0,,0,0,0,0,0,0
14,1961,1961-12-03,12,24.062,PIT,,PHI,L 24-35,0,0,,0,0,0,,0,2,44,22.00,0,0,0,,0,0,0,0,0,0
15,1961,1961-12-10,13,24.069,PIT,@,WAS,W 30-14,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0,0,0
16,1961,1961-12-17,14,24.076,PIT,@,STL,L 0-20,0,0,,0,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0,0,0
17,1962,1962-09-23,2,24.356,PIT,@,DAL,W 30-28,0,0,,0,0,0,,0,1,14,14.00,0,0,0,,0,0,0,0,0,0
18,1962,1962-09-30,3,24.363,PIT,,NYG,L 27-31,0,0,,0,0,0,,0,1,10,10.00,0,0,0,,0,0,0,0,0,0
19,1962,1962-10-14,5,25.012,PIT,@,NYG,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,3,0
20,1962,1962-11-04,8,25.033,PIT,,MIN,W 39-31,0,0,,0,0,0,,0,2,42,21.00,0,1,13,13.00,0,0,0,0,0,0
21,1962,1962-11-25,11,25.054,PIT,@,CLE,L 14-35,0,0,,0,0,0,,0,2,33,16.50,0,0,0,,0,0,0,0,0,0
22,1962,1962-12-02,12,25.061,PIT,,STL,W 19-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,2,0
23,1962,1962-12-09,13,25.068,PIT,@,PHI,W 26-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,3,0
24,1962,1962-12-16,14,25.075,PIT,@,WAS,W 27-24,0,0,,0,0,0,,0,1,6,6.00,0,0,0,,0,0,0,1,18,0
25,1963,1963-09-15,1,25.348,PIT,@,PHI,T 21-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,4,0
26,1963,1963-09-22,2,25.355,PIT,,NYG,W 31-0,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
27,1963,1963-09-29,3,25.362,PIT,,STL,W 23-10,0,0,,0,0,0,,0,0,0,,0,1,9,9.00,0,0,0,0,0,0
28,1963,1963-10-20,6,26.018,PIT,,WAS,W 38-27,0,0,,0,0,0,,0,0,0,,0,1,5,5.00,0,1,6,2,24,1
29,1963,1963-10-27,7,26.025,PIT,,DAL,W 27-21,0,0,,0,0,0,,0,0,0,,0,1,7,7.00,0,0,0,1,0,0
30,1963,1963-11-17,10,26.046,PIT,@,WAS,W 34-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
31,1963,1963-11-24,11,26.053,PIT,,CHI,T 17-17,0,0,,0,0,0,,0,0,0,,0,2,10,5.00,0,0,0,1,37,0
32,1963,1963-12-01,12,26.060,PIT,,PHI,T 20-20,0,0,,0,0,0,,0,0,0,,0,2,13,6.50,0,0,0,0,0,0
33,1963,1963-12-08,13,26.067,PIT,@,DAL,W 24-19,0,0,,0,0,0,,0,0,0,,0,2,10,5.00,0,0,0,0,0,0
34,1963,1963-12-15,14,26.074,PIT,@,NYG,L 17-33,0,0,,0,0,0,,0,0,0,,0,2,5,2.50,0,0,0,0,0,0
35,1964,1964-11-29,12,27.058,PIT,,STL,L 20-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,2,11,0
