ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-11-09,9,23.133,BAL,@,HOU,W 41-13,,,,,1,1,100.0,0,3,0.0,0,0
2,2008,2008-11-23,11,23.147,BAL,,PHI,W 36-7,,,,,,1,0.0,0,0,0.0,0,0
3,2009,2009-09-13,1,24.076,BAL,,KAN,W 38-24,,5,5,100.0,1,2,50.0,0,8,0.0,0,0
4,2009,2009-09-20,2,24.083,BAL,@,SDG,W 31-26,,4,4,100.0,1,1,100.0,0,7,0.0,0,0
5,2009,2009-09-27,3,24.090,BAL,,CLE,W 34-3,,4,4,100.0,2,2,100.0,0,10,0.0,0,0
6,2009,2009-10-04,4,24.097,BAL,@,NWE,L 21-27,,3,3,100.0,,,,0,3,0.0,0,0
7,2009,2009-10-11,5,24.104,BAL,,CIN,L 14-17,,2,2,100.0,,,,0,2,0.0,0,0
8,2009,2009-10-18,6,24.111,BAL,@,MIN,L 31-33,,4,4,100.0,1,2,50.0,0,7,0.0,0,0
9,2009,2009-11-01,7,24.125,BAL,,DEN,W 30-7,,3,3,100.0,3,3,100.0,0,12,0.0,0,0
10,2009,2009-11-08,8,24.132,BAL,@,CIN,L 7-17,,1,1,100.0,,1,0.0,0,1,0.0,0,0
11,2009,2009-11-16,9,24.140,BAL,@,CLE,W 16-0,,1,2,50.0,1,2,50.0,0,4,0.0,0,0
12,2009,2009-11-22,10,24.146,BAL,,IND,L 15-17,,,,,,,,,,,,
13,2009,2009-11-29,11,24.153,BAL,,PIT,W 20-17,,,,,,,,,,,,
14,2009,2009-12-07,12,24.161,BAL,@,GNB,L 14-27,,,,,,,,,,,,
15,2009,2009-12-13,13,24.167,BAL,,DET,W 48-3,,,,,,,,,,,,
16,2009,2009-12-20,14,24.174,BAL,,CHI,W 31-7,,,,,,,,,,,,
17,2009,2009-12-27,15,24.181,BAL,@,PIT,L 20-23,,,,,,,,,,,,
18,2009,2010-01-03,16,24.188,BAL,@,OAK,W 21-13,,,,,,,,,,,,
19,2010,2010-12-12,13,25.166,DEN,@,ARI,L 13-43,,1,1,100.0,2,3,66.7,0,7,0.0,0,0
20,2010,2010-12-19,14,25.173,DEN,@,OAK,L 23-39,,2,2,100.0,3,3,100.0,0,11,0.0,0,0
21,2010,2010-12-26,15,25.180,DEN,,HOU,W 24-23,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
22,2010,2011-01-02,16,25.187,DEN,,SDG,L 28-33,,4,4,100.0,,,,0,4,0.0,0,0
23,2011,2011-09-11,1,26.074,SEA,@,SFO,L 17-33,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
24,2011,2011-09-18,2,26.081,SEA,@,PIT,L 0-24,,,,,,,,,,,,
25,2011,2011-09-25,3,26.088,SEA,,ARI,W 13-10,,1,1,100.0,2,2,100.0,0,7,0.0,0,1
26,2011,2011-10-02,4,26.095,SEA,,ATL,L 28-30,,4,4,100.0,,1,0.0,0,4,0.0,0,0
27,2011,2011-10-09,5,26.102,SEA,@,NYG,W 36-25,,4,4,100.0,2,2,100.0,0,10,0.0,0,0
28,2011,2011-10-23,6,26.116,SEA,@,CLE,L 3-6,,,,,1,1,100.0,0,3,0.0,0,0
29,2011,2011-10-30,7,26.123,SEA,,CIN,L 12-34,,,,,2,2,100.0,0,6,0.0,0,0
30,2011,2011-11-06,8,26.130,SEA,@,DAL,L 13-23,,1,1,100.0,2,3,66.7,0,7,0.0,0,0
31,2011,2011-11-13,9,26.137,SEA,,BAL,W 22-17,,1,1,100.0,5,5,100.0,0,16,0.0,0,0
32,2011,2011-11-20,10,26.144,SEA,@,STL,W 24-7,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
33,2011,2011-11-27,11,26.151,SEA,,WAS,L 17-23,,2,2,100.0,1,2,50.0,0,5,0.0,0,0
34,2011,2011-12-01,12,26.155,SEA,,PHI,W 31-14,,4,4,100.0,1,1,100.0,0,7,0.0,0,0
35,2011,2011-12-12,13,26.166,SEA,,STL,W 30-13,,3,3,100.0,3,4,75.0,0,12,0.0,0,0
36,2011,2011-12-18,14,26.172,SEA,@,CHI,W 38-14,,5,5,100.0,1,1,100.0,0,8,0.0,0,0
