ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-10-14,5,22.263,DAL,@,BAL,L 29-31,,1,11,11.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2012,2012-10-21,6,22.270,DAL,@,CAR,W 19-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2012,2012-10-28,7,22.277,DAL,,NYG,L 24-29,,0,0,,0,0,0,0,,0,0.0%,,6,142,23.67,0,0,0,,0,0,0,0.0,0,0
4,2012,2012-11-04,8,22.284,DAL,@,ATL,L 13-19,,8,26,3.25,0,2,0,0,,0,0.0%,0.00,3,73,24.33,0,0,0,,0,0,0,0.0,0,0
5,2012,2012-11-11,9,22.291,DAL,@,PHI,W 38-23,,6,20,3.33,0,0,0,0,,0,0.0%,,1,17,17.00,0,0,0,,0,0,0,0.0,0,0
6,2012,2012-11-18,10,22.298,DAL,,CLE,W 23-20,,5,10,2.00,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2012,2012-11-22,11,22.302,DAL,,WAS,L 31-38,,1,8,8.00,0,6,3,21,7.00,0,50.0%,3.50,2,29,14.50,0,0,0,,0,0,0,0.0,0,0
8,2012,2012-12-02,12,22.312,DAL,,PHI,W 38-33,,,,,,,,,,,0.0%,,,,,,,,,,,,,,
9,2012,2012-12-09,13,22.319,DAL,@,CIN,W 20-19,,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2012,2012-12-16,14,22.326,DAL,,PIT,W 27-24,,,,,,,,,,,0.0%,,,,,,,,,,,,,,
11,2012,2012-12-23,15,22.333,DAL,,NOR,L 31-34,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
12,2012,2012-12-30,16,22.340,DAL,@,WAS,L 18-28,,,,,,,,,,,0.0%,,,,,,,,,,,,,,
13,2013,2013-09-15,2,23.233,DAL,@,KAN,L 16-17,,1,12,12.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2013,2013-09-22,3,23.240,DAL,,STL,W 31-7,,5,19,3.80,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
15,2013,2013-09-29,4,23.247,DAL,@,SDG,L 21-30,,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2013,2013-10-06,5,23.254,DAL,,DEN,L 48-51,,0,0,,0,0,0,0,,0,0.0%,,1,28,28.00,0,0,0,,0,0,0,0.0,0,0
17,2013,2013-10-27,8,23.275,DAL,@,DET,L 30-31,,5,16,3.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2013,2013-11-03,9,23.282,DAL,,MIN,W 27-23,,3,-6,-2.00,0,3,3,17,5.67,0,100.0%,5.67,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2013,2013-11-10,10,23.289,DAL,@,NOR,L 17-49,,,,,,,,,,,0.0%,,,,,,,,,,,,,,
20,2013,2013-11-24,11,23.303,DAL,@,NYG,W 24-21,,3,20,6.67,0,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2013,2013-11-28,12,23.307,DAL,,OAK,W 31-24,,12,82,6.83,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,0.0,0,0
