ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2008,2008-09-07,1,23.108,BAL,,CIN,W 17-10,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
2,2008,2008-09-21,2,23.122,BAL,,CLE,W 28-10,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
3,2008,2008-09-29,3,23.130,BAL,@,PIT,L 20-23,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
4,2008,2008-10-05,4,23.136,BAL,,TEN,L 10-13,,,,,,,,,,,,,,,
5,2008,2008-10-12,5,23.143,BAL,@,IND,L 3-31,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
6,2008,2008-10-19,6,23.150,BAL,@,MIA,W 27-13,,0,0,,0,0,0,,0,0.0,1,1,0,0,0
7,2008,2008-10-26,7,23.157,BAL,,OAK,W 29-10,,,,,,,,,,,,,,,
8,2008,2008-11-02,8,23.164,BAL,@,CLE,W 37-27,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
9,2008,2008-11-09,9,23.171,BAL,@,HOU,W 41-13,,,,,,,,,,,,,,,
10,2008,2008-11-16,10,23.178,BAL,@,NYG,L 10-30,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
11,2008,2008-11-23,11,23.185,BAL,,PHI,W 36-7,,,,,,,,,,,,,,,
12,2008,2008-11-30,12,23.192,BAL,@,CIN,W 34-3,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
13,2008,2008-12-07,13,23.199,BAL,,WAS,W 24-10,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
14,2008,2008-12-14,14,23.206,BAL,,PIT,L 9-13,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
15,2008,2008-12-20,15,23.212,BAL,@,DAL,W 33-24,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
16,2008,2008-12-28,16,23.220,BAL,,JAX,W 27-7,,2,48,24.00,0,0,0,,0,0.0,0,0,0,0,0
17,2009,2009-09-13,1,24.114,BAL,,KAN,W 38-24,,,,,,,,,,,,,,,
18,2009,2009-09-27,3,24.128,BAL,,CLE,W 34-3,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
19,2009,2009-10-04,4,24.135,BAL,@,NWE,L 21-27,,0,0,,0,0,0,,0,0.0,1,1,0,0,0
20,2009,2009-10-11,5,24.142,BAL,,CIN,L 14-17,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
21,2009,2009-10-18,6,24.149,BAL,@,MIN,L 31-33,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
22,2009,2009-11-01,7,24.163,BAL,,DEN,W 30-7,,,,,,,,,,,,,,,
23,2009,2009-11-08,8,24.170,BAL,@,CIN,L 7-17,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
24,2009,2009-11-16,9,24.178,BAL,@,CLE,W 16-0,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
25,2009,2009-11-22,10,24.184,BAL,,IND,L 15-17,,,,,,,,,,,,,,,
26,2009,2009-11-29,11,24.191,BAL,,PIT,W 20-17,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
27,2009,2009-12-07,12,24.199,BAL,@,GNB,L 14-27,*,0,0,,0,0,0,,0,0.0,3,1,1,-8,0
