ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks
1,2000,2000-09-03,1,23.070,KAN,,IND,L 14-27,,,,,,
2,2000,2000-09-10,2,23.077,KAN,@,TEN,L 14-17,,,,,,
3,2000,2000-09-17,3,23.084,KAN,,SDG,W 42-10,,,,,,
4,2000,2000-09-24,4,23.091,KAN,@,DEN,W 23-22,,,,,,
5,2000,2000-10-02,5,23.099,KAN,,SEA,W 24-17,,,,,,
6,2000,2000-10-15,6,23.112,KAN,,OAK,L 17-20,,0,0,,0,1.0
7,2000,2000-10-22,7,23.119,KAN,,STL,W 54-34,*,,,,,
8,2000,2000-10-29,8,23.126,KAN,@,SEA,W 24-19,,,,,,
9,2000,2000-11-05,9,23.133,KAN,@,OAK,L 31-49,,,,,,
10,2000,2000-11-12,10,23.140,KAN,@,SFO,L 7-21,,,,,,
11,2000,2000-11-19,11,23.147,KAN,,BUF,L 17-21,,,,,,
12,2000,2000-11-26,12,23.154,KAN,@,SDG,L 16-17,,,,,,
13,2000,2000-12-04,13,23.162,KAN,@,NWE,L 24-30,,,,,,
14,2000,2000-12-10,14,23.168,KAN,,CAR,W 15-14,*,,,,,
15,2000,2000-12-17,15,23.175,KAN,,DEN,W 20-7,,,,,,
16,2000,2000-12-24,16,23.182,KAN,@,ATL,L 13-29,,,,,,
17,2001,2001-09-09,1,24.076,KAN,,OAK,L 24-27,,,,,,
18,2001,2001-09-23,2,24.090,KAN,,NYG,L 3-13,,,,,,
19,2001,2001-09-30,3,24.097,KAN,@,WAS,W 45-13,,,,,,
20,2001,2001-10-07,4,24.104,KAN,@,DEN,L 6-20,,,,,,
21,2001,2001-10-14,5,24.111,KAN,,PIT,L 17-20,,,,,,
22,2001,2001-10-21,6,24.118,KAN,@,ARI,L 16-24,*,,,,,
23,2001,2001-10-25,7,24.122,KAN,,IND,L 28-35,*,,,,,
24,2001,2001-11-04,8,24.132,KAN,@,SDG,W 25-20,*,,,,,
25,2001,2001-11-11,9,24.139,KAN,@,NYJ,L 7-27,,,,,,
26,2001,2001-11-25,10,24.153,KAN,,SEA,W 19-7,*,,,,,
27,2001,2001-11-29,11,24.157,KAN,,PHI,L 10-23,,,,,,
28,2001,2001-12-09,12,24.167,KAN,@,OAK,L 26-28,*,,,,,
29,2001,2001-12-16,13,24.174,KAN,,DEN,W 26-23,,,,,,
30,2001,2001-12-23,14,24.181,KAN,,SDG,W 20-17,,,,,,
31,2001,2001-12-30,15,24.188,KAN,@,JAX,W 30-26,,0,0,,0,1.0
32,2001,2002-01-06,16,24.195,KAN,@,SEA,L 18-21,,,,,,
