ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1987,1987-09-13,1,22.334,KAN,,SDG,W 20-13,2,6,3.00,0,0,0,,0,0,0,,0,0,0,,0,,,,3,115,38.33,1,1,6
2,1987,1987-09-20,2,22.341,KAN,@,SEA,L 14-43,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,9,221,24.56,0,0,0
3,1987,1987-10-25,6,23.011,KAN,@,SDG,L 21-42,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,6,119,19.83,0,0,0
4,1987,1987-11-01,7,23.018,KAN,@,CHI,L 28-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,2,48,24.00,0,0,0
5,1987,1987-11-08,8,23.025,KAN,,PIT,L 16-17,3,18,6.00,0,0,0,,0,0,0,,0,0,0,,0,,,,3,61,20.33,0,0,0
6,1987,1987-11-15,9,23.032,KAN,,NYJ,L 9-16,2,22,11.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,4,81,20.25,0,0,0
7,1987,1987-11-22,10,23.039,KAN,,GNB,L 3-23,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,,,,1,25,25.00,0,0,0
8,1987,1987-11-26,11,23.043,KAN,@,DET,W 27-20,4,26,6.50,0,2,15,7.50,0,0,0,,0,0,0,,0,,,,2,27,13.50,0,0,0
9,1987,1987-12-06,12,23.053,KAN,@,CIN,L 27-30,5,41,8.20,0,1,9,9.00,0,0,0,,0,0,0,,0,,,,2,35,17.50,0,0,0
10,1987,1987-12-13,13,23.060,KAN,,RAI,W 16-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,2,43,21.50,0,0,0
11,1987,1987-12-19,14,23.066,KAN,@,DEN,L 17-20,2,8,4.00,0,0,0,,0,0,0,,0,0,0,,0,,,,1,15,15.00,0,0,0
12,1987,1987-12-27,15,23.074,KAN,,SEA,W 41-20,5,22,4.40,0,1,3,3.00,0,0,0,,0,0,0,,0,,,,3,133,44.33,1,1,6
13,1988,1988-09-04,1,23.326,KAN,,CLE,L 3-6,12,28,2.33,0,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
