ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1991,1991-09-01,1,23.217,DEN,,CIN,W 45-14,,1,1,1.00,1,,,0,0,,0,0,0,,0,1,6
2,1991,1991-09-08,2,23.224,DEN,@,RAI,L 13-16,,1,31,31.00,0,,,0,0,,0,0,0,,0,0,0
3,1991,1991-09-15,3,23.231,DEN,,SEA,W 16-10,,0,0,,0,,,,,,,,,,,,
4,1991,1991-09-22,4,23.238,DEN,,SDG,W 27-19,,0,0,,0,,,,,,,,,,,,
5,1991,1991-09-29,5,23.245,DEN,@,MIN,W 13-6,,0,0,,0,,,,,,,,,,,,
6,1991,1991-10-06,6,23.252,DEN,@,HOU,L 14-42,,1,6,6.00,0,,,0,0,,0,0,0,,0,0,0
7,1991,1991-10-20,7,23.266,DEN,,KAN,W 19-16,,0,0,,0,,,,,,,,,,,,
8,1991,1991-10-27,8,23.273,DEN,@,NWE,W 9-6,,0,0,,0,,,,,,,,,,,,
9,1991,1991-11-03,9,23.280,DEN,,PIT,W 20-13,,1,4,4.00,0,,,0,0,,0,0,0,,0,0,0
10,1991,1991-11-10,10,23.287,DEN,,RAI,L 16-17,,0,0,,0,,,,,,,,,,,,
11,1991,1991-11-17,11,23.294,DEN,@,KAN,W 24-20,,0,0,,0,,,,,,,,,,,,
12,1991,1991-11-24,12,23.301,DEN,@,SEA,L 10-13,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0
13,1991,1991-12-01,13,23.308,DEN,,NWE,W 20-3,,0,0,,0,,,,,,,,,,,,
14,1991,1991-12-08,14,23.315,DEN,@,CLE,W 17-7,,0,0,,0,,,,,,,,,,,,
15,1991,1991-12-15,15,23.322,DEN,,PHO,W 24-19,,1,22,22.00,0,,,0,0,,0,0,0,,0,0,0
16,1991,1991-12-22,16,23.329,DEN,@,SDG,W 17-14,,0,0,,0,,,,,,,,,,,,
17,1992,1992-09-13,2,24.230,DEN,,SDG,W 21-13,,0,0,,0,0.0%,,0,0,,0,1,34,34.00,0,0,0
18,1992,1992-09-20,3,24.237,DEN,@,PHI,L 0-30,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
19,1992,1992-09-27,4,24.244,DEN,@,CLE,W 12-0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
20,1992,1992-10-04,5,24.251,DEN,,KAN,W 20-19,1,1,48,48.00,0,100.0%,48.00,0,0,,0,0,0,,0,0,0
21,1992,1992-10-12,6,24.259,DEN,@,WAS,L 3-34,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
22,1992,1992-10-18,7,24.265,DEN,,HOU,W 27-21,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
23,1992,1992-10-25,8,24.272,DEN,@,SDG,L 21-24,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
24,1992,1992-11-08,9,24.286,DEN,,NYJ,W 27-16,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
25,1992,1992-11-15,10,24.293,DEN,,NYG,W 27-13,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
26,1992,1992-11-22,11,24.300,DEN,@,RAI,L 0-24,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0
27,1992,1992-11-30,12,24.308,DEN,@,SEA,L 13-16,2,2,43,21.50,0,100.0%,21.50,2,7,3.50,0,0,0,,0,0,0
28,1992,1992-12-06,13,24.314,DEN,,DAL,L 27-31,,0,0,,0,0.0%,,0,0,,0,1,13,13.00,0,0,0
29,1992,1992-12-12,14,24.320,DEN,@,BUF,L 17-27,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
30,1992,1992-12-20,15,24.328,DEN,,SEA,W 10-6,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0
31,1992,1992-12-27,16,24.335,DEN,@,KAN,L 20-42,5,4,31,7.75,1,80.0%,6.20,0,0,,0,0,0,,0,1,6
32,1993,1993-09-05,1,25.221,DEN,@,NYJ,W 26-20,6,4,70,17.50,0,66.7%,11.67,0,0,,0,0,0,,0,0,0
33,1993,1993-09-12,2,25.228,DEN,,SDG,W 34-17,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0
34,1993,1993-09-20,3,25.236,DEN,@,KAN,L 7-15,2,0,0,,0,0.0%,0.00,,,,,,,,,,
35,1993,1993-10-03,4,25.249,DEN,,IND,W 35-13,2,0,0,,0,0.0%,0.00,,,,,,,,,,
36,1993,1993-10-10,5,25.256,DEN,@,GNB,L 27-30,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0
37,1993,1993-10-18,6,25.264,DEN,,RAI,L 20-23,4,3,-4,-1.33,1,75.0%,-1.00,0,0,,0,0,0,,0,1,6
38,1993,1993-10-31,7,25.277,DEN,,SEA,W 28-17,5,2,41,20.50,0,40.0%,8.20,0,0,,0,0,0,,0,0,0
39,1993,1993-11-07,8,25.284,DEN,@,CLE,W 29-14,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0
40,1993,1993-11-14,9,25.291,DEN,,MIN,L 23-26,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0
41,1993,1993-11-21,10,25.298,DEN,,PIT,W 37-13,2,1,31,31.00,0,50.0%,15.50,0,0,,0,0,0,,0,0,0
42,1993,1993-12-12,13,25.319,DEN,,KAN,W 27-21,2,2,34,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0
43,1993,1993-12-18,14,25.325,DEN,@,CHI,W 13-3,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0
44,1993,1993-12-26,15,25.333,DEN,,TAM,L 10-17,3,2,8,4.00,0,66.7%,2.67,0,0,,0,0,0,,0,0,0
45,1994,1994-10-20,7,26.266,GNB,@,MIN,L 10-13,,0,0,,0,0.0%,,,,,,,,,,,
46,1994,1994-10-31,8,26.277,GNB,@,CHI,W 33-6,1,0,0,,0,0.0%,0.00,,,,,,,,,,
47,1994,1994-11-06,9,26.283,GNB,,DET,W 38-30,0,0,0,,0,0.0%,,,,,,,,,,,
48,1994,1994-11-13,10,26.290,GNB,,NYJ,W 17-10,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,0,0
49,1994,1994-11-20,11,26.297,GNB,@,BUF,L 20-29,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0
50,1994,1994-11-24,12,26.301,GNB,@,DAL,L 31-42,,0,0,,0,0.0%,,,,,,,,,,,
51,1994,1994-12-11,14,26.318,GNB,,CHI,W 40-3,3,2,31,15.50,0,66.7%,10.33,0,0,,0,0,0,,0,0,0
52,1994,1994-12-18,15,26.325,GNB,,ATL,W 21-17,1,0,0,,0,0.0%,0.00,,,,,,,,,,
