ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1974,1974-09-15,1,22.012,MIA,@,NWE,L 24-34,,,
2,1974,1974-09-22,2,22.019,MIA,@,BUF,W 24-16,,,
3,1974,1974-09-29,3,22.026,MIA,@,SDG,W 28-21,,,
4,1974,1974-10-07,4,22.034,MIA,,NYJ,W 21-17,,,
5,1974,1974-10-13,5,22.040,MIA,@,WAS,L 17-20,,,
6,1974,1974-10-20,6,22.047,MIA,,KAN,W 9-3,,,
7,1974,1974-10-27,7,22.054,MIA,,BAL,W 17-7,,,
8,1974,1974-11-03,8,22.061,MIA,,ATL,W 42-7,,,
9,1974,1974-11-10,9,22.068,MIA,@,NOR,W 21-0,,,
10,1974,1974-11-17,10,22.075,MIA,,BUF,W 35-28,,,
11,1974,1974-11-24,11,22.082,MIA,@,NYJ,L 14-17,,,
12,1974,1974-12-02,12,22.090,MIA,,CIN,W 24-3,,,
13,1974,1974-12-08,13,22.096,MIA,@,BAL,W 17-16,,,
14,1974,1974-12-15,14,22.103,MIA,,NWE,W 34-27,,,
15,1975,1975-09-22,1,23.019,MIA,,OAK,L 21-31,,,
16,1975,1975-09-28,2,23.025,MIA,@,NWE,W 22-14,,,
17,1975,1975-10-05,3,23.032,MIA,@,GNB,W 31-7,,,
18,1975,1975-10-12,4,23.039,MIA,,PHI,W 24-16,,,
19,1975,1975-10-19,5,23.046,MIA,@,NYJ,W 43-0,,,
20,1975,1975-10-26,6,23.053,MIA,@,BUF,W 35-30,,,
21,1975,1975-11-02,7,23.060,MIA,@,CHI,W 46-13,,,
22,1975,1975-11-09,8,23.067,MIA,,NYJ,W 27-7,,,
23,1975,1975-11-16,9,23.074,MIA,@,HOU,L 19-20,,,
24,1975,1975-11-23,10,23.081,MIA,,BAL,L 17-33,,,
25,1975,1975-12-01,11,23.089,MIA,,NWE,W 20-7,,,
26,1975,1975-12-07,12,23.095,MIA,,BUF,W 31-21,,,
27,1975,1975-12-14,13,23.102,MIA,@,BAL,L 7-10,,,
28,1975,1975-12-20,14,23.108,MIA,,DEN,W 14-13,,,
29,1976,1976-09-13,1,24.010,MIA,@,BUF,W 30-21,,,
30,1976,1976-09-19,2,24.016,MIA,@,NWE,L 14-30,,,
31,1976,1976-09-26,3,24.023,MIA,,NYJ,W 16-0,,,
32,1976,1976-10-03,4,24.030,MIA,,RAM,L 28-31,,,
33,1976,1976-10-10,5,24.037,MIA,@,BAL,L 14-28,,,
34,1976,1976-10-17,6,24.044,MIA,,KAN,L 17-20,,,
35,1976,1976-10-24,7,24.051,MIA,@,TAM,W 23-20,,,
36,1976,1976-10-31,8,24.058,MIA,,NWE,W 10-3,,,
37,1976,1976-11-07,9,24.065,MIA,@,NYJ,W 27-7,,,
38,1976,1976-11-14,10,24.072,MIA,@,PIT,L 3-14,,,
39,1976,1976-11-22,11,24.080,MIA,,BAL,L 16-17,,,
40,1976,1976-11-28,12,24.086,MIA,@,CLE,L 13-17,2,4,0
41,1976,1976-12-05,13,24.093,MIA,,BUF,W 45-27,,,
42,1976,1976-12-11,14,24.099,MIA,,MIN,L 7-29,,,
43,1977,1977-09-18,1,25.015,TAM,@,PHI,L 3-13,,,
44,1977,1977-09-24,2,25.021,TAM,,MIN,L 3-9,1,3,0
45,1977,1977-10-02,3,25.029,TAM,@,DAL,L 7-23,,,
46,1977,1977-10-09,4,25.036,TAM,,WAS,L 0-10,,,
47,1977,1977-10-16,5,25.043,TAM,@,SEA,L 23-30,1,26,0
48,1977,1977-10-23,6,25.050,TAM,,GNB,L 0-13,,,
49,1977,1977-10-30,7,25.057,TAM,@,SFO,L 10-20,,,
50,1977,1977-11-06,8,25.064,TAM,@,RAM,L 0-31,,,
51,1977,1977-11-13,9,25.071,TAM,,NYG,L 0-10,,,
52,1977,1977-11-20,10,25.078,TAM,@,DET,L 7-16,,,
53,1977,1977-11-27,11,25.085,TAM,,ATL,L 0-17,,,
54,1977,1977-12-04,12,25.092,TAM,,CHI,L 0-10,1,0,0
55,1977,1977-12-11,13,25.099,TAM,@,NOR,W 33-14,1,32,0
56,1977,1977-12-18,14,25.106,TAM,,STL,W 17-7,,,
57,1978,1978-09-02,1,25.364,TAM,,NYG,L 13-19,,,
58,1978,1978-09-09,2,26.006,TAM,,DET,L 7-15,,,
59,1978,1978-09-17,3,26.014,TAM,@,MIN,W 16-10,1,31,0
60,1978,1978-09-24,4,26.021,TAM,,ATL,W 14-9,,,
61,1978,1978-10-01,5,26.028,TAM,,MIN,L 7-24,1,2,0
62,1978,1978-10-08,6,26.035,TAM,@,KAN,W 30-13,,,
63,1978,1978-10-15,7,26.042,TAM,@,NYG,L 14-17,1,0,0
64,1978,1978-10-22,8,26.049,TAM,,CHI,W 33-19,,,
65,1978,1978-10-29,9,26.056,TAM,@,GNB,L 7-9,,,
66,1978,1978-11-05,10,26.063,TAM,@,RAM,L 23-26,,,
67,1978,1978-11-12,11,26.070,TAM,@,DET,L 23-34,,,
68,1978,1978-11-19,12,26.077,TAM,,BUF,W 31-10,1,23,0
69,1978,1978-11-26,13,26.084,TAM,@,CHI,L 3-14,,,
70,1978,1978-12-03,14,26.091,TAM,,GNB,L 7-17,,,
