ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1990,1990-09-09,1,23.338,SDG,@,DAL,L 14-17,2,12,6.00,0,0,0,,0
2,1990,1990-09-16,2,23.345,SDG,,CIN,L 16-21,3,26,8.67,0,0,0,,0
3,1990,1990-09-23,3,23.352,SDG,@,CLE,W 24-14,1,1,1.00,0,0,0,,0
4,1990,1990-09-30,4,23.359,SDG,,HOU,L 7-17,1,20,20.00,0,0,0,,0
5,1990,1990-10-07,5,24.001,SDG,@,PIT,L 14-36,3,28,9.33,0,1,0,0.00,0
6,1990,1990-10-14,6,24.008,SDG,@,NYJ,W 39-3,0,0,,0,0,0,,0
7,1990,1990-10-21,7,24.015,SDG,,RAI,L 9-24,0,0,,0,0,0,,0
8,1990,1990-10-28,8,24.022,SDG,,TAM,W 41-10,0,0,,0,0,0,,0
9,1990,1990-11-04,9,24.029,SDG,@,SEA,W 31-14,0,0,,0,0,0,,0
10,1990,1990-11-11,10,24.036,SDG,,DEN,W 19-7,0,0,,0,0,0,,0
11,1990,1990-11-18,11,24.043,SDG,@,KAN,L 10-27,0,0,,0,0,0,,0
12,1990,1990-11-25,12,24.050,SDG,,SEA,L 10-13,0,0,,0,0,0,,0
13,1990,1990-12-02,13,24.057,SDG,,NYJ,W 38-17,0,0,,0,0,0,,0
14,1990,1990-12-30,16,24.085,SDG,@,RAI,L 12-17,0,0,,0,0,0,,0
