ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1982,1982-09-12,1,23.024,WAS,@,PHI,W 37-34,0,0,,0,0,0,4,129,32.25,0
2,1982,1982-09-19,2,23.031,WAS,@,TAM,W 21-13,0,0,,0,0,0,7,284,40.57,0
3,1982,1982-11-21,3,23.094,WAS,@,NYG,W 27-17,0,0,,0,0,0,4,164,41.00,1
4,1982,1982-11-28,4,23.101,WAS,,PHI,W 13-9,0,0,,0,0,0,7,194,27.71,0
5,1982,1982-12-05,5,23.108,WAS,,DAL,L 10-24,0,0,,0,0,0,5,162,32.40,0
6,1982,1982-12-12,6,23.115,WAS,@,STL,W 12-7,0,0,,0,0,0,3,124,41.33,0
7,1982,1982-12-19,7,23.122,WAS,,NYG,W 15-14,0,0,,0,0,0,4,167,41.75,0
8,1982,1982-12-26,8,23.129,WAS,@,NOR,W 27-10,0,0,,0,0,0,7,321,45.86,0
9,1982,1983-01-02,9,23.136,WAS,,STL,W 28-0,0,0,,0,0,0,10,392,39.20,0
10,1983,1983-09-05,1,24.017,WAS,,DAL,L 30-31,0,0,,0,0,0,3,115,38.33,0
11,1983,1983-09-11,2,24.023,WAS,@,PHI,W 23-13,0,0,,0,0,0,6,239,39.83,0
12,1983,1983-09-18,3,24.030,WAS,,KAN,W 27-12,0,0,,0,0,0,7,283,40.43,0
13,1983,1983-09-25,4,24.037,WAS,@,SEA,W 27-17,0,0,,0,0,0,3,92,30.67,0
14,1983,1983-10-02,5,24.044,WAS,,RAI,W 37-35,0,0,,0,0,0,7,281,40.14,0
15,1983,1983-10-09,6,24.051,WAS,@,STL,W 38-14,0,0,,0,0,0,5,197,39.40,0
16,1983,1983-10-17,7,24.059,WAS,@,GNB,L 47-48,0,0,,0,0,0,1,39,39.00,0
17,1983,1983-10-23,8,24.065,WAS,,DET,W 38-17,1,15,15.00,0,0,0,5,214,42.80,0
18,1983,1983-10-31,9,24.073,WAS,@,SDG,W 27-24,1,48,48.00,0,0,0,4,166,41.50,0
19,1983,1983-11-06,10,24.079,WAS,,STL,W 45-7,0,0,,0,0,0,6,212,35.33,0
20,1983,1983-11-13,11,24.086,WAS,@,NYG,W 33-17,0,0,,0,0,0,6,243,40.50,0
21,1983,1983-11-20,12,24.093,WAS,@,RAM,W 42-20,0,0,,0,0,0,1,33,33.00,0
22,1983,1983-11-27,13,24.100,WAS,,PHI,W 28-24,0,0,,0,0,0,6,222,37.00,0
23,1983,1983-12-04,14,24.107,WAS,,ATL,W 37-21,0,0,,0,0,0,5,207,41.40,0
24,1983,1983-12-11,15,24.114,WAS,@,DAL,W 31-10,0,0,,0,0,0,2,50,25.00,0
25,1983,1983-12-17,16,24.120,WAS,,NYG,W 31-22,0,0,,0,0,0,5,203,40.60,0
26,1984,1984-09-02,1,25.014,WAS,,MIA,L 17-35,0,0,,0,0,0,4,175,43.75,0
27,1984,1984-09-10,2,25.022,WAS,@,SFO,L 31-37,0,0,,0,0,0,7,256,36.57,0
28,1984,1984-09-16,3,25.028,WAS,,NYG,W 30-14,0,0,,0,0,0,7,286,40.86,0
29,1984,1984-09-23,4,25.035,WAS,@,NWE,W 26-10,0,0,,0,0,0,3,103,34.33,0
30,1984,1984-09-30,5,25.042,WAS,,PHI,W 20-0,0,0,,0,0,0,3,110,36.67,0
31,1984,1984-10-07,6,25.049,WAS,@,IND,W 35-7,0,0,,0,0,0,3,101,33.67,0
32,1984,1984-10-14,7,25.056,WAS,,DAL,W 34-14,0,0,,0,0,0,3,127,42.33,0
33,1984,1984-10-21,8,25.063,WAS,@,STL,L 24-26,0,0,,0,0,0,6,219,36.50,0
34,1984,1984-10-28,9,25.070,WAS,@,NYG,L 13-37,0,0,,0,0,0,7,260,37.14,0
35,1984,1984-11-05,10,25.078,WAS,,ATL,W 27-14,0,0,,0,0,0,4,203,50.75,0
36,1984,1984-11-11,11,25.084,WAS,,DET,W 28-14,1,-11,-11.00,0,0,0,7,250,35.71,1
37,1984,1984-11-18,12,25.091,WAS,@,PHI,L 10-16,0,0,,0,0,0,4,165,41.25,0
