ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1970,1970-09-20,1,22.022,CIN,,OAK,W 31-21,,,,,,,,,,,,,,,
2,1971,1971-09-19,1,23.021,CIN,,PHI,W 37-14,0,0,,0,0,0,,0,0,0,,0,1,25,0
3,1971,1971-09-26,2,23.028,CIN,@,PIT,L 10-21,,,,,,,,,,,,,,,
4,1971,1971-10-03,3,23.035,CIN,@,GNB,L 17-20,,,,,,,,,,,,,,,
5,1971,1971-10-10,4,23.042,CIN,,MIA,L 13-23,1,7,7.00,0,0,0,,0,0,0,,0,0,0,0
6,1971,1971-10-17,5,23.049,CIN,,CLE,L 24-27,,,,,,,,,,,,,,,
7,1971,1971-10-24,6,23.056,CIN,@,OAK,L 27-31,0,0,,0,0,0,,0,0,0,,0,1,8,0
8,1971,1971-10-31,7,23.063,CIN,@,HOU,L 6-10,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
9,1971,1971-11-07,8,23.070,CIN,,ATL,L 6-9,0,0,,0,0,0,,0,3,4,1.33,0,0,0,0
10,1971,1971-11-14,9,23.077,CIN,@,DEN,W 24-10,0,0,,0,0,0,,0,2,10,5.00,0,0,0,0
11,1971,1971-11-21,10,23.084,CIN,,HOU,W 28-13,0,0,,0,0,0,,0,0,0,,0,1,13,0
12,1971,1971-11-28,11,23.091,CIN,,SDG,W 31-0,,,,,,,,,,,,,,,
13,1971,1971-12-05,12,23.098,CIN,@,CLE,L 27-31,,,,,,,,,,,,,,,
14,1971,1971-12-12,13,23.105,CIN,,PIT,L 13-21,0,0,,0,0,0,,0,0,0,,0,1,0,0
15,1971,1971-12-19,14,23.112,CIN,@,NYJ,L 21-35,,,,,,,,,,,,,,,
16,1973,1973-09-16,1,25.018,NWE,,BUF,L 13-31,,,,,,,,,,,,,,,
17,1973,1973-09-23,2,25.025,NWE,,KAN,L 7-10,0,0,,0,0,0,,0,1,1,1.00,0,0,0,0
18,1973,1973-09-30,3,25.032,NWE,@,MIA,L 23-44,,,,,,,,,,,,,,,
19,1973,1973-10-07,4,25.039,NWE,,BAL,W 24-16,0,0,,0,0,0,,0,1,5,5.00,0,0,0,0
20,1973,1973-10-14,5,25.046,NWE,,NYJ,L 7-9,,,,,,,,,,,,,,,
21,1973,1973-10-21,6,25.053,NWE,@,CHI,W 13-10,,,,,,,,,,,,,,,
22,1973,1973-10-28,7,25.060,NWE,,MIA,L 14-30,,,,,,,,,,,,,,,
23,1973,1973-11-04,8,25.067,NWE,@,PHI,L 23-24,0,0,,0,0,0,,0,1,15,15.00,0,0,0,0
24,1973,1973-11-11,9,25.074,NWE,@,NYJ,L 13-33,0,0,,0,0,0,,0,0,0,,0,1,10,0
25,1973,1973-11-18,10,25.081,NWE,,GNB,W 33-24,,,,,,,,,,,,,,,
26,1973,1973-11-25,11,25.088,NWE,@,HOU,W 32-0,,,,,,,,,,,,,,,
27,1973,1973-12-02,12,25.095,NWE,,SDG,W 30-14,0,0,,0,0,0,,0,0,0,,0,1,16,0
28,1973,1973-12-09,13,25.102,NWE,@,BUF,L 13-37,,,,,,,,,,,,,,,
29,1973,1973-12-16,14,25.109,NWE,@,BAL,L 13-18,0,0,,0,0,0,,0,0,0,,0,1,0,0
30,1974,1974-09-15,1,26.017,NWE,,MIA,W 34-24,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0
31,1974,1974-09-22,2,26.024,NWE,@,NYG,W 28-20,,,,,,,,,,,,,,,
32,1974,1974-09-29,3,26.031,NWE,,RAM,W 20-14,0,0,,0,0,0,,0,1,1,1.00,0,0,0,0
33,1974,1974-10-06,4,26.038,NWE,,BAL,W 42-3,,,,,,,,,,,,,,,
34,1974,1974-11-03,8,26.066,NWE,,BUF,L 28-29,,,,,,,,,,,,,,,
35,1974,1974-11-10,9,26.073,NWE,,CLE,L 14-21,,,,,,,,,,,,,,,
36,1974,1974-11-17,10,26.080,NWE,,NYJ,L 16-21,,,,,,,,,,,,,,,
37,1974,1974-11-24,11,26.087,NWE,@,BAL,W 27-17,,,,,,,,,,,,,,,
38,1974,1974-12-01,12,26.094,NWE,@,OAK,L 26-41,,,,,,,,,,,,,,,
39,1974,1974-12-08,13,26.101,NWE,,PIT,L 17-21,,,,,,,,,,,,,,,
40,1974,1974-12-15,14,26.108,NWE,@,MIA,L 27-34,,,,,,,,,,,,,,,
